doc_id,senate_committee,senate_committee_refdate,house_committee,house_committee_refdate
05sb0072,EDUCATION,2005-01-25,Education,2005-03-15
05sb0073,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-01-25,"Natural Resources, Great Lakes, Land Use, and Environment",2005-05-04
05sb0074,JUDICIARY,2005-01-25,Judiciary,2005-03-16
05sb0075,FINANCE,2005-01-25,NA,NA
05sb0076,FINANCE,2005-01-25,NA,NA
05sb0077,EDUCATION,2005-01-25,Education,2005-02-10
05sb0078,FINANCE,2005-01-25,NA,NA
05sb0079,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-01-25,"Natural Resources, Great Lakes, Land Use, and Environment",2005-03-23
05sb0080,APPROPRIATIONS,2005-01-25,NA,NA
05sb0081,APPROPRIATIONS,2005-01-25,NA,NA
05sb0082,GOVERNMENT OPERATIONS,2005-01-25,NA,NA
05sb0083,EDUCATION,2005-01-25,Education,2005-04-21
05sb0084,GOVERNMENT OPERATIONS,2005-01-26,NA,NA
05sb0085,HEALTH POLICY,2005-01-26,NA,NA
05sb0086,JUDICIARY,2005-01-26,NA,NA
05sb0087,JUDICIARY,2005-01-26,NA,NA
05sb0088,HEALTH POLICY,2005-01-26,Health Policy,2005-11-03
05sb0089,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-01-26,NA,NA
05sb0090,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-01-26,NA,NA
05sb0091,EDUCATION,2005-01-26,NA,NA
05sb0092,FINANCE,2005-01-26,Tax Policy,2005-05-25
05sb0093,EDUCATION,2005-01-26,Education,2005-02-17
05sb0094,EDUCATION,2005-01-26,NA,NA
05sb0095,EDUCATION,2005-01-26,Education,2006-06-06
05sb0096,EDUCATION,2005-01-26,NA,NA
05sb0097,TRANSPORTATION,2005-01-26,NA,NA
05sb0098,EDUCATION,2005-01-26,NA,NA
05sb0099,HEALTH POLICY,2005-01-26,NA,NA
05sb0100,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-01-26,NA,NA
05sb0101,COMMERCE AND LABOR,2005-01-26,NA,NA
05sb0102,JUDICIARY,2005-01-27,Judiciary,2006-09-05
05sb0103,HEALTH POLICY,2005-01-27,NA,NA
05sb0104,HEALTH POLICY,2005-01-27,NA,NA
05sb0105,HEALTH POLICY,2005-01-27,NA,NA
05sb0106,FINANCE,2005-01-27,NA,NA
05sb0107,FINANCE,2005-01-27,NA,NA
05sb0108,"LOCAL, URBAN AND STATE AFFAIRS",2005-01-27,NA,NA
05sb0109,"LOCAL, URBAN AND STATE AFFAIRS",2005-01-27,NA,NA
05sb0110,JUDICIARY,2005-01-27,NA,NA
05sb0111,"ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM",2005-01-27,NA,NA
05sb0112,FAMILIES AND HUMAN SERVICES,2005-01-27,NA,NA
05sb0113,JUDICIARY,2005-02-01,NA,NA
05sb0114,COMMERCE AND LABOR,2005-02-01,NA,NA
05sb0115,COMMERCE AND LABOR,2005-02-01,NA,NA
05sb0116,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-02-01,NA,NA
05sb0117,"ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM",2005-02-01,NA,NA
05sb0118,FINANCE,2005-02-01,NA,NA
05sb0119,JUDICIARY,2005-02-01,NA,NA
05sb0120,JUDICIARY,2005-02-01,Judiciary,2005-11-03
05sb0121,HEALTH POLICY,2005-02-01,NA,NA
05sb0122,COMMERCE AND LABOR,2005-02-01,NA,NA
05sb0123,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-02-01,"Natural Resources, Great Lakes, Land Use, and Environment",2006-11-30
05sb0124,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-02-01,"Natural Resources, Great Lakes, Land Use, and Environment",2006-11-30
05sb0125,BANKING AND FINANCIAL INSTITUTIONS,2005-02-01,NA,NA
05sb0126,"LOCAL, URBAN AND STATE AFFAIRS",2005-02-01,NA,NA
05sb0127,TECHNOLOGY AND ENERGY,2005-02-01,Energy and Technology,2006-03-01
05sb0128,JUDICIARY,2005-02-01,Judiciary,2005-05-24
05sb0129,JUDICIARY,2005-02-01,Education,2005-06-30
05sb0130,JUDICIARY,2005-02-01,Judiciary,2005-05-10
05sb0131,JUDICIARY,2005-02-01,Judiciary,2005-05-10
05sb0132,JUDICIARY,2005-02-01,NA,NA
05sb0133,JUDICIARY,2005-02-01,NA,NA
05sb0134,JUDICIARY,2005-02-01,Judiciary,2005-03-16
05sb0135,FINANCE,2005-02-01,NA,NA
05sb0136,EDUCATION,2005-02-01,Higher Education and Career Preparation,2005-03-16
05sb0137,JUDICIARY,2005-02-01,Judiciary,2005-02-09
05sb0138,JUDICIARY,2005-02-02,NA,NA
05sb0139,JUDICIARY,2005-02-02,NA,NA
05sb0140,JUDICIARY,2005-02-02,NA,NA
05sb0141,JUDICIARY,2005-02-02,NA,NA
05sb0142,JUDICIARY,2005-02-02,NA,NA
05sb0143,JUDICIARY,2005-02-02,NA,NA
05sb0144,GOVERNMENT OPERATIONS,2005-02-02,NA,NA
05sb0145,GOVERNMENT OPERATIONS,2005-02-02,NA,NA
05sb0146,HEALTH POLICY,2005-02-02,Health Policy,2005-02-16
05sb0147,"ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM",2005-02-02,NA,NA
05sb0148,TRANSPORTATION,2005-02-02,NA,NA
05sb0149,SENIOR CITIZENS AND VETERANS AFFAIRS,2005-02-02,NA,NA
05sb0150,"ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM",2005-02-02,NA,NA
05sb0151,TECHNOLOGY AND ENERGY,2005-02-02,Judiciary,2005-03-09
05sb0152,BANKING AND FINANCIAL INSTITUTIONS,2005-02-03,NA,NA
05sb0153,BANKING AND FINANCIAL INSTITUTIONS,2005-02-03,NA,NA
05sb0154,GOVERNMENT OPERATIONS,2005-02-03,NA,NA
05sb0155,JUDICIARY,2005-02-03,NA,NA
05sb0156,EDUCATION,2005-02-03,NA,NA
05sb0157,FINANCE,2005-02-03,NA,NA
05sb0158,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-02-03,NA,NA
05sb0159,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-02-03,NA,NA
05sb0160,TRANSPORTATION,2005-02-03,NA,NA
05sb0161,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-02-03,Transportation,2005-05-18
05sb0162,"ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM",2005-02-03,Regulatory Reform,2006-11-14
05sb0163,"ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM",2005-02-03,Regulatory Reform,2006-11-14
05sb0164,BANKING AND FINANCIAL INSTITUTIONS,2005-02-03,NA,NA
05sb0165,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-02-03,NA,NA
05sb0166,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-02-03,NA,NA
05sb0167,"ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM",2005-02-03,Regulatory Reform,2005-04-27
05sb0168,FINANCE,2005-02-03,Tax Policy,2005-05-25
05sb0169,HEALTH POLICY,2005-02-03,NA,NA
05sb0170,JUDICIARY,2005-02-03,Judiciary,2005-02-15
05sb0171,COMMERCE AND LABOR,2005-02-03,"Employment Relations, Training, and Safety",2005-02-23
05sb0172,COMMERCE AND LABOR,2005-02-03,"Employment Relations, Training, and Safety",2005-02-23
05sb0173,COMMERCE AND LABOR,2005-02-03,"Employment Relations, Training, and Safety",2005-02-23
05sb0174,COMMERCE AND LABOR,2005-02-03,"Employment Relations, Training, and Safety",2005-02-23
05sb0175,"ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM",2005-02-09,Commerce,2005-05-17
05sb0176,BANKING AND FINANCIAL INSTITUTIONS,2005-02-09,NA,NA
05sb0177,BANKING AND FINANCIAL INSTITUTIONS,2005-02-09,NA,NA
05sb0178,JUDICIARY,2005-02-09,NA,NA
05sb0179,"ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM",2005-02-09,Commerce,2005-03-22
05sb0180,EDUCATION,2005-02-09,Education,2005-04-21
05sb0181,COMMERCE AND LABOR,2005-02-09,Government Operations,2005-12-13
05sb0182,HEALTH POLICY,2005-02-09,NA,NA
05sb0183,TRANSPORTATION,2005-02-10,NA,NA
05sb0184,HEALTH POLICY,2005-02-10,NA,NA
05sb0185,COMMERCE AND LABOR,2005-02-10,NA,NA
05sb0186,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-02-10,"Natural Resources, Great Lakes, Land Use, and Environment",2006-11-30
05sb0187,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-02-10,NA,NA
05sb0188,TRANSPORTATION,2005-02-10,NA,NA
05sb0189,HEALTH POLICY,2005-02-10,Judiciary,2005-05-17
05sb0190,JUDICIARY,2005-02-10,NA,NA
05sb0191,BANKING AND FINANCIAL INSTITUTIONS,2005-02-10,NA,NA
05sb0192,"AGRICULTURE, FORESTRY AND TOURISM",2005-02-10,NA,NA
05sb0193,JUDICIARY,2005-02-10,Judiciary,2005-03-16
05sb0194,SENIOR CITIZENS AND VETERANS AFFAIRS,2005-02-10,Veterans Affairs and Homeland Security,2005-02-23
05sb0195,HEALTH POLICY,2005-02-10,Health Policy,2005-05-03
05sb0196,EDUCATION,2005-02-15,NA,NA
05sb0197,HEALTH POLICY,2005-02-15,NA,NA
05sb0198,HEALTH POLICY,2005-02-15,NA,NA
05sb0199,"ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM",2005-02-15,Regulatory Reform,2005-03-24
05sb0200,BANKING AND FINANCIAL INSTITUTIONS,2005-02-15,NA,NA
05sb0201,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-02-15,NA,NA
05sb0202,FINANCE,2005-02-16,NA,NA
05sb0203,FINANCE,2005-02-16,Tax Policy,2005-12-06
05sb0204,HEALTH POLICY,2005-02-16,NA,NA
05sb0205,HEALTH POLICY,2005-02-16,Education,2005-05-18
05sb0206,JUDICIARY,2005-02-16,NA,NA
05sb0207,GOVERNMENT OPERATIONS,2005-02-16,NA,NA
05sb0208,JUDICIARY,2005-02-16,Judiciary,2005-12-06
05sb0209,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-02-17,NA,NA
05sb0210,TRANSPORTATION,2005-02-17,NA,NA
05sb0211,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-02-17,"Natural Resources, Great Lakes, Land Use, and Environment",2005-06-09
05sb0212,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-02-17,"Natural Resources, Great Lakes, Land Use, and Environment",2005-06-09
05sb0213,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-02-17,"Natural Resources, Great Lakes, Land Use, and Environment",2005-06-09
05sb0214,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-02-17,"Natural Resources, Great Lakes, Land Use, and Environment",2005-06-09
05sb0215,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-02-17,"Natural Resources, Great Lakes, Land Use, and Environment",2005-06-09
05sb0216,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-02-17,"Natural Resources, Great Lakes, Land Use, and Environment",2005-06-09
05sb0217,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-02-17,"Natural Resources, Great Lakes, Land Use, and Environment",2005-06-09
05sb0218,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-02-17,NA,NA
05sb0219,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-02-17,NA,NA
05sb0220,"LOCAL, URBAN AND STATE AFFAIRS",2005-02-17,NA,NA
05sb0221,"AGRICULTURE, FORESTRY AND TOURISM",2005-02-17,Tax Policy,2005-05-25
05sb0222,"AGRICULTURE, FORESTRY AND TOURISM",2005-02-17,Tax Policy,2005-05-25
05sb0223,"AGRICULTURE, FORESTRY AND TOURISM",2005-02-17,Agriculture,2005-03-15
05sb0224,"AGRICULTURE, FORESTRY AND TOURISM",2005-02-17,Energy and Technology,2005-06-07
05sb0225,"AGRICULTURE, FORESTRY AND TOURISM",2005-02-17,Agriculture,2005-04-26
05sb0226,"AGRICULTURE, FORESTRY AND TOURISM",2005-02-17,Agriculture,2005-04-20
05sb0227,"AGRICULTURE, FORESTRY AND TOURISM",2005-02-17,NA,NA
05sb0228,"AGRICULTURE, FORESTRY AND TOURISM",2005-02-17,Agriculture,2005-04-13
05sb0229,HEALTH POLICY,2005-02-22,NA,NA
05sb0230,HEALTH POLICY,2005-02-22,NA,NA
05sb0231,HEALTH POLICY,2005-02-22,NA,NA
05sb0232,EDUCATION,2005-02-22,NA,NA
05sb0233,GOVERNMENT OPERATIONS,2006-05-16,NA,NA
05sb0234,TRANSPORTATION,2005-02-22,Transportation,2005-03-01
05sb0235,APPROPRIATIONS,2005-02-23,Appropriations,2005-03-24
05sb0236,APPROPRIATIONS,2005-02-23,NA,NA
05sb0237,APPROPRIATIONS,2005-02-23,NA,NA
05sb0238,APPROPRIATIONS,2005-02-23,NA,NA
05sb0239,APPROPRIATIONS,2005-02-23,NA,NA
05sb0240,APPROPRIATIONS,2005-02-23,NA,NA
05sb0241,APPROPRIATIONS,2005-02-23,NA,NA
05sb0242,APPROPRIATIONS,2005-02-23,NA,NA
05sb0243,APPROPRIATIONS,2005-02-23,NA,NA
05sb0244,APPROPRIATIONS,2005-02-23,NA,NA
05sb0245,APPROPRIATIONS,2005-02-23,NA,NA
05sb0246,APPROPRIATIONS,2005-02-23,NA,NA
05sb0247,EDUCATION,2005-02-23,Education,2005-06-30
05sb0248,TRANSPORTATION,2005-02-24,Transportation,2005-09-20
05sb0249,JUDICIARY,2005-02-24,Judiciary,2005-05-17
05sb0250,GOVERNMENT OPERATIONS,2005-02-24,NA,NA
05sb0251,"AGRICULTURE, FORESTRY AND TOURISM",2005-02-24,Agriculture,2005-06-14
05sb0252,"LOCAL, URBAN AND STATE AFFAIRS",2005-02-24,Local Government and Urban Policy,2005-05-31
05sb0253,"LOCAL, URBAN AND STATE AFFAIRS",2005-02-24,Local Government and Urban Policy,2005-05-31
05sb0254,"LOCAL, URBAN AND STATE AFFAIRS",2005-02-24,Local Government and Urban Policy,2005-05-31
05sb0255,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-02-24,NA,NA
05sb0256,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-02-24,NA,NA
05sb0257,"ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM",2005-03-01,Regulatory Reform,2005-04-27
05sb0258,FINANCE,2005-03-01,NA,NA
05sb0259,JUDICIARY,2005-03-01,NA,NA
05sb0260,JUDICIARY,2005-03-01,NA,NA
05sb0261,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-03-01,NA,NA
05sb0262,TRANSPORTATION,2005-03-01,NA,NA
05sb0263,JUDICIARY,2005-03-02,Judiciary,2005-11-03
05sb0264,APPROPRIATIONS,2005-03-02,Appropriations,2005-06-16
05sb0265,APPROPRIATIONS,2005-03-02,NA,NA
05sb0266,APPROPRIATIONS,2005-03-02,Appropriations,2005-06-16
05sb0267,APPROPRIATIONS,2005-03-02,Appropriations,2005-06-16
05sb0268,APPROPRIATIONS,2005-03-02,Appropriations,2005-06-16
05sb0269,APPROPRIATIONS,2005-03-02,Appropriations,2005-06-16
05sb0270,APPROPRIATIONS,2005-03-02,Appropriations,2005-06-16
05sb0271,APPROPRIATIONS,2005-03-02,Appropriations,2005-06-16
05sb0272,APPROPRIATIONS,2005-03-02,Appropriations,2005-06-21
05sb0273,APPROPRIATIONS,2005-03-02,Appropriations,2005-06-21
05sb0274,APPROPRIATIONS,2005-03-02,Appropriations,2005-06-16
05sb0275,APPROPRIATIONS,2005-03-02,Appropriations,2005-06-16
05sb0276,APPROPRIATIONS,2005-03-02,Appropriations,2005-06-21
05sb0277,APPROPRIATIONS,2005-03-02,Appropriations,2005-06-16
05sb0278,APPROPRIATIONS,2005-03-02,Appropriations,2005-06-16
05sb0279,APPROPRIATIONS,2005-03-02,Appropriations,2005-06-21
05sb0280,APPROPRIATIONS,2005-03-02,Appropriations,2005-06-16
05sb0281,APPROPRIATIONS,2005-03-02,Appropriations,2005-06-16
05sb0282,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-03-02,"Natural Resources, Great Lakes, Land Use, and Environment",2005-03-24
05sb0283,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-03-02,NA,NA
05sb0284,COMMERCE AND LABOR,2005-03-02,NA,NA
05sb0285,APPROPRIATIONS,2005-03-03,NA,NA
05sb0286,JUDICIARY,2005-03-03,NA,NA
05sb0287,EDUCATION,2005-03-03,NA,NA
05sb0288,EDUCATION,2005-03-08,NA,NA
05sb0289,JUDICIARY,2005-03-08,NA,NA
05sb0290,FINANCE,2005-03-08,NA,NA
05sb0291,FINANCE,2005-03-09,NA,NA
05sb0292,FINANCE,2005-03-09,NA,NA
05sb0293,GOVERNMENT OPERATIONS,2005-03-09,NA,NA
05sb0294,TRANSPORTATION,2005-03-09,NA,NA
05sb0295,FINANCE,2005-03-09,NA,NA
05sb0296,FINANCE,2005-03-09,NA,NA
05sb0297,JUDICIARY,2005-03-10,Transportation,2005-03-22
05sb0298,"ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM",2005-03-10,Commerce,2005-05-25
05sb0299,APPROPRIATIONS,2005-03-10,NA,NA
05sb0300,HEALTH POLICY,2005-03-10,NA,NA
05sb0301,TRANSPORTATION,2005-03-10,Transportation,2005-03-22
05sb0302,"LOCAL, URBAN AND STATE AFFAIRS",2005-03-10,Veterans Affairs and Homeland Security,2005-05-17
05sb0303,"LOCAL, URBAN AND STATE AFFAIRS",2005-03-10,Veterans Affairs and Homeland Security,2005-05-17
05sb0304,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-03-15,NA,NA
05sb0305,FINANCE,2005-03-15,NA,NA
05sb0306,APPROPRIATIONS,2005-03-15,Appropriations,2005-05-17
05sb0307,HEALTH POLICY,2005-03-15,NA,NA
05sb0308,JUDICIARY,2005-03-15,Judiciary,2005-10-20
05sb0309,JUDICIARY,2005-03-16,Banking and Financial Services,2006-11-30
05sb0310,HEALTH POLICY,2005-03-16,Health Policy,2005-05-18
05sb0311,BANKING AND FINANCIAL INSTITUTIONS,2005-03-16,NA,NA
05sb0312,BANKING AND FINANCIAL INSTITUTIONS,2005-03-16,NA,NA
05sb0313,TRANSPORTATION,2005-03-16,NA,NA
05sb0314,TRANSPORTATION,2005-03-16,NA,NA
05sb0315,BANKING AND FINANCIAL INSTITUTIONS,2005-03-16,NA,NA
05sb0316,FINANCE,2005-03-16,NA,NA
05sb0317,FINANCE,2005-03-17,NA,NA
05sb0318,COMMERCE AND LABOR,2005-03-17,NA,NA
05sb0319,COMMERCE AND LABOR,2005-03-17,NA,NA
05sb0320,COMMERCE AND LABOR,2005-03-17,NA,NA
05sb0321,COMMERCE AND LABOR,2005-03-17,NA,NA
05sb0322,COMMERCE AND LABOR,2005-03-17,NA,NA
05sb0323,COMMERCE AND LABOR,2005-03-17,NA,NA
05sb0324,EDUCATION,2005-03-17,NA,NA
05sb0325,EDUCATION,2005-03-17,NA,NA
05sb0326,EDUCATION,2005-03-17,NA,NA
05sb0327,EDUCATION,2005-03-17,Education,2005-05-10
05sb0328,EDUCATION,2005-03-17,Appropriations,2005-05-10
05sb0329,EDUCATION,2005-03-17,Appropriations,2005-05-10
05sb0330,EDUCATION,2005-03-17,Appropriations,2005-05-10
05sb0331,TRANSPORTATION,2005-03-17,NA,NA
05sb0332,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-03-22,"Natural Resources, Great Lakes, Land Use, and Environment",2005-04-27
05sb0333,HEALTH POLICY,2005-03-22,NA,NA
05sb0334,TECHNOLOGY AND ENERGY,2005-03-22,NA,NA
05sb0335,HEALTH POLICY,2005-03-22,Health Policy,2005-06-09
05sb0336,GOVERNMENT OPERATIONS,2005-03-23,NA,NA
05sb0337,COMMERCE AND LABOR,2005-03-23,NA,NA
05sb0338,COMMERCE AND LABOR,2005-03-23,NA,NA
05sb0339,COMMERCE AND LABOR,2005-03-23,Commerce,2005-05-11
05sb0340,COMMERCE AND LABOR,2005-03-23,NA,NA
05sb0341,COMMERCE AND LABOR,2005-03-23,Commerce,2005-05-03
05sb0342,COMMERCE AND LABOR,2005-03-23,Commerce,2005-05-03
05sb0343,COMMERCE AND LABOR,2005-03-23,Commerce,2005-05-03
05sb0344,COMMERCE AND LABOR,2005-03-23,NA,NA
05sb0345,TRANSPORTATION,2005-03-24,NA,NA
05sb0346,"LOCAL, URBAN AND STATE AFFAIRS",2005-03-24,NA,NA
05sb0347,FINANCE,2005-03-24,Tax Policy,2005-09-07
05sb0348,FINANCE,2005-03-24,Tax Policy,2005-05-04
05sb0349,TRANSPORTATION,2005-03-24,NA,NA
05sb0350,"ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM",2005-03-24,Regulatory Reform,2006-12-07
05sb0351,HEALTH POLICY,2005-03-24,Health Policy,2005-06-30
05sb0352,HEALTH POLICY,2005-03-24,Health Policy,2005-05-17
05sb0353,"ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM",2005-03-24,Commerce,2005-06-14
05sb0354,"ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM",2005-03-24,"Natural Resources, Great Lakes, Land Use, and Environment",2005-05-10
05sb0355,"ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM",2005-03-24,"Natural Resources, Great Lakes, Land Use, and Environment",2005-05-10
05sb0356,"ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM",2005-03-24,"Natural Resources, Great Lakes, Land Use, and Environment",2005-05-10
05sb0357,"ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM",2005-03-24,NA,NA
05sb0358,COMMERCE AND LABOR,2005-03-24,Commerce,2005-05-17
05sb0359,COMMERCE AND LABOR,2005-03-24,Commerce,2005-05-17
05sb0360,EDUCATION,2005-04-12,NA,NA
