Document,Type,Description
SB 0011 of 2017,Senate Bill,Legislature; other; program for the management and collection of data related to criminal justice statistics; create. Creates new act.Last Action: VETOED BY GOVERNOR 03/30/2017
SB 0012 of 2017 (PA 0008 of 2017),Senate Bill,Corrections; parole; commutation hearings and procedures; expedite review and hearing process for certain commutations if requested by governor. Amends sec. 44 of 1953 PA 232 (MCL 791.244) & adds sec. 44a.Last Action: ASSIGNED PA 0008'17 WITH IMMEDIATE EFFECT
SB 0013 of 2017 (PA 0009 of 2017),Senate Bill,Criminal procedure; probation; penalties for probationers who commit technical probation violations; modify. Amends 1927 PA 175 (MCL 760.1 - 777.69) by adding sec. 4b to ch. XI.Last Action: ASSIGNED PA 0009'17 WITH IMMEDIATE EFFECT
SB 0014 of 2017,Senate Bill,Labor; employment incentives; work opportunity employer reimbursement program; create. Creates new act.Last Action: referred to Committee on Law and Justice
SB 0015 of 2017 (PA 0010 of 2017),Senate Bill,"Criminal procedure; probation; reduction of term of probation; allow in certain cases. Amends sec. 2, ch. XI of 1927 PA 175 (MCL 771.2).Last Action: ASSIGNED PA 0010'17 WITH IMMEDIATE EFFECT"
SB 0016 of 2017 (PA 0001 of 2017),Senate Bill,Corrections; parole; parole sanctions certainty act; create. Amends 1953 PA 232 (MCL 791.201 - 791.285) by adding ch. IIIB.Last Action: ASSIGNED PA 0001'17 WITH IMMEDIATE EFFECT
SB 0017 of 2017 (PA 0011 of 2017),Senate Bill,Corrections; parole; supervising region incentive program; create. Creates new act.  TIE BAR WITH: SB 0016'17Last Action: ASSIGNED PA 0011'17 WITH IMMEDIATE EFFECT
SB 0018 of 2017 (PA 0012 of 2017),Senate Bill,Corrections; parole; department of corrections to report parole absconders to department of health and human services; require. Amends 1953 PA 232 (MCL 791.201 - 791.285) by adding sec. 84.  TIE BAR WITH: SB 0019'17Last Action: ASSIGNED PA 0012'17 WITH IMMEDIATE EFFECT
SB 0019 of 2017 (PA 0013 of 2017),Senate Bill,Human services; services or financial assistance; services or financial assistance provided to individual who absconds from parole; require to be discontinued. Amends sec. 10b of 1939 PA 280 (MCL 400.10b).  TIE BAR WITH: SB 0018'17Last Action: ASSIGNED PA 0013'17 WITH IMMEDIATE EFFECT
SB 0020 of 2017 (PA 0014 of 2017),Senate Bill,Corrections; other; reference to general education development (GED); revise to high school equivalency. Amends secs. 33 & 34d of 1953 PA 232 (MCL 791.233 & 791.234d).Last Action: ASSIGNED PA 0014'17 WITH IMMEDIATE EFFECT
SB 0021 of 2017 (PA 0015 of 2017),Senate Bill,Crime victims; other; crime victims fund; ensure funds may be provided to minor victims of crime and require certain reporting. Amends sec. 4 of 1989 PA 196 (MCL 780.904).Last Action: ASSIGNED PA 0015'17 WITH IMMEDIATE EFFECT
SB 0022 of 2017 (PA 0016 of 2017),Senate Bill,Corrections; prisoners; department to provide rehabilitation programming for 18-to 22-year-old inmates that specifically takes the prisoners' age into consideration and to report certain information; require. Amends 1953 PA 232 (MCL 791.201 - 791.285) by adding sec. 62d.Last Action: ASSIGNED PA 0016'17 WITH IMMEDIATE EFFECT
SB 0023 of 2017 (PA 0017 of 2017),Senate Bill,"Criminal procedure; other; swift and sure probation sanctions; modify, and create the swift and sure probation supervision fund. Amends secs. 3, 4, 5 & 6, ch. XIA of 1927 PA 175 (MCL 771A.3 et seq.) & adds heading for ch. XIA.Last Action: ASSIGNED PA 0017'17 WITH IMMEDIATE EFFECT"
SB 0024 of 2017 (PA 0018 of 2017),Senate Bill,Courts; other; swift and sure sanctions court; create. Amends 1961 PA 236 (MCL 600.101 - 600.9947) by adding sec. 1086.Last Action: ASSIGNED PA 0018'17 WITH IMMEDIATE EFFECT
SB 0025 of 2017,Senate Bill,Individual income tax; credit; credit for expenditures by certain school teachers for certain supplies; provide for. Amends 1967 PA 281 (MCL 206.1 - 206.713) by adding sec. 277.Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0026 of 2017,Senate Bill,Individual income tax; credit; earned income tax credit; increase. Amends sec. 272 of 1967 PA 281 (MCL 206.272).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0027 of 2017,Senate Bill,Education; reorganization; section creating and prescribing duties of state school reform/redesign office; repeal. Repeals sec. 1280c of 1976 PA 451 (MCL 380.1280c).Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0028 of 2017,Senate Bill,Torts; product liability; limitation on liability for drugs that have been approved by federal Food and Drug Administration; rescind. Amends sec. 2946 of 1961 PA 236 (MCL 600.2946).Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0029 of 2017,Senate Bill,"Insurance; health insurers; health insurance claims assessment rate; modify under certain circumstances. Amends sec. 3 of 2011 PA 142 (MCL 550.1733) & repeals 2011 PA 142 (MCL 550.1731 - 550.1741).  TIE BAR WITH: SB 0030'17, SB 0031'17, SB 0032'17Last Action: REASSIGNED TO COMMITTEE ON MICHIGAN COMPETITIVENESS"
SB 0030 of 2017,Senate Bill,"State financing and management; funds; health services fund; create. Amends secs. 2 & 6 of 2000 PA 489 (MCL 12.252 & 12.256) & adds sec. 11.  TIE BAR WITH: SB 0029'17, SB 0031'17, SB 0032'17Last Action: REASSIGNED TO COMMITTEE ON MICHIGAN COMPETITIVENESS"
SB 0031 of 2017,Senate Bill,"Use tax; collections; allocation of certain revenues collected into the health services fund; provide for. Amends sec. 21 of 1937 PA 94 (MCL 205.111).  TIE BAR WITH: SB 0029'17, SB 0030'17, SB 0032'17Last Action: REASSIGNED TO COMMITTEE ON MICHIGAN COMPETITIVENESS"
SB 0032 of 2017,Senate Bill,"Individual income tax; collections; earmark for the health services fund; provide for. Amends 1967 PA 281 (MCL 206.1 - 206.713) by adding sec. 51f.  TIE BAR WITH: SB 0029'17, SB 0030'17, SB 0031'17Last Action: REASSIGNED TO COMMITTEE ON MICHIGAN COMPETITIVENESS"
SB 0033 of 2017,Senate Bill,Crimes; assaultive; crime of assaulting a person performing certain job-related duties; expand to include emergency room personnel. Amends sec. 81d of 1931 PA 328 (MCL 750.81d).Last Action: REFERRED TO COMMITTEE OF THE WHOLE WITH SUBSTITUTE S-1
SB 0034 of 2017 (PA 0019 of 2017),Senate Bill,"Highways; name; portion of US-23; designate as the ""Sergeant Joe Johnson Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2080) by adding sec. 11a.Last Action: ASSIGNED PA 0019'17 WITH IMMEDIATE EFFECT"
SB 0035 of 2017,Senate Bill,"Gaming; bingo and charitable gaming; millionaire parties; provide for general amendments. Amends secs. 2, 3, 3a, 4, 4a, 8, 9, 10, 11b, 12, 13, 14, 15, 16 & 19 of 1972 PA 382 (MCL 432.102 et seq.); designates secs. 1 to 20 as art. 1; adds art. 2 & repeals secs. 10a, 10b & 20 of 1972 PA 382 (MCL 432.110a et seq.).Last Action: VETOED BY GOVERNOR 12/28/2018   12/31/18 ADDENDA"
SB 0036 of 2017,Senate Bill,Law enforcement; records; fingerprinting and photographing of child or youth with special health care needs taken and submitted to the automated fingerprint identification system (AFIS) and the statewide network of agency photos upon request of parent or guardian; allow. Amends secs. 2 & 4 of 1985 PA 176 (MCL 722.772 & 722.774).Last Action: referred to Committee on Judiciary
SB 0037 of 2017,Senate Bill,"Tobacco; retail sales; sale of electronic cigarette or any oral device that provides vapor nicotine to minors; prohibit. Amends title & secs. 1, 2 & 4 of 1915 PA 31 (MCL 722.641 et seq.).Last Action: REFERRED TO COMMITTEE OF THE WHOLE"
SB 0038 of 2017 (PA 0025 of 2017),Senate Bill,Law enforcement; records; procedure for fingerprinting and photographing of individual with special health care needs taken and submitted to the automated fingerprint identification system (AFIS) and the statewide network of agency photos upon request of parent or guardian; allow and establish. Amends sec. 1 of 1935 PA 120 (MCL 28.271) & adds sec. 4.Last Action: ASSIGNED PA 0025'17 WITH IMMEDIATE EFFECT
SB 0039 of 2017 (PA 0020 of 2017),Senate Bill,Probate; other; exceptions to definition of surviving spouse in relation to a funeral representative; revise. Amends sec. 2801 of 1998 PA 386 (MCL 700.2801).Last Action: ASSIGNED PA 0020'17 WITH IMMEDIATE EFFECT
SB 0040 of 2017 (PA 0458 of 2018),Senate Bill,"Economic development; Michigan strategic fund; definition of ""qualified new job""; expand to include out-of-state resident employed by a company located in a county that borders another state or country. Amends sec. 88r of 1984 PA 270 (MCL 125.2088r).Last Action: ASSIGNED PA 0458'18"
SB 0041 of 2017,Senate Bill,Individual income tax; retirement or pension benefits; 3-tier limitations and restrictions on deduction for retirement or pension benefits based on taxpayer's age; eliminate. Amends sec. 30 of 1967 PA 281 (MCL 206.30).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0042 of 2017,Senate Bill,Property tax; delinquent taxes; administration of delinquent tax revolving funds; clarify. Amends secs. 87b & 87f of 1893 PA 206 (MCL 211.87b & 211.87f).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0043 of 2017 (PA 0055 of 2017),Senate Bill,Public employees and officers; compensation and benefits; public employee health benefits act; allow alternative cash reserves option for pooled plans. Amends sec. 9 of 2007 PA 106 (MCL 124.79).Last Action: ASSIGNED PA 0055'17 WITH IMMEDIATE EFFECT
SB 0044 of 2017 (PA 0241 of 2017),Senate Bill,"Criminal procedure; other; recovery of certain costs for criminal contempt prosecution or retail fraud; provide for. Amends sec. 1f, ch. IX of 1927 PA 175 (MCL 769.1f).Last Action: ASSIGNED PA 0241'17 WITH IMMEDIATE EFFECT"
SB 0045 of 2017,Senate Bill,Property tax; exemptions; exemption for disabled veterans; modify. Amends sec. 7b of 1893 PA 206 (MCL 211.7b).Last Action: PLACED ON ORDER OF THIRD READING WITH SUBSTITUTE S-1
SB 0046 of 2017 (PA 0037 of 2017),Senate Bill,Traffic control; traffic regulation; requirement that emergency lights be mounted on the roof of an authorized emergency vehicle; eliminate. Amends sec. 698 of 1949 PA 300 (MCL 257.698).Last Action: ASSIGNED PA 0037'17 WITH IMMEDIATE EFFECT
SB 0047 of 2017 (PA 0252 of 2017),Senate Bill,"Health; pharmaceuticals; exemption of reporting requirements from the Michigan automated prescription system (MAPS); modify, and require prescribers to obtain data from the MAPS before prescribing or dispensing certain drugs. Amends sec. 7333a of 1978 PA 368 (MCL 333.7333a).Last Action: ASSIGNED PA 0252'17 WITH IMMEDIATE EFFECT"
SB 0048 of 2017,Senate Bill,Civil rights; speech and assembly; public employees of local units of government who communicate with elected officials; protect from employment sanctions. Creates new act.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0049 of 2017 (PA 0136 of 2017),Senate Bill,Probate; guardians and conservators; provision related to compensation for professional guardian or professional conservator; modify. Amends sec. 5106 of 1998 PA 386 (MCL 700.5106).Last Action: ASSIGNED PA 0136'17 WITH IMMEDIATE EFFECT
SB 0050 of 2017,Senate Bill,Corrections; other; county jail bed savings program; establish. Amends 1953 PA 232 (MCL 791.201 - 791.285) by adding sec. 65j.Last Action: PLACED ON IMMEDIATE PASSAGE
SB 0051 of 2017,Senate Bill,State agencies (proposed); boards and commissions; Michigan infrastructure council; establish. Creates new act.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0052 of 2017,Senate Bill,"Criminal procedure; statute of limitations; statute of limitations for sexual abuse of a child; eliminate. Amends sec. 24, ch. VII of 1927 PA 175 (MCL 767.24).Last Action: referred to Committee on Law and Justice"
SB 0053 of 2017,Senate Bill,Law enforcement; other; establish process and liability exemption for certain information disclosed by former employing law enforcement agency to a law enforcement agency seeking to hire a law enforcement officer; provide for. Amends 1965 PA 203 (MCL 28.601 - 28.615) by adding secs. 9e & 9f.Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0054 of 2017,Senate Bill,Elections; registration; preregistration to vote at age 16; provide for. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding sec. 496a.Last Action: REFERRED TO COMMITTEE ON ELECTIONS AND GOVERNMENT REFORM
SB 0055 of 2017,Senate Bill,"Elections; absent voters; absent voter ballot; issue upon voter's request without requiring justification. Amends secs. 758, 759 & 759b of 1954 PA 116 (MCL 168.758 et seq.).Last Action: REFERRED TO COMMITTEE ON ELECTIONS AND GOVERNMENT REFORM"
SB 0056 of 2017,Senate Bill,"Elections; registration; electronic submission of voter registration application on secretary of state's website; allow. Amends secs. 509v, 509w & 509x of 1954 PA 116 (MCL 168.509v et seq.).Last Action: REFERRED TO COMMITTEE ON ELECTIONS AND GOVERNMENT REFORM"
SB 0057 of 2017,Senate Bill,Health; blood; childhood lead poisoning prevention and control commission; establish. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 5478a.  TIE BAR WITH: SB 0058'17Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0058 of 2017,Senate Bill,Health; blood; duties of the childhood lead poisoning prevention and control commission; provide for. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 5478b.  TIE BAR WITH: SB 0057'17Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0059 of 2017,Senate Bill,Individual income tax; credit; Individual income tax; credit; credit for payment of certain student loans; create. Amends 1967 PA 281 (MCL 206.1 - 206.713) by adding sec. 275.Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0060 of 2017,Senate Bill,Individual income tax; credit; child and dependent care credit; create. Amends 1967 PA 281 (MCL 206.1 - 206.713) by adding secs. 275 & 675.Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0061 of 2017,Senate Bill,Education; intermediate school districts; disorganization process for intermediate school districts; modify. Amends sec. 703 of 1976 PA 451 (MCL 380.703).Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0062 of 2017,Senate Bill,Health; hazardous products; provision related to rental unit containing lead-based paint hazard; modify. Amends sec. 5475a of 1978 PA 368 (MCL 333.5475a).Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0063 of 2017,Senate Bill,Water; quality; drinking water; reduce lead action level. Amends sec. 5 of 1976 PA 399 (MCL 325.1005).Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0064 of 2017,Senate Bill,Public employees and officers; ethics; financial disclosure report; require certain candidates for elective office and state and local officials to file. Creates new act.Last Action: REFERRED TO COMMITTEE ON ELECTIONS AND GOVERNMENT REFORM
SB 0065 of 2017,Senate Bill,Civil procedure; civil actions; false claims act; enact. Creates new act.Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0066 of 2017,Senate Bill,Health facilities; employees; criminal history check for employment in a covered facility; modify. Amends secs. 20173a & 20173b of 1978 PA 368 (MCL 333.20173a & 333.20173b).Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0067 of 2017,Senate Bill,Mental health; other; criminal history check; modify. Amends sec. 134a of 1974 PA 258 (MCL 330.1134a).Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0068 of 2017,Senate Bill,Human services; adult foster care; criminal history check; modify. Amends secs. 4 & 34b of 1979 PA 218 (MCL 400.704 & 400.734b).Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0069 of 2017 (PA 0021 of 2017),Senate Bill,State financing and management; other; disclosure of certain information in procurement process; modify. Amends sec. 261 of 1984 PA 431 (MCL 18.1261).Last Action: ASSIGNED PA 0021'17 WITH IMMEDIATE EFFECT
SB 0070 of 2017,Senate Bill,"Veterans; benefits; service bonus for certain Vietnam veterans; expand eligibility. Amends secs. 2, 7 & 11 of 1974 PA 370 (MCL 35.1022 et seq.).Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SB 0071 of 2017,Senate Bill,Vehicles; registration; vehicle registration fees; exempt senior citizens from increases. Amends sec. 801 of 1949 PA 300 (MCL 257.801).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION
SB 0072 of 2017 (PA 265 of 2017),Senate Bill,Corrections; parole; parole eligibility for certain controlled substance offenders; modify. Amends sec. 34 of 1953 PA 232 (MCL 791.234).  TIE BAR WITH: SB 0073'17Last Action: ASSIGNED PA 265'17 WITH IMMEDIATE EFFECT
SB 0073 of 2017 (PA 266 of 2017),Senate Bill,Crimes; controlled substances; parole eligibility for certain controlled substance offenders; modify. Amends sec. 7413 of 1978 PA 368 (MCL 333.7413).  TIE BAR WITH: SB 0072'17Last Action: ASSIGNED PA 266'17 WITH IMMEDIATE EFFECT
SB 0074 of 2017,Senate Bill,Crimes; penalties; penalties for selling tobacco product to minor; increase. Amends secs. 1 & 2 of 1915 PA 31 (MCL 722.641 & 722.642).Last Action: REFERRED TO COMMITTEE OF THE WHOLE WITH SUBSTITUTE S-1
SB 0075 of 2017,Senate Bill,Veterans; veterans' homes; requirement for Michigan veterans' facility to notify certain legislators of the death of a constituent; provide for. Creates new act.Last Action: REFERRED TO COMMITTEE OF THE WHOLE WITH SUBSTITUTE S-1
SB 0076 of 2017 (PA 0093 of 2017),Senate Bill,Appropriations; supplemental; Michigan natural resources trust fund; provide appropriations for fiscal year 2016-2017. Creates appropriation act.Last Action: ASSIGNED PA 0093'17 WITH IMMEDIATE EFFECT
SB 0077 of 2017,Senate Bill,"Vehicles; fund-raising registration plates; fund-raising registration plate for the ""Thin Blue Line""; provide for. Amends 1949 PA 300 (MCL 257.1 - 257.923) by adding sec. 811jj.Last Action: referred to Committee on Transportation and Infrastructure"
SB 0078 of 2017,Senate Bill,Property tax; principal residence exemption; homestead exemption; continue exemption upon death of homeowner under certain conditions. Amends sec. 7cc of 1893 PA 206 (MCL 211.7cc).Last Action: referred to Committee on Tax Policy
SB 0079 of 2017,Senate Bill,"Education; teachers; provisions relating to interim teaching certification and to teaching of certain courses by noncertificated, nonendorsed teachers; modify. Amends secs. 1233b & 1531i of 1976 PA 451 (MCL 380.1233b & 380.1531i).Last Action: REFERRED TO COMMITTEE ON EDUCATION"
SB 0080 of 2017,Senate Bill,"Traffic control; accidents; samples used for chemical analysis; expand to include urine, and expand implied consent under certain circumstances. Amends secs. 625a & 625c of 1949 PA 300 (MCL 257.625a & 257.625c).Last Action: referred to Committee on Judiciary"
SB 0081 of 2017,Senate Bill,"Education; curriculum; implementation of certain curriculum standards and assessments in place of common core curriculum standards and assessments in this state; require. Amends sec. 1278 of 1976 PA 451 (MCL 380.1278) & adds secs. 1278e, 1278f & 1278g.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SB 0082 of 2017,Senate Bill,"Legislature; apportionment; legislative redistricting commission; create. Amends secs. 1, 1a & 2 of 1996 PA 463 (MCL 4.261 et seq.) & repeals secs. 3 & 4 of 1996 PA 463 (MCL 4.263 & 4.264).Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SB 0083 of 2017,Senate Bill,Civil rights; public records; legislative branch; include in freedom of information act. Amends sec. 2 of 1976 PA 442 (MCL 15.232).Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0084 of 2017,Senate Bill,Housing; homeless; homeless bill of rights; provide for. Creates new act.Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT
SB 0085 of 2017,Senate Bill,Criminal procedure; records; automatic expunction of arrest records for wrongful arrest due to mistaken identity or identity theft; provide for. Amends 1927 PA 175 (MCL 760.1 - 777.69) by adding sec. 12 to ch. III.Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0086 of 2017,Senate Bill,Crimes; other; reporting of burn injuries by medical personnel to law enforcement; require under certain circumstances. Amends sec. 411 of 1931 PA 328 (MCL 750.411).Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0087 of 2017,Senate Bill,Human services; services or financial assistance; water rate affordability; provide for. Creates new act.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0088 of 2017,Senate Bill,"Transportation; school vehicles; installation of safety cameras in certain school buses; allow, and provide for suspension of driver license under certain circumstances. Amends secs. 319, 682 & 907 of 1949 PA 300 (MCL 257.319 et seq.).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION"
SB 0089 of 2017,Senate Bill,Corporate income tax; credits; credit for certain employers that provide employment for certain veterans; create. Amends 1967 PA 281 (MCL 206.1 - 206.713) by adding sec. 672.Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0090 of 2017,Senate Bill,"Holidays; other; ""Blue Star Mothers Day""; designate as February 1. Creates new act.Last Action: REFERRED TO COMMITTEE OF THE WHOLE"
SB 0091 of 2017,Senate Bill,Sales tax; exemptions; sale of feminine hygiene products; exempt. Amends sec. 4a of 1933 PA 167 (MCL 205.54a).Last Action: REFERRED TO COMMITTEE OF THE WHOLE
SB 0092 of 2017,Senate Bill,Use tax; exemptions; sale of feminine hygiene products; exempt. Amends sec. 4 of 1937 PA 94 (MCL 205.94).Last Action: REFERRED TO COMMITTEE OF THE WHOLE
SB 0093 of 2017,Senate Bill,Education; curriculum; granting academic credit for internship; require under certain circumstances. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1279h.Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0094 of 2017 (PA 02 of 2018),Senate Bill,Sales tax; collections; sales tax on the difference for motor vehicles and for recreational vehicles; accelerate phase-in and provide for. Amends sec. 1 of 1933 PA 167 (MCL 205.51).Last Action: ASSIGNED PA 02'18 WITH IMMEDIATE EFFECT
SB 0095 of 2017 (PA 01 of 2018),Senate Bill,Use tax; collections; use tax on the difference for motor vehicles and for recreational vehicles; accelerate phase-in and provide for. Amends sec. 2 of 1937 PA 94 (MCL 205.92).Last Action: ASSIGNED PA 01'18 WITH IMMEDIATE EFFECT
SB 0096 of 2017,Senate Bill,Insurance; health insurers; health insurance claims assessment act; exempt Michigan's federally recognized Indian tribes. Amends sec. 2 of 2011 PA 142 (MCL 550.1732) & adds sec. 2a.Last Action: REFERRED TO COMMITTEE ON INSURANCE
SB 0097 of 2017,Senate Bill,State financing and management; authorities; public-private partnerships; allow for certain public authorities. Creates new act.Last Action: referred to second reading
SB 0098 of 2017 (PA 0150 of 2017),Senate Bill,Higher education; financial aid; number of governing bodies authorized to establish promise zones; increase. Amends sec. 4 of 2008 PA 549 (MCL 390.1664).Last Action: ASSIGNED PA 0150'17 WITH IMMEDIATE EFFECT
SB 0099 of 2017,Senate Bill,Education; curriculum; model field trip program for food education; create. Amends sec. 2 of 2008 PA 315 (MCL 388.842) & adds sec. 3a.Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0100 of 2017,Senate Bill,"Civil procedure; costs and fees; recovery of costs and fees in an action involving this state; remove certain restrictions. Amends secs. 2421b, 2421c, 2421d & 2421e of 1961 PA 236 (MCL 600.2421b et seq.).  TIE BAR WITH: SB 0101'17Last Action: VETOED BY GOVERNOR 12/28/2018   12/31/18 ADDENDA"
SB 0101 of 2017,Senate Bill,"Administrative procedure; contested cases; award of costs and fees to prevailing party in a case involving this state; remove certain restrictions; exempt parole hearings from administrative procedures act, and make general revisions to contested case provisions. Amends secs. 71, 72, 80, 87, 115, 122 & 123 of 1969 PA 306 (MCL 24.271 et seq.).  TIE BAR WITH: SB 0100'17Last Action: VETOED BY GOVERNOR 12/28/2018   12/31/18 ADDENDA"
SB 0102 of 2017 (PA 0038 of 2017),Senate Bill,Property; other; Michigan community foundation act; create. Creates new act & repeals (See bill).Last Action: ASSIGNED PA 0038'17 WITH IMMEDIATE EFFECT
SB 0103 of 2017,Senate Bill,Education; attendance; compulsory attendance requirements; modify. Amends secs. 1311 & 1561 of 1976 PA 451 (MCL 380.1311 & 380.1561).Last Action: referred to Committee on Judiciary
SB 0104 of 2017,Senate Bill,Education; attendance; intervention policy for truant or chronically absent students; provide for. Amends sec. 1586 of 1976 PA 451 (MCL 380.1586).  TIE BAR WITH: SB 0103'17Last Action: referred to Committee on Judiciary
SB 0105 of 2017,Senate Bill,"Education; discipline; reporting of suspensions, expulsion, truancy, and absenteeism; revise. Amends sec. 1310a of 1976 PA 451 (MCL 380.1310a).  TIE BAR WITH: SB 0103'17Last Action: referred to Committee on Judiciary"
SB 0106 of 2017,Senate Bill,"Juveniles; truancy; jurisdiction of court regarding truancy and chronic absenteeism; modify. Amends sec. 2, ch. XIIA of 1939 PA 288 (MCL 712A.2).  TIE BAR WITH: SB 0103'17Last Action: referred to Committee on Judiciary"
SB 0107 of 2017 (PA 169 of 2017),Senate Bill,Housing; inspection; inspection procedures and regulations; modify. Amends sec. 126 of 1917 PA 167 (MCL 125.526).Last Action: ASSIGNED PA 169'17 WITH IMMEDIATE EFFECT
SB 0108 of 2017,Senate Bill,Agriculture; other; urban agriculture act; create. Creates new act.Last Action: REFERRED TO COMMITTEE ON AGRICULTURE
SB 0109 of 2017,Senate Bill,Land use; zoning and growth management; zoning ordinance to regulate the raising of livestock in urban and suburban areas; provide for under certain circumstances. Amends 2006 PA 110 (MCL 125.3101 - 125.3702) by adding sec. 205b.  TIE BAR WITH: SB 0108'17Last Action: REFERRED TO COMMITTEE ON AGRICULTURE
