Document,Type,Description
SB 0016 of 2023,Senate Bill,"Records: death; amendment of a death record by any individual other than a person who completed certain certifications of the death record; prohibit. Amends sec. 2896 of 1978 PA 368 (MCL 333.2896).Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0017 of 2023,Senate Bill,"Fireworks: ordinances; the days that fireworks use may be regulated by a local unit of government; modify, and increase sanctions for certain violations. Amends secs. 7 & 12 of 2011 PA 256 (MCL 28.457 & 28.462).Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT"
SB 0018 of 2023 (PA 32 of 2023),Senate Bill,"Holidays: other; ""Fred Korematsu Day""; designate as January 30 of each year. Amends title of 2003 PA 225 (MCL 435.301 - 435.303) & adds sec. 4.Last Action: ASSIGNED PA 0032'23 WITH IMMEDIATE EFFECT"
SB 0019 of 2023,Senate Bill,"Property tax: tax tribunal; tax tribunal jurisdiction over certain disputes related to the assessment of property for purposes of property taxes; amend. Amends secs. 31 & 35a of 1973 PA 186 (MCL 205.731 & 205.735a).Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0020 of 2023,Senate Bill,"Property tax: appeals; process for appealing certain assessment-related disputes as to certain property; amend. Amends sec. 34 of 1893 PA 206 (MCL 211.34) & adds secs. 34f & 34g.Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0021 of 2023,Senate Bill,Highways: bridges; Mackinac Bridge; designate as critical infrastructure. Amends sec. 552c of 1931 PA 328 (MCL 750.552c).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE
SB 0022 of 2023 (PA 219 of 2023),Senate Bill,"Aeronautics: airports; prohibition of weapons in a sterile area of an airport; clarify, and provide penalties. Amends sec. 80f of 1945 PA 327 (MCL 259.80f).Last Action: ASSIGNED PA 0219'23"
SB 0023 of 2023,Senate Bill,School aid: membership; requirements concerning counting pupils in membership; modify for pupils enrolled in certain work-based learning experiences. Amends secs. 6 & 11 of 1979 PA 94 (MCL 388.1606 & 388.1611) & adds sec. 61e.Last Action: REFERRED TO COMMITTEE OF THE WHOLE WITH SUBSTITUTE (S-1)
SB 0024 of 2023,Senate Bill,"Individual income tax: returns; extension of filing deadline for income taxes under certain circumstances; authorize. Amends sec. 301a of 1967 PA 281 (MCL 206.301a).Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0025 of 2023,Senate Bill,Public utilities: water utilities; human right to water act; create. Creates new act.Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES
SB 0026 of 2023,Senate Bill,Environmental protection: air pollution; civil and administrative fines; utilize to benefit communities affected by pollution. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding sec. 5534.Last Action: referred to second reading
SB 0027 of 2023 (PA 0041 of 2024),Senate Bill,Insurance: health insurers; equitable coverage for behavioral health and substance use disorder treatment; provide for. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 3406hh.Last Action: ASSIGNED PA 0041'24
SB 0028 of 2023,Senate Bill,Mental health: other; definition of restraint; expand. Amends secs. 700 & 740 of 1974 PA 258 (MCL 330.1700 & 330.1740) & repeals sec. 742 of 1974 PA 258 (MCL 330.1742).Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0029 of 2023,Senate Bill,Education: attendance; excused mental health days; allow certain number. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1586a.Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0030 of 2023,Senate Bill,"Highways: memorial; portion of M-22; designate as the ""Company K Indian Veterans 1st Michigan Sharpshooters Civil War Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2092) by adding sec. 108. Last Action: placed on second reading"
SB 0031 of 2023 (PA 146 of 2023),Senate Bill,"Health: screening; screening minors for lead poisoning; require at intervals determined by the department of health and human services by rule, and require documentation of screening in certificate of immunization. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 5474d.  TIE BAR WITH: HB 4200'23Last Action: ASSIGNED PA 0146'23 WITH IMMEDIATE EFFECT"
SB 0032 of 2023 (PA 44 of 2023),Senate Bill,Law enforcement: training; law enforcement agencies that fund police training for recruits; allow agreements requiring reimbursement in certain situations. Amends sec. 8 of 1978 PA 390 (MCL 408.478).  TIE BAR WITH: HB 4176'23Last Action: ASSIGNED PA 0044'23 WITH IMMEDIATE EFFECT
SB 0033 of 2023,Senate Bill,Records: other; reporting of pre-incarceration address of incarcerated individuals by the department of corrections for voting district population counts; require. Creates new act.Last Action: REFERRED TO COMMITTEE ON ELECTIONS AND ETHICS
SB 0034 of 2023 (PA 8 of 2023),Senate Bill,"Labor: collective bargaining; collective bargaining rights; revise to restore former provisions. Amends secs. 1, 2, 14 & 17 of 1939 PA 176 (MCL 423.1 et seq.).Last Action: ASSIGNED PA 0008'23"
SB 0035 of 2023 (PA 53 of 2023),Senate Bill,Human services: food assistance; asset test for food assistance program eligibility; eliminate. Amends sec. 10d of 1939 PA 280 (MCL 400.10d).Last Action: ASSIGNED PA 0053'23
SB 0036 of 2023,Senate Bill,"Occupations: electricians; definition of electrical energy supply agency; provide for, and expand the exemption from licensure under article 7 of the skilled trades regulation act for certain actions. Amends secs. 701 & 737 of 2016 PA 407 (MCL 339.5701 & 339.5737).Last Action: REFERRED TO COMMITTEE ON LABOR"
SB 0037 of 2023,Senate Bill,"Criminal procedure: sentencing guidelines; reference to crime of administering drugs to procure miscarriage; remove to reflect repeal. Amends sec. 16a, ch. XVII of 1927 PA 175 (MCL 777.16a).   TIE BAR WITH: SB 0039'23Last Action: referred to Committee on Judiciary"
SB 0038 of 2023,Senate Bill,Corrections: other; reference to crime of administering drugs to procure miscarriage; remove to reflect repeal. Amends sec. 33b of 1953 PA 232 (MCL 791.233b).  TIE BAR WITH: SB 0039'23Last Action: REASSIGNED TO COMMITTEE ON HEALTH POLICY
SB 0039 of 2023,Senate Bill,Crimes: abortion; penalty for administering with intent to procure miscarriage; repeal. Repeals sec. 14 of 1931 PA 328 (MCL 750.14). Last Action: referred to Committee on Judiciary
SB 0040 of 2023 (PA 173 of 2024),Senate Bill,Employment security: benefits; maximum number of unemployment benefit weeks; increase. Amends sec. 27 of 1936 (Ex Sess) PA 1 (MCL 421.27).Last Action: ASSIGNED PA 0173'24
SB 0041 of 2023,Senate Bill,Construction: housing; ordinance prohibiting the use of energy-efficient appliances in new or existing residential buildings; prohibit local units of government from enacting. Amends sec. 13a of 1972 PA 230 (MCL 125.1513a).Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT
SB 0042 of 2023,Senate Bill,School aid: fiscal year appropriations; appropriation of certain funds for rural district transportation; provide for. Amends 1979 PA 94 (MCL 388.1601 - 388.1896) by adding sec. 22e.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0043 of 2023 (PA 164 of 2023),Senate Bill,Highways: construction and repair; use of certain traffic control devices when closing a freeway or portion of freeway; require under certain conditions. Amends sec. 1 of 1917 PA 165 (MCL 247.291) & adds secs. 1a & 1b.Last Action: ASSIGNED PA 0164'23 WITH IMMEDIATE EFFECT
SB 0044 of 2023,Senate Bill,Health occupations: health professionals; invasive bodily examinations; prohibit under certain circumstances. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 16279.  TIE BAR WITH: SB 0045'23Last Action: referred to Committee on Health Policy
SB 0045 of 2023,Senate Bill,Health occupations: health professionals; definition of invasive bodily examination; add. Amends secs. 16105 & 16106 of 1978 PA 368 (MCL 333.16105 & 333.16106).   TIE BAR WITH: SB 0044'23Last Action: referred to Committee on Health Policy
SB 0046 of 2023,Senate Bill,Natural resources: hunting; penalty for failing to report a deer harvest or retain a deer harvest confirmation number; modify. Amends sec. 40118 of 1994 PA 451 (MCL 324.40118).Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND AGRICULTURE
SB 0047 of 2023,Senate Bill,"Land use: farmland and open space; relinquishment of portion of farmland from agreement or easement; allow to make boundaries more regular. Amends secs. 36103, 36110 & 36111 of 1994 PA 451 (MCL 324.36103 et seq.).Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND AGRICULTURE"
SB 0048 of 2023,Senate Bill,"Use tax: exemptions; delivery and installation; exempt from use tax. Amends secs. 2 & 21 of 1937 PA 94 (MCL 205.92 & 205.111).Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0049 of 2023,Senate Bill,"Sales tax: exemptions; delivery and installation; exempt from sales tax. Amends secs. 1 & 25 of 1933 PA 167 (MCL 205.51 & 205.75).Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0050 of 2023 (PA 54 of 2023),Senate Bill,"Holidays: other; ""Juneteenth""; designate as a public holiday and observe on June 19. Amends secs. 1 & 2 of 1865 PA 124 (MCL 435.101 & 435.102).Last Action: ASSIGNED PA 0054'23 WITH IMMEDIATE EFFECT"
SB 0051 of 2023,Senate Bill,"Individual income tax: exemptions; increasing personal exemption, reducing income tax rate, lowering age for unrestricted deduction, and increasing deduction for certain retirement or pension benefits; provide for. Amends secs. 30 & 51 of 1967 PA 281 (MCL 206.30 & 206.51).Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0052 of 2023 (PA 55 of 2023),Senate Bill,Natural resources: hunting; penalty for failing to report a deer harvest or retain a deer harvest confirmation number; modify. Amends sec. 40118 of 1994 PA 451 (MCL 324.40118).Last Action: ASSIGNED PA 0055'23 WITH IMMEDIATE EFFECT
SB 0053 of 2023,Senate Bill,Children: protection; Availability of confidential records; modify. Amends sec. 7 of 1975 PA 238 (MCL 722.627).Last Action: REFERRED TO COMMITTEE ON OVERSIGHT
SB 0054 of 2023,Senate Bill,Education: curriculum; instructions on the risks associated with gambling; include in curriculum. Amends sec. 1170b of 1976 PA 451 (MCL 380.1170b).Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0055 of 2023 (PA 191 of 2023),Senate Bill,Property tax: exemptions; retroactive application of poverty exemption; provide for. Amends secs. 7u & 53b of 1893 PA 206 (MCL 211.7u & 211.53b).Last Action: ASSIGNED PA 0191'23 WITH IMMEDIATE EFFECT
SB 0056 of 2023 (PA 78 of 2023),Senate Bill,Crimes: other; lewd and lascivious cohabitation; repeal prohibition. Amends sec. 335 of 1931 PA 328 (MCL 750.335).Last Action: ASSIGNED PA 0078'23 WITH IMMEDIATE EFFECT
SB 0057 of 2023 (PA 18 of 2024),Senate Bill,Controlled substances: drug paraphernalia; sale of nitrous oxide devices; prohibit. Amends sec. 7453 of 1978 PA 368 (MCL 333.7453).  TIE BAR WITH: SB 0058'23Last Action: ASSIGNED PA 0018'24 WITH IMMEDIATE EFFECT
SB 0058 of 2023 (PA 19 of 2024),Senate Bill,Controlled substances: drug paraphernalia; penalties for sale of nitrous oxide devices; provide for. Amends sec. 7455 of 1978 PA 368 (MCL 333.7455).  TIE BAR WITH: SB 0057'23Last Action: ASSIGNED PA 0019'24 WITH IMMEDIATE EFFECT
SB 0059 of 2023 (PA 56 of 2023),Senate Bill,Mental health: code; definition of a peace officer in the mental health code; modify. Amends sec. 100c of 1974 PA 258 (MCL 330.1100c).Last Action: ASSIGNED PA 0056'23 WITH IMMEDIATE EFFECT
SB 0060 of 2023,Senate Bill,"Use tax: other; use tax on residential home heating fuels; eliminate. Amends sec. 4n of 1937 PA 94 (MCL 205.94n).Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0061 of 2023,Senate Bill,"Sales tax: other; sales tax on residential home heating fuels; eliminate. Amends sec. 4n of 1933 PA 167 (MCL 205.54n).Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0062 of 2023,Senate Bill,Vehicles: fund-raising registration plates; fund-raising plates for prostate cancer awareness; create. Amends 1949 PA 300 (MCL 257.1 - 257.923) by adding sec. 811ii.Last Action: referred to Committee on Government Operations
SB 0063 of 2023 (PA 26 of 2023),Senate Bill,Education: financing; use of school sinking fund; allow for school transportation. Amends sec. 1212 of 1976 PA 451 (MCL 380.1212).Last Action: ASSIGNED PA 0026'23 WITH IMMEDIATE EFFECT
SB 0064 of 2023,Senate Bill,Gaming: lottery; commission to retailers; increase. Amends sec. 11 of 1972 PA 239 (MCL 432.11) & adds sec. 11a.Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS
SB 0065 of 2023,Senate Bill,"Property tax: state essential services assessment; filing process; modify. Amends 2014 PA 92 (MCL 211.1051 - 211.1061) by adding sec. 7a.Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0066 of 2023 (PA 57 of 2023),Senate Bill,Education: students; information regarding sexual assault and harassment; require schools to provide to students and encourage related professional development. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding secs. 1508 & 1526b.Last Action: ASSIGNED PA 0057'23 WITH IMMEDIATE EFFECT
SB 0067 of 2023 (PA 58 of 2023),Senate Bill,"Crimes: criminal sexual conduct; sexual contact and sexual penetration under pretext of medical treatment; prohibit, and provide penalties. Amends sec. 90 of 1931 PA 328 (MCL 750.90).Last Action: ASSIGNED PA 0058'23 WITH IMMEDIATE EFFECT"
SB 0068 of 2023 (PA 59 of 2023),Senate Bill,"Criminal procedure: sentencing guidelines; sentencing guidelines for sexual contact or sexual penetration under pretext of medical treatment; modify. Amends sec. 16d, ch. XVII of 1927 PA 175 (MCL 777.16d).  TIE BAR WITH: SB 0067'23Last Action: ASSIGNED PA 0059'23 WITH IMMEDIATE EFFECT"
SB 0069 of 2023 (PA 60 of 2023),Senate Bill,Health occupations: health professionals; additional individual present during certain examinations of minors; require under certain circumstances and require consent. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding secs. 16279 & 16279a.Last Action: ASSIGNED PA 0060'23 WITH IMMEDIATE EFFECT
SB 0070 of 2023 (PA 61 of 2023),Senate Bill,"Criminal procedure: sentencing guidelines; sentencing guidelines for the crime of performing certain medical treatments on a minor without consent and another individual present and intentionally omitting certain services in a medical record; enact. Amends sec. 13n, ch. XVII of 1927 PA 175 (MCL 777.13n).  TIE BAR WITH: SB 0069'23, SB 0071'23Last Action: ASSIGNED PA 0061'23 WITH IMMEDIATE EFFECT"
SB 0071 of 2023 (PA 62 of 2023),Senate Bill,"Health: medical records; provision for the protection, retention, and maintenance of medical records referencing a vaginal or anal penetration treatment for 15 years by a health professional and health facility or agency; implement, and authorize department to provide guidance to licensees on certain medical services. Amends secs. 16213, 20175, 20175a & 20199 of 1978 PA 368 (MCL 333.16213 et seq.) & adds secs. 16213a, 16429, 17029, 17529, 17829, 17909 & 20175b.Last Action: ASSIGNED PA 0062'23 WITH IMMEDIATE EFFECT"
SB 0072 of 2023 (PA 63 of 2023),Senate Bill,"Criminal procedure: sentencing guidelines; sentencing guidelines for the crime of performing certain medical treatments on a minor without consent and another individual present and intentionally omitting certain services in a medical record; enact. Amends sec. 13n, ch. XVII of 1927 PA 175 (MCL 777.13n).  TIE BAR WITH: SB 0069'23, SB 0071'23Last Action: ASSIGNED PA 0063'23 WITH IMMEDIATE EFFECT"
SB 0073 of 2023 (PA 64 of 2023),Senate Bill,Civil rights: public records; identity of parties proceeding anonymously in civil actions alleging sexual misconduct; exempt from disclosure under freedom of information act. Amends sec. 13 of 1976 PA 442 (MCL 15.243).Last Action: ASSIGNED PA 0064'23 WITH IMMEDIATE EFFECT
SB 0074 of 2023,Senate Bill,"Civil rights: sex discrimination and harassment; office of the higher education sexual assault prevention, advocacy, and resource officer; create within department of civil rights. Creates new act.Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0075 of 2023,Senate Bill,"Legislature: rules; bills or initiative petitions to take effect upon the expiration of 90 days after the date they are filed with the secretary of state; provide for. Implements sec. 27, art. IV of the state constitution.  TIE BAR WITH: SJR B'23Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SB 0076 of 2023,Senate Bill,"Weapons: firearms; license or background check for purchase of firearms; require. Amends secs. 2, 2a, 2b, 12 & 14a of 1927 PA 372 (MCL 28.422 et seq.).Last Action: referred to Committee on Judiciary"
SB 0077 of 2023,Senate Bill,Weapons: firearms; references to pistol in penal code; update. Amends secs. 223 & 232a of 1931 PA 328 (MCL 750.223 & 750.232a).   TIE BAR WITH: SB 0076'23Last Action: referred to Committee on Judiciary
SB 0078 of 2023,Senate Bill,"Weapons: firearms; references in sentencing guidelines; update. Amends secs. 11b & 16m, ch. XVII of 1927 PA 175 (MCL 777.11b & 777.16m).  TIE BAR WITH: SB 0076'23Last Action: referred to Committee on Judiciary"
SB 0079 of 2023 (PA 17 of 2023),Senate Bill,Crimes: weapons; penalties for storing or leaving a firearm where it may be accessed by a minor; provide for. Amends sec. 15 of 1927 PA 372 (MCL 28.435) & adds sec. 9.Last Action: ASSIGNED PA 0017'23
SB 0080 of 2023 (PA 16 of 2023),Senate Bill,"Crimes: weapons; sentencing guidelines reference; update. Amends sec. 11b, ch. XVII of 1927 PA 175 (MCL 777.11b).  TIE BAR WITH: SB 0079'23Last Action: ASSIGNED PA 0016'23"
SB 0081 of 2023 (PA 15 of 2023),Senate Bill,Sales tax: exemptions; firearm safety devices; exempt. Amends 1933 PA 167 (MCL 205.51 - 205.78) by adding sec. 4ll.Last Action: ASSIGNED PA 0015'23
SB 0082 of 2023 (PA 14 of 2023),Senate Bill,Use tax: exemptions; firearm safety devices; exempt. Amends 1937 PA 94 (MCL 205.91 - 205.111) by adding sec. 4ll.Last Action: ASSIGNED PA 0014'23
SB 0083 of 2023 (PA 38 of 2023),Senate Bill,"Civil procedure: injunctions; extreme risk protection order act; enact. Creates new act.  TIE BAR WITH: HB 4146'23, HB 4147'23Last Action: ASSIGNED PA 0038'23"
SB 0084 of 2023,Senate Bill,"Weapons: firearms; purchase of firearms; prohibit if individual has an extreme risk protection order. Amends secs. 2, 2b, 5b & 8 of 1927 PA 372 (MCL 28.422 et seq.).  TIE BAR WITH: SB 0083'23Last Action: referred to second reading"
SB 0085 of 2023,Senate Bill,Criminal procedure: sentencing guidelines; guidelines for making a false statement in support of an extreme risk protection order; enact. Amends 1927 PA 175 (MCL 760.1 - 777.69) by adding sec. 15e to ch. XVII.  TIE BAR WITH: SB 0083'23Last Action: referred to second reading
SB 0086 of 2023,Senate Bill,"Civil procedure: service of process; service of process for extreme risk protection order actions; provide for, and waive court fees. Amends secs. 1908, 2529 & 2559 of 1961 PA 236 (MCL 600.1908 et seq.).  TIE BAR WITH: SB 0083'23Last Action: referred to second reading"
SB 0087 of 2023,Senate Bill,"Vehicles: registration plates; timing for dealer transfer and fees; amend. Amends sec. 234 of 1949 PA 300 (MCL 257.234). Last Action: referred to Committee on Transportation, Mobility and Infrastructure"
SB 0088 of 2023 (PA 173 of 2023),Senate Bill,"Water supply: quality and standards; installations of filtration systems in child care centers; require. Amends sec. 1 of 1973 PA 116 (MCL 722.111) & adds sec. 3i.  TIE BAR WITH: HB 4341'23, HB 4342'23Last Action: ASSIGNED PA 0173'23 WITH IMMEDIATE EFFECT"
SB 0089 of 2023,Senate Bill,"Water supply: quality and standards; clean drinking water in schools and child care centers; provide for. Creates new act.Last Action: referred to Committee on Natural Resources, Environment, Tourism and Outdoor Recreation"
SB 0090 of 2023 (PA 45 of 2023),Senate Bill,Civil rights: racial discrimination; discrimination based on traits historically associated with race such as hair texture; prohibit. Amends sec. 103 of 1976 PA 453 (MCL 37.2103).Last Action: ASSIGNED PA 0045'23 WITH IMMEDIATE EFFECT
SB 0091 of 2023,Senate Bill,Appropriations: supplemental; appropriations for multiple departments and branches for fiscal year 2022-2023; provide for. Creates appropriation act.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0092 of 2023,Senate Bill,"Appropriations: supplemental; supplemental appropriations in the school aid act for fiscal year 2022-2023; provide for. Amends secs. 11, 17b, 201 & 236 of 1979 PA 94 (MCL 388.1611 et seq.).Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SB 0093 of 2023,Senate Bill,Health: abortion; penalties for the sale of drugs or medicine to procure a miscarriage; modify. Repeals sec. 15 of 1931 PA 328 (MCL 750.15). Last Action: referred to Committee on Judiciary
SB 0094 of 2023,Senate Bill,"Property tax: tax tribunal; tax tribunal jurisdiction; exclude federal statutory or constitutional civil rights claims. Amends sec. 31 of 1973 PA 186 (MCL 205.731).Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0095 of 2023,Senate Bill,"Individual income tax: property tax credit; replacement of disabled veterans property tax exemption with a property tax credit for disabled veterans; provide for. Amends secs. 520, 522 & 524 of 1967 PA 281 (MCL 206.520 et seq.) & adds sec. 521.  TIE BAR WITH: SB 0096'23Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0096 of 2023,Senate Bill,"Property tax: exemptions; disabled veteran exemption; replace with process to apply for an income tax credit. Amends sec. 7b of 1893 PA 206 (MCL 211.7b).  TIE BAR WITH: SB 0095'23Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0097 of 2023 (PA 27 of 2023),Senate Bill,Use tax: exemptions; industrial processing exemption; clarify. Amends sec. 4o of 1937 PA 94 (MCL 205.94o).  TIE BAR WITH: HB 4054'23Last Action: ASSIGNED PA 0027'23 WITH IMMEDIATE EFFECT
SB 0098 of 2023,Senate Bill,"Sales tax: exemptions; industrial processing exemption; clarify. Amends sec. 4t of 1933 PA 167 (MCL 205.54t).  TIE BAR WITH: SB 0097'23Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0099 of 2023,Senate Bill,Education: athletics; admission fee for high school interscholastic athletic activities; allow for cash as accepted form of payment. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1290.Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0100 of 2023,Senate Bill,Transportation: railroads; minimum freight train operating crew size; require. Amends 1933 PA 354 (MCL 462.101 - 462.451) by adding sec. 352.Last Action: placed on second reading
SB 0101 of 2023 (PA 28 of 2023),Senate Bill,"Insurance: other; procedures for electronic meetings of private insurance companies; eliminate sunset. Amends secs. 5228, 5230 & 5245 of 1956 PA 218 (MCL 500.5228 et seq.).Last Action: ASSIGNED PA 0028'23 WITH IMMEDIATE EFFECT"
SB 0102 of 2023,Senate Bill,"Taxation: other; reporting estimate of amount of use tax forgone; modify to reflect change in use tax act. Amends sec. 6 of 1979 PA 72 (MCL 21.276).  TIE BAR WITH: HB 4040'23Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0103 of 2023 (PA 220 of 2023),Senate Bill,"Natural resources: fishing; requirements for sports fishing guides; provide for. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding secs. 48714a & 48714b.  TIE BAR WITH: SB 0104'23, SB 0105'23Last Action: ASSIGNED PA 0220'23"
SB 0104 of 2023 (PA 221 of 2023),Senate Bill,"Natural resources: hunting; commercial hunting guides; provide for. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding secs. 43528c & 43528d.  TIE BAR WITH: SB 0103'23, SB 0105'23Last Action: ASSIGNED PA 0221'23"
SB 0105 of 2023 (PA 222 of 2023),Senate Bill,"Natural resources: fishing; exclusive authority to regulate sport fishing; provide to natural resources commission. Amends sec. 40113a of 1994 PA 451 (MCL 324.40113a).  TIE BAR WITH: SB 0104'23, SB 0103'23Last Action: ASSIGNED PA 0222'23"
SB 0106 of 2023,Senate Bill,Crimes: penalties; penalties for partial-birth abortion and coercion to have abortion; increase. Amends secs. 90h & 213a of 1931 PA 328 (MCL 750.90h & 750.213a).Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
