Document,Type,Description
SR 0017 of 2017,Senate Resolution,"A resolution for adoption of the Standing Rules of the Senate.
Last Action: ADOPTED"
HR 0017 of 2017,House Resolution,"A resolution to declare February 2017 as Heart Month and February 3, 2017, as Go Red for Women Day in the state of Michigan.
Last Action: adopted"
HR 0018 of 2017,House Resolution,"A resolution to memorialize the Congress of the United States to pursue humane and responsible immigration policies and oppose discriminatory policies and practices in immigration enforcement.Last Action: referred to Committee on Government Operations"
SR 0018 of 2017,Senate Resolution,"A resolution commemorating March 2017 as Ethnic and Cultural Heritage Month.
Last Action: ADOPTED"
SR 0019 of 2017,Senate Resolution,"A resolution to oppose Ontario Power Generation’s proposal to build a nuclear waste repository in Kincardine, Ontario, to memorialize the United States Congress to do all it can to oppose the construction of any underground nuclear waste repository in the Great Lakes basin, and to urge the Canadian government to prohibit the siting and construction of a nuclear waste repository anywhere in the Great Lakes basin.Last Action: REFERRED TO COMMITTEE ON ENERGY AND TECHNOLOGY"
HR 0019 of 2017,House Resolution,"A resolution to declare February 11, 2017, as White Shirt Day in the state of Michigan.
Last Action: adopted"
HR 0020 of 2017,House Resolution,"A resolution of tribute offered as a memorial for Hubert Price, Jr., former member of the House of Representatives.Last Action: adopted by unanimous standing vote"
SR 0020 of 2017,Senate Resolution,A resolution to designate the month of March 2017 as Michigan Bleeding Disorders Awareness Month.Last Action: ADOPTED
SR 0021 of 2017,Senate Resolution,"A resolution recognizing March 13-19, 2017, as Aviation Week. 
Last Action: ADOPTED"
HR 0021 of 2017,House Resolution,"A resolution to encourage the President and Congress of the United States, the Michigan Department of Natural Resources, the United States Army Corps of Engineers, the United State Fish and Wildlife Service, and other agencies to continue efforts to prevent the introduction of new aquatic species into the Great Lakes from the Chicago Area Waterway System and to consider new research and technologies.
Last Action: adopted"
HR 0022 of 2017,House Resolution,"A resolution to memorialize the United States Congress to oppose the construction of an underground nuclear waste repository in the Great Lakes basin, and to urge Canadian officials to continue searching for alternative locations to bury nuclear waste which are outside the Great Lakes basin.Last Action: referred to Committee on Energy Policy"
SR 0022 of 2017,Senate Resolution,"A resolution to support the Attorney General's opposition to federal legislation that would weaken federal and state ballast water laws protecting our nation's waters from aquatic invasive species.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES"
SR 0023 of 2017,Senate Resolution,"A Resolution to commemorate March 21, 2017, as Hunger Solutions Day.Last Action: ADOPTED"
HR 0023 of 2017,House Resolution,"A resolution to urge the President and Congress of the United States to fund the construction of a new lock at Sault Ste. Marie, Michigan.Last Action: referred to Committee on Commerce and Trade"
HR 0024 of 2017,House Resolution,"A resolution to declare February 19, 2017, as Japanese-American Internment Day of Remembrance in the state of Michigan.
Last Action: adopted"
SR 0024 of 2017,Senate Resolution,"A resolution recognizing March 2017, as National Kidney Month and March 9, 2017, as World Kidney Day.Last Action: ADOPTED"
SR 0025 of 2017,Senate Resolution,"A resolution to encourage the United States Congress to pass Medicare reforms to provide better care and benefits for recipients of kidney transplants.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY"
HR 0025 of 2017,House Resolution,"A resolution to declare February 19-25, 2017, as Family Medicine Week in the state of  Michigan. 
Last Action: adopted"
HR 0026 of 2017,House Resolution,"A resolution to declare February 26–March 4, 2017, as National Eating Disorders Awareness Week in the state of Michigan.
Last Action: adopted"
SR 0026 of 2017,Senate Resolution,"A resolution to urge the Congress of the United States to reinstate provisions of the Independent Counsel Act and request the Deputy United States Attorney General appoint a special counselor to investigate Russia's interference in the 2016 presidential election.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SR 0027 of 2017,Senate Resolution,A resolution to designate May 2017 as Motorcycle Safety Awareness Month.Last Action: ADOPTED
HR 0027 of 2017,House Resolution,A resolution to declare March 2017 as Donate Life Month in the state of Michigan.Last Action: adopted
HR 0028 of 2017,House Resolution,"A resolution to declare February 28, 2017, as Rare Disease Day in the state of Michigan.
Last Action: adopted"
SR 0028 of 2017,Senate Resolution,"A resolution to recognize October 1-7, 2017, as Lions Week.Last Action: ADOPTED"
SR 0029 of 2017,Senate Resolution,"A resolution to urge the United States Congress to continue funding for the Facility for Rare Isotope Beams on the campus of Michigan State University.Last Action: ADOPTED"
HR 0029 of 2017,House Resolution,"A resolution to declare March 2017 as Brain Injury Awareness Month in the state of Michigan.
Last Action: adopted"
HR 0030 of 2017,House Resolution,"A resolution to urge the U.S. Air Force to station the F-35 Lightning II at Selfridge Air National Guard Base.Last Action: adopted"
SR 0030 of 2017,Senate Resolution,A resolution to urge the Congress of the United States to continue the Meals on Wheels program.Last Action: ADOPTED
SR 0031 of 2017,Senate Resolution,"A resolution to urge the United States Senate to confirm Judge Neil M. Gorsuch to the Supreme Court of the United States, and to urge Michigan's senators to forgo any effort to filibuster a vote on Judge Gorsuch's nomination.Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
HR 0031 of 2017,House Resolution,"A resolution to declare March 1, 2017 as “Spread The Word To End The Word Day” in the state of Michigan.
Last Action: adopted"
HR 0032 of 2017,House Resolution,"A resolution to declare March 2017 as Ethnic and Cultural Heritage Month in the state of Michigan.
Last Action: adopted"
SR 0032 of 2017,Senate Resolution,"A resolution to recognize April 16-22, 2017, as Michigan Venture Capital and Angel Investment week.Last Action: ADOPTED"
SR 0033 of 2017,Senate Resolution,"A resolution to recognize April 23-29, 2017, as Natural Gas Week.Last Action: ADOPTED"
HR 0033 of 2017,House Resolution,"A resolution to declare March 8, 2017, as International Women’s Day in the state of Michigan.Last Action: adopted"
HR 0034 of 2017,House Resolution,"A resolution to declare March 13-19, 2017, as Aviation Week in the state of Michigan.Last Action: adopted"
SR 0034 of 2017,Senate Resolution,"A resolution recognizing June 10, 2017, as ORV Rider Recognition Day.Last Action: ADOPTED"
SR 0035 of 2017,Senate Resolution,"A resolution commemorating March 29, 2017, as Vietnam Veterans Day.Last Action: ADOPTED"
HR 0035 of 2017,House Resolution,"A resolution to declare March 2017 as Multiple System Atrophy Awareness Month in the state of Michigan. 
Last Action: adopted"
HR 0036 of 2017,House Resolution,"A resolution to express the Legislature's position that the Michigan Veterans Affairs Agency and the Michigan Veterans Trust Fund board should return responsibility and control to the county Veterans Trust Fund Boards.Last Action: referred to Committee on Military and Veterans Affairs"
SR 0036 of 2017,Senate Resolution,A resolution of support for an initiative to bring the first Fisher House to Michigan.Last Action: ADOPTED AS SUBSTITUTED S-1
SR 0037 of 2017,Senate Resolution,"A resolution to urge the Governor to abandon his appeal to the Michigan Supreme Court of Public Act 75 of 2010 and immediately refund the unconstitutionally obtained contributions made by Michigan education professionals.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HR 0037 of 2017,House Resolution,"A resolution to declare March 2017 as Athletic Trainer Month in the state of Michigan.
Last Action: adopted"
HR 0038 of 2017,House Resolution,"A resolution to memorialize the Congress of the United States to repeal the standards set forth by the United States Environmental Protection Agency on portable fuel container design.Last Action: adopted"
SR 0038 of 2017,Senate Resolution,"A resolution recognizing March 27-31, 2017, as Lewis College of Business Week.Last Action: ADOPTED"
SR 0039 of 2017,Senate Resolution,"A resolution recognizing April 2017 as Donate Life Month.
Last Action: ADOPTED"
HR 0039 of 2017,House Resolution,"A resolution to declare March 2017 as Problem Gambling Awareness Month in the state of Michigan.
Last Action: adopted"
HR 0040 of 2017,House Resolution,"A resolution to declare March 17, 2017, as World Sleep Day in the state of Michigan. 
Last Action: adopted"
SR 0040 of 2017,Senate Resolution,A resolution commemorating April 2017 as Distracted Driving Awareness Month.Last Action: ADOPTED
SR 0041 of 2017,Senate Resolution,A resolution to recognize April 2017 as Child Abuse Prevention Awareness Month.Last Action: ADOPTED
HR 0041 of 2017,House Resolution,"A resolution to declare March 2017 as Social Work Month in the state of Michigan.
Last Action: adopted"
HR 0042 of 2017,House Resolution,"A resolution to declare March 20, 2017, as Snowplow Driver Appreciation Day in the state of Michigan.
Last Action: adopted"
SR 0042 of 2017,Senate Resolution,"A resolution to commemorate the 100th Anniversary of the Michigan State Police.
Last Action: ADOPTED"
SR 0043 of 2017,Senate Resolution,"A resolution to recognize April 2017 as Campus Sexual Assault Awareness and Prevention Month.
Last Action: ADOPTED"
HR 0043 of 2017,House Resolution,"A resolution to declare March 19-25, 2017, as Agriculture Week in the state of Michigan.
Last Action: adopted"
HR 0044 of 2017,House Resolution,"A resolution to declare April 2017 as Michigan Student Athlete Cardiac Awareness Month in the state of Michigan.
Last Action: adopted"
SR 0044 of 2017,Senate Resolution,A resolution to recognize April 2017 as Sexual Assault Awareness Month.Last Action: ADOPTED
SR 0045 of 2017,Senate Resolution,A resolution to observe Crime Victims’ Rights.Last Action: ADOPTED
HR 0045 of 2017,House Resolution,"A resolution to declare March 25, 2017, as Greek Independence Day in the state of Michigan. 
Last Action: adopted"
HR 0046 of 2017,House Resolution,"A resolution to declare March 24, 2017, as Youth Parenting Awareness Day in the state of Michigan.
Last Action: adopted"
SR 0046 of 2017,Senate Resolution,A resolution to recognize the 100th Anniversary of The Rotary Foundation.Last Action: ADOPTED
SR 0047 of 2017,Senate Resolution,"A resolution to commemorate May 1, 2017, as Law Day.Last Action: ADOPTED"
HR 0047 of 2017,House Resolution,"A resolution to declare March 22, 2017, as United Nations Water Day in the state of Michigan. 
Last Action: adopted"
HR 0048 of 2017,House Resolution,"A resolution to memorialize the Congress of the United States to continue full funding of the Great Lakes Restoration Initiative.Last Action: referred to Committee on Natural Resources"
SR 0048 of 2017,Senate Resolution,"A resolution recognizing April 6, 2017, as “Encourage Me I’m Young National Respect Day”. 
Last Action: ADOPTED"
SR 0049 of 2017,Senate Resolution,"A resolution to urge the President and Congress of the United States to pursue a long-term, durable infrastructure- and industrial-driven economic recovery plan.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HR 0049 of 2017,House Resolution,"A resolution to memorialize the Congress of the United States to maintain funding for federal programs that support the restoration, protection, and economic vitality of the Great Lakes.Last Action: referred to Committee on Natural Resources"
HR 0050 of 2017,House Resolution,"A resolution to urge the Congress of the United States to eliminate the ""widows' tax"" on the surviving spouses of retired U.S. military service members.Last Action: adopted"
SR 0050 of 2017,Senate Resolution,"A resolution to declare April 26, 2017, as Biosciences Industry Day.Last Action: ADOPTED"
SR 0051 of 2017,Senate Resolution,"A resolution recognizing May 14-20, 2017, as InfantSEE® Week.Last Action: ADOPTED"
HR 0051 of 2017,House Resolution,"A resolution to urge the Governor and Attorney General to exercise their authority as guardians of the public trust to terminate the 1953 easement and shut down the Enbridge Energy Line 5 pipelines on the bottomlands of the Straits of Mackinac.Last Action: referred to Committee on Energy Policy"
HR 0052 of 2017,House Resolution,"A resolution to declare April 2017 as Autism Awareness Month in the state of Michigan.
Last Action: adopted"
SR 0052 of 2017,Senate Resolution,"A resolution to urge the United States Congress to enact legislation to stabilize the U.S. sugar industry.Last Action: REFERRED TO COMMITTEE ON AGRICULTURE"
SR 0053 of 2017,Senate Resolution,A resolution recognizing May 2017 as Asian Pacific American Heritage Month.Last Action: ADOPTED
HR 0053 of 2017,House Resolution,"A resolution to declare April 2, 2017, as Autism Awareness Day in the state of Michigan.
Last Action: adopted"
HR 0054 of 2017,House Resolution,"A resolution to declare April 2017 as Financial Literacy Month in the state of Michigan.
Last Action: adopted"
SR 0054 of 2017,Senate Resolution,"A resolution recognizing May 3, 2017, as Suits and Sneakers® Day.
Last Action: ADOPTED"
SR 0055 of 2017,Senate Resolution,"A resolution recognizing the ongoing contributions of the Arab American, Chaldean and Jewish communities to the state of Michigan.Last Action: ADOPTED"
HR 0055 of 2017,House Resolution,"A resolution to declare April 4, 2017, as Pay Equity Day in the state of Michigan.Last Action: adopted"
HR 0056 of 2017,House Resolution,"A resolution to declare April 2017 as Junior Achievement Month in the state of Michigan.
Last Action: adopted"
SR 0056 of 2017,Senate Resolution,"A resolution to urge the Governor and Attorney General to exercise their authority as guardians of the public trust to terminate the 1953 easement and shut down the Enbridge Energy Line 5 pipelines on the bottomlands of the Straits of Mackinac.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SR 0057 of 2017,Senate Resolution,"A resolution to urge the United States Forest Service to use appropriate negotiation strategies when handling property line disputes rather than intimidation and bullying tactics.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HR 0057 of 2017,House Resolution,"A resolution to declare April 2017 as Distracted Driving Awareness Month in the state of Michigan. 
Last Action: adopted"
HR 0058 of 2017,House Resolution,"A resolution to recognize the historic, cultural and religious significance of the festival of Vaisakhi and to declare April 14, 2017, as Vaisakhi Day in the state of Michigan. 
Last Action: adopted"
SR 0058 of 2017,Senate Resolution,A resolution to commemorate May 2017 as Community Action Agency Month.Last Action: ADOPTED
SR 0059 of 2017,Senate Resolution,"A resolution recognizing May 7-13, 2017, as “Women’s Lung Health Week”.Last Action: ADOPTED"
HR 0059 of 2017,House Resolution,"A resolution to urge the President and Congress of the United States to continue funding the Essential Air Service program throughout Michigan.
Last Action: adopted"
HR 0060 of 2017,House Resolution,"A resolution to commemorate the 100th anniversary of the founding of the Michigan State Police. 
Last Action: adopted"
SR 0060 of 2017,Senate Resolution,A resolution to recognize the Bicentennial of Monroe County.Last Action: ADOPTED
SR 0061 of 2017,Senate Resolution,"A resolution to commemorate May 16, 2017, as Chaldean American Day.Last Action: ADOPTED"
HR 0061 of 2017,House Resolution,"A resolution to urge the Governor and the Department of Environmental Quality to reject Nestlé Waters North America Inc.'s application for an increased water withdrawal.Last Action: referred to Committee on Natural Resources"
HR 0062 of 2017,House Resolution,"A resolution to express support for increased participation of women in the fields of science, technology, engineering, and mathematics.Last Action: adopted"
SR 0062 of 2017,Senate Resolution,A resolution to commemorate the University of Michigan on the celebration of its bicentennial.Last Action: ADOPTED
SR 0063 of 2017,Senate Resolution,A resolution to recognize May 2017 as Foster Care Awareness Month.Last Action: ADOPTED
HR 0063 of 2017,House Resolution,"A resolution to declare April 2017 as Sexual Assault Awareness Month in the state of
Michigan.
Last Action: adopted"
HR 0064 of 2017,House Resolution,A resolution to declare April 2017 as Campus Sexual Assault Awareness and Prevention Month in the state of Michigan.Last Action: adopted
SR 0064 of 2017,Senate Resolution,"A resolution to recognize May 24, 2017, as Responsible Chemical Distribution Day.Last Action: ADOPTED"
SR 0065 of 2017,Senate Resolution,"A resolution to recognize May 21-27, 2017, as Invisible Illness Awareness Week.Last Action: ADOPTED"
HR 0065 of 2017,House Resolution,"A resolution to declare April 24, 2017, as a Day of Remembrance in the state of Michigan for the Armenian Genocide of 1915-1923.
Last Action: adopted"
HR 0066 of 2017,House Resolution,"A resolution to declare April 23-29, 2017, as Natural Gas Week in the state of Michigan.Last Action: adopted"
SR 0066 of 2017,Senate Resolution,"A resolution commemorating May 24, 2017, as Propane Safety Awareness Day.Last Action: ADOPTED"
SR 0067 of 2017,Senate Resolution,"A resolution commemorating July 12, 2017, as Metro Detroit Youth Day.Last Action: ADOPTED"
HR 0067 of 2017,House Resolution,"A resolution to declare May 1, 2017, as Law Day in the state of Michigan.
Last Action: adopted"
HR 0068 of 2017,House Resolution,"A resolution to declare April 22-29, 2017, as Money Smart Week in the state of Michigan. 
Last Action: adopted"
SR 0068 of 2017,Senate Resolution,"A resolution calling on the Governor, the Michigan Department of Insurance and Financial Services, and the Michigan Department of Health and Human Services to adopt a healthcare bill of rights and urging the Governor not to make cuts to the Medicaid program.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SR 0069 of 2017,Senate Resolution,"A resolution to urge the U.S. Congress to enact legislation that provides small business owners an opportunity to remedy alleged violations under the Americans with Disabilities Act.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HR 0069 of 2017,House Resolution,"A resolution to declare April 25, 2017, as Holocaust Commemoration Day in the state of Michigan.
Last Action: adopted"
HR 0070 of 2017,House Resolution,"A resolution to declare April 23-30, 2017, as Holocaust Remembrance Week in the state of Michigan.
Last Action: adopted"
SR 0070 of 2017,Senate Resolution,"A resolution to urge and request the Congress of the United States to develop and improve trade relations with Cuba.
Last Action: ADOPTED"
SR 0071 of 2017,Senate Resolution,"A resolution to recognize June 6, 2017, as Diabetes and Cardiovascular Disease Awareness Day.
Last Action: ADOPTED"
HR 0071 of 2017,House Resolution,"A resolution to declare April 26, 2017, as Biosciences Industry Day in the state of Michigan. 
Last Action: adopted"
HR 0072 of 2017,House Resolution,"A resolution to declare April 20, 2017, as Multiple Sclerosis State Action Day in the state of Michigan.
Last Action: adopted"
SR 0072 of 2017,Senate Resolution,"A resolution recognizing July 16, 2017, as National Atomic Veterans Day.Last Action: ADOPTED"
SR 0073 of 2017,Senate Resolution,"A resolution to memorialize the United States Congress to do all it can to support atomic veterans, their spouses, and dependents in receiving medical care and disability compensation.Last Action: ADOPTED AS AMENDED"
HR 0073 of 2017,House Resolution,"A resolution to declare April 24-30, 2017, as Black April Memorial Week in the state of Michigan.
Last Action: adopted"
HR 0074 of 2017,House Resolution,"A resolution to declare May 2017 as Asian Pacific American Heritage Month in the state of Michigan.
Last Action: adopted"
SR 0074 of 2017,Senate Resolution,"A resolution commemorating July 2-8, 2017, as Aquatic Invasive Species Awareness Week.Last Action: ADOPTED"
SR 0075 of 2017,Senate Resolution,"A resolution to amend the Standing Rules of the Senate.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HR 0075 of 2017,House Resolution,"A resolution to declare April 28, 2017, as Worker Memorial Day in the state of Michigan. 
Last Action: adopted"
HR 0076 of 2017,House Resolution,"A resolution to declare May 2017 as Mental Health Awareness Month in the state of Michigan. 
Last Action: adopted"
SR 0076 of 2017,Senate Resolution,A resolution to declare July 2017 as Craft Beer Month.Last Action: ADOPTED
SR 0077 of 2017,Senate Resolution,"A resolution to urge the U.S. Congress to propose, pass, and send to the states for ratification a constitutional amendment clarifying that free speech rights are held by natural persons, not corporate entities, and guaranteeing that the U.S. Congress and state legislatures may regulate all moneys raised and spent for political purposes.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HR 0077 of 2017,House Resolution,"A resolution to urge the Congress of the United States to eliminate the cap on taxable earnings for Social Security.Last Action: referred to Committee on Tax Policy"
HR 0078 of 2017,House Resolution,"A resolution to declare May 3, 2017, as Suits and Sneakers Day in the state of Michigan.Last Action: adopted"
SR 0078 of 2017,Senate Resolution,A resolution to commemorate August 2017 as Meningococcal Immunization Awareness Month.Last Action: ADOPTED
SR 0079 of 2017,Senate Resolution,"A resolution commemorating the week of September 23-29, 2017, as Michigan Masons Week.Last Action: ADOPTED"
HR 0079 of 2017,House Resolution,"A resolution to support and encourage the International Criminal Court to conduct an independent investigation into the alleged human rights violations occurring in the Chechen Republic of Russia.
Last Action: adopted"
HR 0080 of 2017,House Resolution,"A resolution to declare May 2017 as Lyme Disease Awareness Month in the state of Michigan.
Last Action: adopted"
SR 0080 of 2017,Senate Resolution,"A resolution to commemorate October 2, 2017, as Wrongful Conviction Day.Last Action: ADOPTED"
SR 0081 of 2017,Senate Resolution,"A resolution to recognize September 15, 2017, as Cutaneous Lymphoma Awareness Day.
Last Action: ADOPTED"
HR 0081 of 2017,House Resolution,"A resolution to declare May 4, 2017, as Prayer Day in the state of Michigan .Last Action: adopted"
HR 0082 of 2017,House Resolution,"A resolution to declare May 2017 as Stroke Awareness Month in the state of Michigan.
Last Action: adopted"
SR 0082 of 2017,Senate Resolution,"A resolution to denounce radical hate groups and declare them domestic terrorist organizations.Last Action: ADOPTED"
SR 0083 of 2017,Senate Resolution,"A resolution recognizing September 2017, as Family Meals Month.
Last Action: ADOPTED"
HR 0083 of 2017,House Resolution,"A resolution to encourage the state of Michigan and the province of Ontario to improve communications between their respective government entities in the event of environmental emergencies and perceived environmental threats.Last Action: adopted"
HR 0084 of 2017,House Resolution,"A resolution to declare May 4, 2017, as Anti-Bullying Day in the state of Michigan.Last Action: adopted"
SR 0084 of 2017,Senate Resolution,"A resolution recognizing September 6, 2017, as Michigan Legislators Compact Day.
Last Action: ADOPTED"
SR 0085 of 2017,Senate Resolution,"A resolution to encourage support for Aquila Resources' Back Forty Proposed Mine and express confidence that the proposed mine meets federal and state requirements to protect the environment, natural resources, and public health.Last Action: ADOPTED"
HR 0085 of 2017,House Resolution,"A resolution to declare May 2017 as Cystic Fibrosis Awareness Month in the state of Michigan. 
Last Action: adopted"
HR 0086 of 2017,House Resolution,"A resolution to declare May 2017 as Community Action Agency Month in the state of Michigan.
Last Action: adopted"
SR 0086 of 2017,Senate Resolution,"A Resolution supporting Restoration of Appropriation for the MotorCities National Heritage Area.
Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SR 0087 of 2017,Senate Resolution,"A resolution commemorating September 11-17, 2017, as Michigan Patriot Week.Last Action: ADOPTED"
HR 0087 of 2017,House Resolution,"A resolution to declare May 7-13, 2017, as Women’s Lung Health Week in the state of Michigan. 
Last Action: adopted"
HR 0088 of 2017,House Resolution,"A resolution to declare May 6-12, 2017, as Nurses Week in the state of Michigan.Last Action: adopted"
SR 0088 of 2017,Senate Resolution,A resolution to recognize August as Spinal Muscular Atrophy Awareness Month.Last Action: ADOPTED
SR 0089 of 2017,Senate Resolution,"A resolution recognizing September 17-23, 2017, as Michigan Independent Colleges and Universities Week.Last Action: ADOPTED"
HR 0089 of 2017,House Resolution,"A resolution to urge the United States Congress to maintain funding for the Corporation for National and Community Service.Last Action: referred to Committee on Families, Children, and Seniors"
HR 0090 of 2017,House Resolution,"A resolution to declare May 10, 2017, as Dutch-American Amity Day in the state of Michigan.
Last Action: adopted"
SR 0090 of 2017,Senate Resolution,"A resolution recognizing September 24-30, 2017, as National Rail Safety Week.Last Action: ADOPTED"
SR 0091 of 2017,Senate Resolution,"A resolution to declare September 2017, as Suicide Awareness and Prevention Month.Last Action: ADOPTED"
HR 0091 of 2017,House Resolution,"A resolution to declare May 7-13, 2017, as Correctional Officers Week in the state of Michigan. 
Last Action: adopted"
HR 0092 of 2017,House Resolution,"A resolution to declare May 13, 2017, as Falun Dafa Day in the state of Michigan.
Last Action: adopted"
SR 0092 of 2017,Senate Resolution,"A resolution to urge the Michigan Civil Service Commission to make certain changes to Michigan's civil service structure.Last Action: ADOPTED"
SR 0093 of 2017,Senate Resolution,"A resolution to urge the continued work on Route 1 of the Great Lake to Lake Trails and to encourage continued commitment of state resources to the effort.
Last Action: ADOPTED"
HR 0093 of 2017,House Resolution,"A resolution to declare May 8-12, 2017, as Teacher Appreciation Week in the state of Michigan.
Last Action: adopted"
HR 0094 of 2017,House Resolution,"A resolution to declare May 16, 2017, as Chaldean American Day in the state of Michigan. 
Last Action: adopted"
SR 0094 of 2017,Senate Resolution,"A resolution recognizing September 23-30, 2017, as Michigan Trails Week.Last Action: ADOPTED"
SR 0095 of 2017,Senate Resolution,"A resolution to commemorate September 24-30, 2017, as Arteriovenous Malformation Awareness Week.
Last Action: ADOPTED"
HR 0095 of 2017,House Resolution,"A resolution to declare May 14-20, 2017, as Women in the Professional Trades Week  in the state of Michigan.
Last Action: adopted"
HR 0096 of 2017,House Resolution,"A resolution to declare May 14-20, 2017, as InfantSee Week in the state of Michigan.
Last Action: adopted"
