Document,Type,Description
SB 0045 of 2025,Senate Bill,"Criminal procedure: sentencing guidelines; sentencing guidelines for crimes related to illegal immigration; create. Amends sec. 17d, ch. XVII of 1927 PA 175 (MCL 777.17d).   TIE BAR WITH: SB 0044'25Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SB 0046 of 2025,Senate Bill,"Water supply: systems; mobile home park water delivery systems; regulate. Amends secs. 2, 3 & 15 of 1976 PA 399 (MCL 325.1002, et seq.). Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES"
SB 0047 of 2025,Senate Bill,Retirement: state employees; election process to transfer a corrections officer to the Michigan state police retirement system; provide for. Amends sec. 55 of 1943 PA 240 (MCL 38.55) & adds secs. 50b & 64a.   TIE BAR WITH: SB 0048'25Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0048 of 2025,Senate Bill,"Retirement: state police; membership in the retirement system of a corrections officer first hired after certain date; provide for, and allow for purchasing service credit for certain corrections officers' service under the state employees' retirement system. Amends secs. 3, 4, 14 & 70 of 1986 PA 182 (MCL 38.1603 et seq.) & adds secs. 14b & 24c.   TIE BAR WITH: SB 0047'25Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SB 0049 of 2025,Senate Bill,"Labor: health and safety; revisions to the occupational safety and health act; provide for. Amends title & secs. 4, 13, 14, 14a, 14e 14f, 14j, 14n, 24, 27, 28, 29, 30, 31, 33, 35, 36, 37, 41, 45, 46, 52, 54, 55, 56, 63, 65 & 91 of 1974 PA 154 (MCL 408.1004 et seq.) & repeals sec. 1035a of 1974 PA 154 (MCL 408.1035a). Last Action: REFERRED TO COMMITTEE ON LABOR"
SB 0050 of 2025,Senate Bill,"Criminal procedure: sentencing guidelines; reference to section of the Michigan occupational safety and health act; amend to reflect repeal. Amends sec. 14b, ch. XVII of 1927 PA 175 (MCL 777.14b).   TIE BAR WITH: SB 0049'25Last Action: REFERRED TO COMMITTEE ON LABOR"
SB 0051 of 2025,Senate Bill,"State agencies (proposed): boards and commissions; Black leadership advisory council; establish. Creates new act. Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0052 of 2025,Senate Bill,"State agencies (proposed): authorities; use of grant funds and issuance of revenue bonds; modify. Amends title & secs. 2, 8, 9, 10, 13, 14, 14a, 16, 18, 20, 23, 24 & 25 of 1978 PA 639 (MCL 120.102 et seq.) & adds sec. 19a. Last Action: REFERRED TO COMMITTEE OF THE WHOLE"
SB 0053 of 2025,Senate Bill,"Highways: memorial; portion of US-8; designate as the ""Medio J. Bacco Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2092) by adding sec. 15b. Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE"
SB 0054 of 2025,Senate Bill,"Labor: hours and wages; certain state projects paid for by bond or bond proposals, exempt from prevailing wage act. Amends sec. 9 of 2023 PA 10 (MCL 408.1109). Last Action: REFERRED TO COMMITTEE ON LABOR"
SB 0055 of 2025,Senate Bill,Appropriations: supplemental; supplemental appropriations; provide for. Creates appropriation act. Last Action: REFERRED TO COMMITTEE OF THE WHOLE
SB 0056 of 2025,Senate Bill,School aid: supplemental; school aid supplemental; provide for. Amends secs. 11 & 236 of 1979 PA 94 (MCL 388.1611 & 388.1836) & adds sec. 201i. Last Action: REFERRED TO COMMITTEE OF THE WHOLE
SB 0057 of 2025,Senate Bill,"Civil procedure: civil actions; lawsuits for exercising rights to free expression; provide protections against. Creates new act. Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0058 of 2025,Senate Bill,Education: curriculum; firearm safety instruction; provide for. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1163a. Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0059 of 2025,Senate Bill,School aid: membership; requirements concerning counting pupils in membership; modify for pupils enrolled in certain work-based learning experiences. Amend secs. 6 & 11 of 1979 PA 94 (MCL 388.1606 & 388.1611) & adds sec. 61e. Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0060 of 2025,Senate Bill,Health occupations: physicians; interstate medical licensure compact; remove sunset. Amends sec. 16189 of 1978 PA 368 (MCL 333.16189). Last Action: received on 02/14/2025
SB 0061 of 2025,Senate Bill,Children: child care; requirement for installation of filtration systems in child care centers and schools; exempt if child care center or school does not test positive for lead. Amends secs. 3i & 3j of 1973 PA 116 (MCL 722.113i & 722.113j). Last Action: REFERRED TO COMMITTEE ON ENERGY AND ENVIRONMENT
SB 0062 of 2025,Senate Bill,Education: other; requirement for installation of filtration systems in child care centers and schools; exempt if child care center or school does not test positive for lead. Amends secs. 5 & 7 of 2023 PA 154 (MCL 380.1905 & 380.1907). Last Action: REFERRED TO COMMITTEE ON ENERGY AND ENVIRONMENT
SB 0063 of 2025,Senate Bill,Natural resources: funding; Michigan natural resources trust fund recipients; modify to include state department. Amends secs. 1901 & 1903 of 1994 PA 451 (MCL 324.1901 & 324.1903). Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0064 of 2025,Senate Bill,Children: child care; passing along fees for criminal background checks to certain childcare employees to the employees; prohibit. Amends secs. 5d & 5n of 1973 PA 116 (MCL 722.115d & 722.115n). Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS
SB 0065 of 2025,Senate Bill,Natural resources: hunting; deer baiting license; provide for. Amends secs. 40102 & 40111a of 1994 PA 451 (MCL 324.40102 & 324.40111a). Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND AGRICULTURE
SB 0066 of 2025,Senate Bill,Water supply: systems; switching from private well to public system; prohibit locals from requiring of adult foster care facilities. Amends 1976 PA 399 (MCL 325.1001 - 325.1023) by adding sec. 15a. Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES
SB 0067 of 2025,Senate Bill,Natural resources: hunting; posting of rules and regulations by a certain date; require. Amends secs. 40113a & 41103 of 1994 PA 451 (MCL 324.40113a & 324.41103). Last Action: REFERRED TO COMMITTEE ON ENERGY AND ENVIRONMENT
SB 0068 of 2025,Senate Bill,Liquor: retail sales; displaying co-branded alcoholic beverages adjacent to certain products; prohibit. Amends 1998 PA 58 (MCL 436.1101 - 436.2303) by adding sec. 609k. Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS
SB 0069 of 2025,Senate Bill,"Highways: memorial; portion of M-50; designate as the ""Animal Control Officer Darrian Young Memorial Highway."" Amends 2001 PA 142 (MCL 250.1001 - 250.2092) by adding sec. 6d. Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE"
SB 0070 of 2025,Senate Bill,"Highways: memorial; portion of M-34; designate as the ""Deputy Sheriff William Butler, Jr. Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2092) by adding sec. 115.Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE"
SB 0071 of 2025,Senate Bill,"Highways: bridges; Mackinac Bridge; designate as critical infrastructure. Amends sec. 552c of 1931 PA 328 (MCL 750.552c). Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0072 of 2025,Senate Bill,"Occupations: electricians; ratio of electrician apprentices to journey or master licensees on a jobsite; modify, and require joint responsibility for supervision between electrical contractors and master electricians. Amends secs. 701, 711, 715 & 717 of 2016 PA 407 (MCL 339.5701 et seq.). Last Action: REFERRED TO COMMITTEE ON LABOR"
SB 0073 of 2025,Senate Bill,Liquor: licenses; license to serve alcohol at Macomb Community College Sports and Expo Center Complex; allow. Amends sec. 513 of 1998 PA 58 (MCL 436.1513). Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS
SB 0074 of 2025,Senate Bill,"Worker's compensation: benefits; worker's disability compensation benefits; modify various provisions. Amends secs. 301, 313, 354, 355, 361, 371, 401 & 891 of 1969 PA 317 (MCL 418.301 et seq.) & repeals secs. 302 & 431 of 1969 PA 317 (MCL 418.302 & 418.431).  Last Action: REFERRED TO COMMITTEE ON LABOR"
SB 0075 of 2025,Senate Bill,"Worker's compensation: benefits; compensation for death resulting from personal injury; modify. Amends secs. 321, 331, 335, 345 & 356 of 1969 PA 317 (MCL 418.321 et seq.). Last Action: REFERRED TO COMMITTEE ON LABOR"
SB 0076 of 2025,Senate Bill,Education: school districts; mobile panic alert system in schools; require. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1308c.   TIE BAR WITH: SB 0077'25Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0077 of 2025,Senate Bill,Education: financing; funding for mobile panic alert system in schools; provide for. Amends sec. 11 of 1979 PA 94 (MCL 388.1611) & adds sec. 97n.   TIE BAR WITH: SB 0076'25Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0078 of 2025,Senate Bill,"Criminal procedure: expunction; procedures and eligibility for the expungement of certain records; provide for. Amends secs. 1b, 1c, 1d, 2 & 3 of 1965 PA 213 (MCL 780.621b et seq.) & adds sec. 1j & repeals  sec. 4 of 1965 PA 213 (MCL 780.624). Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0079 of 2025,Senate Bill,"Highways: memorial; portion of M-150; designate as the ""William S. Broomfield Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2092) by adding sec. 109. Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE"
SB 0080 of 2025,Senate Bill,Transportation: funds; funding for sound wall projects; provide for. Amends 1951 PA 51 (MCL 247.651 - 247.675) by adding sec. 14b. Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0081 of 2025,Senate Bill,"Courts: other; Michigan indigent defense commission act; expand duties to include indigent defense of youth. Amends title & secs. 3, 5, 7, 9, 11, 13, 15, 17, 21 & 23 of 2013 PA 93 (MCL 780.983 et seq.) & adds sec. 14. Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0082 of 2025,Senate Bill,"Courts: judges; personal information and physical safety protections for judges, their families, and household members; enhance. Creates new act. Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0083 of 2025,Senate Bill,School aid: other; future educator student teacher stipend program; modify. Amends sec. 27c of 1979 PA 94 (MCL 388.1627c). Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0084 of 2025,Senate Bill,Construction: housing; ordinance prohibiting the use of energy-efficient appliances in new or existing residential buildings; prohibit local units of government from enacting. Amends sec. 13a of 1972 PA 230 (MCL 125.1513a). Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT
SB 0085 of 2025,Senate Bill,Children: child care; fingerprint requirement for child care licensees; expand locations to obtain. Amends sec. 5n of 1973 PA 116 (MCL 722.115n). Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS
SB 0086 of 2025,Senate Bill,Human services: other; elected official serving on a social services board; allow. Amends sec. 46 of 1939 PA 280 (MCL 400.46).Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES
HB 4001 of 2025,House Bill,Labor: hours and wages; minimum hourly wage rate; modify. Amends secs. 4 & 4b of 2014 PA 138 (MCL 408.414 & 408.414b) & repeals 2018 PA 337 (MCL 408.931 - 408.945). Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS
HB 4002 of 2025,House Bill,"Labor: benefits; requirements for an employer to provide earned sick time, modify. Amends secs. 2, 3, 4, 5, 6, 7, 8, 10, 11 & 12 of 2018 PA 338 (MCL 408.962 et seq.). Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS"
HB 4003 of 2025,House Bill,"Highways: memorial; portion of US-131; designate as the ""Sergeant Matthew Webber Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2092) by adding sec. 1073b. Last Action: bill electronically reproduced 01/14/2025"
HB 4004 of 2025,House Bill,Gaming: lottery; multistate lottery games; allow winner to remain anonymous. Amends sec. 25 of 1972 PA 239 (MCL 432.25). Last Action: bill electronically reproduced 01/14/2025
HB 4005 of 2025,House Bill,Local government: other; local financial stability and choice act; repeal. Repeals 2012 PA 436 (MCL 141.1541 - 141.1575). Last Action: bill electronically reproduced 01/14/2025
HB 4006 of 2025,House Bill,Agriculture: agribusiness; exclusion of commercial weddings or similar events in agricultural zones; prohibit. Amends 2006 PA 110 (MCL 125.3101 - 125.3702) by adding sec. 204b. Last Action: bill electronically reproduced 01/14/2025
HB 4007 of 2025,House Bill,Energy: alternative sources; clean energy system; expand definition of. Amends sec. 3 of 2008 PA 295 (MCL 460.1003). Last Action: bill electronically reproduced 01/14/2025
HB 4008 of 2025,House Bill,Individual income tax: credit; qualified volunteers credit; create. Amends 1967 PA 281 (MCL 206.1 - 206.847) by adding sec. 281. Last Action: bill electronically reproduced 01/14/2025
HB 4009 of 2025,House Bill,Housing: affordable; rent control policies; allow local governments to establish. Repeals 1988 PA 226 (MCL 123.411). Last Action: bill electronically reproduced 01/14/2025
HB 4010 of 2025,House Bill,State: symbol; Harrison Township; designate as Boat Town USA. Creates new act. Last Action: bill electronically reproduced 01/14/2025
HB 4011 of 2025,House Bill,Property: conveyance of state property; transfer of certain state-owned property in Arenac County; provide for. Creates land transfer act. Last Action: bill electronically reproduced 01/14/2025
HB 4012 of 2025,House Bill,Health: emergency services; emergency medical transport and treatment for retired police canines; provide for. Amends sec. 20925 of 1978 PA 368 (MCL 333.20925). Last Action: bill electronically reproduced 01/14/2025
HB 4013 of 2025,House Bill,Recreation: other; recreational trespass act; modify posting requirements. Amends sec. 73102 of 1994 PA 451 (MCL 324.73102). Last Action: bill electronically reproduced 01/14/2025
HB 4014 of 2025,House Bill,Property tax: assessments; transfer of ownership of certain real property to certain individuals; exempt from uncapping of taxable value upon transfer. Amends sec. 27a of 1893 PA 206 (MCL 211.27a). Last Action: bill electronically reproduced 01/14/2025
HB 4015 of 2025,House Bill,Highways: other; acceptance of cash payments for tolls; require. Creates new act. Last Action: bill electronically reproduced 01/14/2025
HB 4016 of 2025,House Bill,"Holidays: other; ""Huntington's Disease Awareness Month""; designate as the month of May of each year. Creates new act. Last Action: bill electronically reproduced 01/14/2025"
HB 4017 of 2025,House Bill,Labor: health and safety; penalty for failure to report a death; decrease by the maximum allowable amount if the death occurs to a certain individual on a family farm. Amends sec. 35 of 1974 PA 154 (MCL 408.1035). Last Action: bill electronically reproduced 01/15/2025
HB 4018 of 2025,House Bill,Juveniles: crimes; transportation of juvenile who commits a crime with an adult; clarify. Amends sec. 16 of 1939 PA 288 (MCL 712A.16). Last Action: bill electronically reproduced 01/22/2025
HB 4019 of 2025,House Bill,Individual income tax: reporting; annual revenue report to individual income tax filers; require. Amends 1967 PA 281 (MCL 206.1 - 206.847) by adding sec. 471a. Last Action: bill electronically reproduced 01/22/2025
HB 4020 of 2025,House Bill,"Education: curriculum; requirement for schools to provide instruction on African-American history; provide for, and create the commission to update African-American history in K to 12 instruction. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1164. Last Action: bill electronically reproduced 01/22/2025"
HB 4021 of 2025,House Bill,"Civil procedure: evictions; pretrial and trial; require pretrial, and allow trial and pretrial to be conducted by magistrate. Amends secs. 5735 & 8511 of 1961 PA 236 (MCL 600.5735 & 600.8511). Last Action: bill electronically reproduced 01/28/2025"
HB 4022 of 2025,House Bill,Local government: other; educational instruction access act; repeal. Repeals 2017 PA 98 (MCL 123.1041 - 123.1047). Last Action: bill electronically reproduced 01/28/2025
HB 4023 of 2025,House Bill,Property: conveyance of state property; transfer of certain state-owned property in Eaton County; provide for. Creates land transfer act.Last Action: bill electronically reproduced 01/28/2025
HB 4024 of 2025,House Bill,Civil rights: privacy; restriction of student access to certain restrooms and changing areas based on biological sex; provide for. Creates new act. Last Action: bill electronically reproduced 01/28/2025
HB 4025 of 2025,House Bill,Sales tax: exemptions; sunset date on exemption for firearm safety devices; extend. Amends sec. 4ll of 1933 PA 167 (MCL 205.54ll). Last Action: bill electronically reproduced 01/28/2025
HB 4026 of 2025,House Bill,Use tax: exemptions; sunset date on exemption for firearm safety devices; extend. Amends sec. 4ll of 1937 PA 94 (MCL 205.94ll). Last Action: bill electronically reproduced 01/28/2025
HB 4027 of 2025,House Bill,Land use: zoning and growth management; provision subjecting zoning authority to part 8 of clean and renewable energy and energy waste reduction act; delete. Amends sec. 205 of 2006 PA 110 (MCL 125.3205).   TIE BAR WITH: HB 4028'25Last Action: bill electronically reproduced 01/28/2025
