Document,Type,Description
SB 0059 of 2021,Senate Bill,Consumer protection: unfair trade practices; refusing to accept cash in a retail sale of goods or services; prohibit. Amends sec. 3 of 1976 PA 331 (MCL 445.903).Last Action: REFERRED TO COMMITTEE ON REGULATORY REFORM
SB 0060 of 2021 (PA 68 of 2021),Senate Bill,Occupations: mechanical contractors; minimum experience requirement to take written license examination; modify. Amends sec. 807 of 2016 PA 407 (MCL 339.5807).Last Action: ASSIGNED PA 0068'21 WITH IMMEDIATE EFFECT
SB 0061 of 2021,Senate Bill,Natural resources: shorelands; expedited permit processing during high water; provide for and change definition of ordinary high water mark. Amends sec. 32502 of 1994 PA 451 (MCL 325.32502) & adds sec. 32517.Last Action: REFERRED TO COMMITTEE ON ENVIRONMENTAL QUALITY
SB 0062 of 2021,Senate Bill,Civil rights: racial discrimination; penalties for false report of a crime to law enforcement based solely upon the alleged perpetrator's race or ethnicity; provide for. Amends 1931 PA 328 (MCL 750.1 - 750.568) by adding sec. 147c.Last Action: REFERRED TO COMMITTEE ON JUDICIARY AND PUBLIC SAFETY
SB 0063 of 2021,Senate Bill,"Criminal procedure: sentencing guidelines; penalties for false report of a crime to law enforcement based solely upon the alleged perpetrator's race or ethnicity; enact. Amends sec. 16g, ch. XVII of 1927 PA 175 (MCL 777.16g).  TIE BAR WITH: SB 0062'21Last Action: REFERRED TO COMMITTEE ON JUDICIARY AND PUBLIC SAFETY"
SB 0064 of 2021,Senate Bill,Businesses: business corporations; certain number of female board members on board of directors; require. Amends sec. 1002 of 1972 PA 284 (MCL 450.2002) & adds sec. 505a. Last Action: REFERRED TO COMMITTEE ON ECONOMIC AND SMALL BUSINESS DEVELOPMENT
SB 0065 of 2021,Senate Bill,"Holidays: other; ""Fred Korematsu Day""; designate as January 30 of each year. Amends title of 2003 PA 225 (MCL 435.301 - 435.303) & adds sec. 4.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SB 0066 of 2021,Senate Bill,Civil rights: other; language access plan; require state agencies to create and implement for individuals with limited English proficiency. Creates new act.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0067 of 2021,Senate Bill,Crimes: assaultive; crime of assaulting a person performing certain job-related duties; expand to include emergency room personnel. Amends sec. 81d of 1931 PA 328 (MCL 750.81d).Last Action: REFERRED TO COMMITTEE ON JUDICIARY AND PUBLIC SAFETY
SB 0068 of 2021,Senate Bill,"Education: attendance; compulsory attendance requirements, and reporting of suspensions, expulsion, truancy, and absenteeism; revise. Amends secs. 1310a, 1311 & 1561 of 1976 PA 451 (MCL 380.1310a et seq.).Last Action: REFERRED TO COMMITTEE ON EDUCATION AND CAREER READINESS"
SB 0069 of 2021,Senate Bill,Education: other; certain advisory committee within the department of education; create. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1578a. Last Action: REFERRED TO COMMITTEE ON EDUCATION AND CAREER READINESS
SB 0070 of 2021,Senate Bill,Crimes: abortion; penalty for administering with intent to procure miscarriage; repeal. Repeals sec. 14 of 1931 PA 328 (MCL 750.14).Last Action: REFERRED TO COMMITTEE ON JUDICIARY AND PUBLIC SAFETY
SB 0071 of 2021,Senate Bill,"Crimes: abortion; reference to crime of administering drugs to procure miscarriage; remove to reflect repeal. Amends sec. 16a, ch. XVII of 1927 PA 175 (MCL 777.16a).Last Action: REFERRED TO COMMITTEE ON JUDICIARY AND PUBLIC SAFETY"
SB 0072 of 2021,Senate Bill,Corrections: other; reference to crime of administering drugs to procure miscarriage; remove to reflect repeal. Amends sec. 33b of 1953 PA 232 (MCL 791.233b).Last Action: REFERRED TO COMMITTEE ON JUDICIARY AND PUBLIC SAFETY
SB 0073 of 2021,Senate Bill,Crimes: abortion; provision related to publication of cures for conceptive preventatives; repeal. Repeals sec. 40 of 1931 PA 328 (MCL 750.40).Last Action: REFERRED TO COMMITTEE ON JUDICIARY AND PUBLIC SAFETY
SB 0074 of 2021,Senate Bill,"Holidays: other; ""Juneteenth""; designate as an official state holiday and observe on June 19. Amends sec. 1 of 1865 PA 124 (MCL 435.101).Last Action: REASSIGNED TO COMMITTEE ON REGULATORY REFORM"
SB 0075 of 2021,Senate Bill,Property: state buildings; display or use of the Confederate battle flag on the grounds of the capitol building; prohibit. Amends title of 1905 PA 80 (MCL 19.141 - 19.145) & adds sec. 2a.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0076 of 2021,Senate Bill,Law enforcement: communications; restrictions for use of the emergency alert system; provide for. Amends secs. 2 & 3 of 2016 PA 235 (MCL 28.672 & 28.673).Last Action: REFERRED TO COMMITTEE ON JUDICIARY AND PUBLIC SAFETY
SB 0077 of 2021,Senate Bill,Appropriations: zero budget; department of agriculture and rural development; provide for fiscal year 2021-2022. Creates appropriation act.Last Action: REFERRED TO CONFERENCE COMMITTEE
SB 0078 of 2021,Senate Bill,Appropriations: zero budget; capital outlay; provide for fiscal year 2021-2022. Creates appropriation act.Last Action: REASSIGNED TO COMMITTEE ON APPROPRIATIONS
SB 0079 of 2021,Senate Bill,Appropriations: zero budget; department of health and human services; provide for fiscal year 2021-2022. Creates appropriation act.Last Action: Rep. Felicia Brabec replaced Rep. Abdullah Hammoud as conferee 01/26/2022
SB 0080 of 2021,Senate Bill,Appropriations: zero budget; corrections; provide for fiscal year 2021-2022. Creates appropriation act.Last Action: REFERRED TO CONFERENCE COMMITTEE
SB 0081 of 2021,Senate Bill,Appropriations: zero budget; judiciary; provide for fiscal year 2021-2022. Creates appropriation act.Last Action: REFERRED TO CONFERENCE COMMITTEE
SB 0082 of 2021 (PA 87 of 2021),Senate Bill,"Appropriations: omnibus; appropriations for multiple departments and branches; provide for fiscal year 2021-2022, and make supplemental appropriations for fiscal year 2020-2021. Creates appropriation act.Last Action: POSTPONED FOR THE DAY"
SB 0083 of 2021,Senate Bill,Appropriations: zero budget; K-12 school aid appropriations; provide for fiscal year 2021-2022. Amends secs. 11 & 17b of 1979 PA 94 (MCL 388.1611 & 388.1617b).Last Action: REFERRED TO CONFERENCE COMMITTEE
SB 0084 of 2021,Senate Bill,Appropriations: zero budget; department of education; provide for fiscal year 2021-2022. Creates appropriation act.Last Action: REFERRED TO CONFERENCE COMMITTEE
SB 0085 of 2021 (PA 132 of 2021),Senate Bill,Appropriations: supplemental; multidepartment supplemental appropriations; provide for fiscal year 2021-2022. Creates appropriation act.Last Action: ASSIGNED PA 0132'21 WITH IMMEDIATE EFFECT
SB 0086 of 2021,Senate Bill,Appropriations: zero budget; department of licensing and regulatory affairs; provide for fiscal year 2021-2022. Creates appropriation act.Last Action: REFERRED TO CONFERENCE COMMITTEE
SB 0087 of 2021,Senate Bill,Appropriations: zero budget; department of insurance and financial services; provide for fiscal year 2021-2022. Creates appropriation act.Last Action: REFERRED TO CONFERENCE COMMITTEE
SB 0088 of 2021,Senate Bill,Appropriations: zero budget; department of military and veterans affairs; provide for fiscal year 2021-2022. Creates appropriation act.Last Action: REFERRED TO CONFERENCE COMMITTEE
SB 0089 of 2021,Senate Bill,Appropriations: zero budget; department of state police; provide for fiscal year 2021-2022. Creates appropriation act.Last Action: REFERRED TO CONFERENCE COMMITTEE
SB 0090 of 2021,Senate Bill,Appropriations: zero budget; department of natural resources; provide for fiscal year 2021-2022. Creates appropriation act.Last Action: REFERRED TO CONFERENCE COMMITTEE
SB 0091 of 2021,Senate Bill,"Appropriations: zero budget; department of environment, Great Lakes, and energy; provide for fiscal year 2021-2022. Creates appropriation act.Last Action: REFERRED TO CONFERENCE COMMITTEE"
SB 0092 of 2021,Senate Bill,Appropriations: zero budget; state transportation; provide for fiscal year 2021-2022. Creates appropriation act.Last Action: REFERRED TO CONFERENCE COMMITTEE
SB 0093 of 2021,Senate Bill,Appropriations: zero budget; higher education; provide for fiscal year 2021-2022. Amends secs. 236 & 241 of 1979 PA 94 (MCL 388.1836 & 388.1841).Last Action: Rep. Ben Frederick replaced Rep. Mark Huizenga as conferee 01/27/2022
SB 0094 of 2021,Senate Bill,Appropriations: zero budget; community colleges appropriations; provide for fiscal year 2021-2022. Amends secs. 201 & 206 of 1979 PA 94 (MCL 388.1801 & 388.1806).Last Action: Rep. Ben Frederick replaced Rep. Mark Huizenga as conferee 01/27/2022
SB 0095 of 2021,Senate Bill,Appropriations: zero budget; omnibus budget appropriations; provide for fiscal year 2021-2022. Creates appropriation act. Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0096 of 2021,Senate Bill,"Appropriations: school aid; fiscal year 2021-2022 omnibus appropriations for K-12 school aid, higher education, and community colleges; provide for. Amends secs. 11, 17b, 201 & 236 of 1979 PA 94 (MCL 388.1611 et seq.).Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SB 0097 of 2021,Senate Bill,State financing and management: other; MI supply infrastructure factory; create. Amends 1984 PA 431 (MCL 18.1101 - 18.1594) by adding sec. 270.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0098 of 2021,Senate Bill,Individual income tax: credit; child care credit; create. Amends 1967 PA 281 (MCL 206.1 - 206.713) by adding sec. 272a.Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0099 of 2021,Senate Bill,Higher education: financial aid; room and board expenses; allow under the promise zone authority act. Amending sec. 3 of 2008 PA 549 (MCL 390.1663). Last Action: referred to Committee on Appropriations
SB 0100 of 2021 (PA 5 of 2021),Senate Bill,Children: child care; definition of foster care; provide for. Amends sec. 13a of 1973 PA 116 (MCL 722.123a).Last Action: ASSIGNED PA 0005'21 WITH IMMEDIATE EFFECT
SB 0101 of 2021 (PA 146 of 2022),Senate Bill,"Mental health: other; mental health transport for involuntary psych hospitalization; create standards and licensing requirements for. Amends secs. 100d, 281c, 282, 408, 409, 426, 427a, 427b, 429, 436, 438, 469a, 498k, 498t, 516, 519 & 537 of 1974 PA 258 (MCL 330.1100d et seq.) & adds secs. 170 & 172.Last Action: ASSIGNED PA 0146'22"
SB 0102 of 2021,Senate Bill,Education: meals; certain requirements related to pupils who cannot pay for a school meal or who owe school meal debts; provide for. Amends sec. 1272b of 1976 PA 451 (MCL 380.1272b).Last Action: REFERRED TO COMMITTEE ON EDUCATION AND CAREER READINESS
SB 0103 of 2021 (PA 125 of 2021),Senate Bill,Public utilities: electric utilities; rights of electric transmission companies; provide for. Creates new act.Last Action: ASSIGNED PA 0125'21 WITH IMMEDIATE EFFECT
SB 0104 of 2021,Senate Bill,Military affairs: other; National Guard tuition assistance program; expand eligibility for spouses. Amends title & secs. 3 & 4 of 2014 PA 259 (MCL 32.433 & 32.434). Last Action: placed on second reading
SB 0105 of 2021,Senate Bill,Individual income tax: credit; earned income tax credit; increase. Amends sec. 272 of 1967 PA 281 (MCL 206.272).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0106 of 2021,Senate Bill,"Recreation: other; purple paint marks designating a no trespassing area; allow. Amends secs. 73102, 73104 & 73105 of 1994 PA 451 (MCL 324.73102 et seq.).Last Action: referred to Committee on Natural Resources and Outdoor Recreation"
SB 0107 of 2021,Senate Bill,Education: students; model instructional video regarding dangers of prescription opioid drug abuse for implementation in certain curricula; provide for. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1170c.Last Action: REFERRED TO COMMITTEE OF THE WHOLE WITH SUBSTITUTE (S-1)
SB 0108 of 2021,Senate Bill,Environmental protection: pollution prevention; coke and other bulk solid materials; require enclosure of piles. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding sec. 5525b.Last Action: REFERRED TO COMMITTEE ON ENVIRONMENTAL QUALITY
SB 0109 of 2021,Senate Bill,Environmental protection: air pollution; impact study and consideration of cumulative pollution levels; require for issuance of air quality permits in certain locations. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding sec. 5506b.Last Action: REFERRED TO COMMITTEE ON ENVIRONMENTAL QUALITY
SB 0110 of 2021,Senate Bill,Individual income tax: other; Conquering CHD fund act; create. Creates appropriation act.  TIE BAR WITH: SB 0111'21Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0111 of 2021,Senate Bill,Individual income tax: checkoff; donation to Conquering CHD fund; provide for. Amends sec. 435 of 1967 PA 281 (MCL 206.435).  TIE BAR WITH: SB 0110'21Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0112 of 2021,Senate Bill,Property tax: delinquent taxes; interest and penalties for summer 2020 property taxes; waive for certain businesses. Amends sec. 44a of 1893 PA 206 (MCL 211.44a).Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0113 of 2021,Senate Bill,"Individual income tax: credit; tax credit for charitable donations to food banks, shelters, and community foundations; restore. Amends 1967 PA 281 (MCL 206.1 & 206.713) by adding sec. 261.Last Action: REFERRED TO COMMITTEE ON FINANCE"
SB 0114 of 2021,Senate Bill,Appropriations: zero budget; multidepartment supplemental appropriations; provide for fiscal year 2020-2021. Creates appropriation act.Last Action: POSTPONED FOR THE DAY
SB 0115 of 2021,Senate Bill,Appropriations: supplemental; supplemental school aid appropriations for fiscal year 2020-2021; provide for. Amends sec. 11 of 1979 PA 94 (MCL 388.1611) & adds sec. 39b.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
