Document,Type,Description
SB 0001 of 2011,Senate Bill,Michigan business tax; repeal; Michigan business tax; repeal. Repeals 2007 PA 36 (MCL 208.1101 - 208.1601).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0012 of 2011,Senate Bill,Employment security; employers; certain practices in the calculation of contribution rate; prohibit. Amends 1936 (Ex Sess) PA 1 (MCL 421.1  - 421.75) by adding sec. 22c.Last Action: re-referred to Committee on Commerce
SB 0013 of 2011,Senate Bill,Law; other; definition of individual; specify to include fetus for purposes of statutory interpretation. Amends sec. 3 of 1846 RS 1 (MCL 8.3) & adds sec. 3x.Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0014 of 2011,Senate Bill,Labor; health and safety; Michigan occupational safety and health act; repeal. Repeals 1974 PA 154 (MCL 408.1001 - 408.1094).Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0015 of 2011,Senate Bill,Public employees and officers; other; public employment of individuals convicted of certain offenses; implement prohibition. Creates new act.Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS
SB 0016 of 2011,Senate Bill,Michigan business tax; gross receipts; certain media property and live radio or television programming; exclude from gross receipts tax base. Amends secs. 111 & 113 of 2007 PA 36 (MCL 208.1111 & 208.1113).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0017 of 2011,Senate Bill,Health; pharmaceuticals; formation of medicinal marihuana clubs or operation of medical marihuana bars; prohibit. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 7421.Last Action: REFERRED TO COMMITTEE OF THE WHOLE WITH SUBSTITUTE S-1
SB 0018 of 2011,Senate Bill,"Natural resources; nonnative species; use of prohibited or restricted species as bait; prohibit. Amends secs. 41301 & 41309 of 1994 PA 451 (MCL 324.41301 & 324.41309).Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES, ENVIRONMENT AND GREAT LAKES"
SB 0019 of 2011,Senate Bill,Crimes; disorderly conduct; penalties for disrupting a religious service; increase. Amends sec. 169 of 1931 PA 328 (MCL 750.169).Last Action: re-referred to Committee on Judiciary
SB 0020 of 2011 (PA 0010 of 2011),Senate Bill,Labor; health and safety; promulgation of rules regarding workplace ergonomics; prohibit. Amends 1974 PA 154 (MCL 408.1001 - 408.1094) by adding sec. 17.Last Action: ASSIGNED PA 0010'11 WITH IMMEDIATE EFFECT
SB 0021 of 2011 (PA 0535 of 2012),Senate Bill,State financing and management; other; performance metrics; require of state departments. Amends 1984 PA 431 (MCL 18.1101 - 18.1594) by adding sec. 447.  TIE BAR WITH: SB 0802'11Last Action: ASSIGNED PA 0535'12 WITH IMMEDIATE EFFECT
SB 0022 of 2011 (PA 0011 of 2011),Senate Bill,Probate; trusts; uniform statutory rule against perpetuities; revise to reflect limitation of the personal property trust perpetuities act to certain property. Amends sec. 5 of 1988 PA 418 (MCL 554.75).Last Action: ASSIGNED PA 0011'11 WITH IMMEDIATE EFFECT
SB 0023 of 2011 (PA 0012 of 2011),Senate Bill,Probate; trusts; personal property trust perpetuities act; limit application to certain property. Amends sec. 4 of 2008 PA 148 (MCL 554.94).Last Action: ASSIGNED PA 0012'11 WITH IMMEDIATE EFFECT
SB 0024 of 2011 (PA 0075 of 2011),Senate Bill,Insurance; other; payment of commissions or rebates to certain producers; permit. Amends sec. 1505 of 1956 PA 218 (MCL 500.1505).Last Action: ASSIGNED PA 0075'11 WITH IMMEDIATE EFFECT
SB 0025 of 2011,Senate Bill,"Health; death; final disposition of fetal remains; define, and clarify authorization requirements. Amends secs. 2803, 2804 & 2834 of 1978 PA 368 (MCL 333.2803 et seq.).  TIE BAR WITH: SB 0054'11Last Action: referred to Committee on Health Policy"
SB 0026 of 2011,Senate Bill,"Retirement; legislative; retirement health care benefits for legislators; eliminate. Amends secs. 50b, 75 & 79 of 1957 PA 261 (MCL 38.1050b et seq.) & adds sec. 79a.Last Action: REFERRED TO COMMITTEE OF THE WHOLE WITH SUBSTITUTE S-1"
SB 0027 of 2011,Senate Bill,"Agriculture; animals; transfer of regulatory responsibility from department of natural resources and environment to department of agriculture; provide for. Amends secs. 2, 3, 4, 6, 7 & 10 of 2000 PA 190 (MCL 287.952 et seq.).Last Action: REFERRED TO COMMITTEE OF THE WHOLE WITH SUBSTITUTE S-1"
SB 0028 of 2011 (PA 0076 of 2011),Senate Bill,Income tax; collections; use of credit cards or debit cards as payment option for state taxes; allow. Amends sec. 19 of 1941 PA 122 (MCL 205.19).Last Action: ASSIGNED PA 0076'11 WITH IMMEDIATE EFFECT
SB 0029 of 2011 (PA 0122 of 2012),Senate Bill,"Crimes; weapons; sale, possession, and use of device that uses electro-muscular technology; amend Michigan penal code to allow under certain circumstances. Amends sec. 224a of 1931 PA 328 (MCL 750.224a).  TIE BAR WITH: SB 0030'11Last Action: ASSIGNED PA 0122'12 WITH IMMEDIATE EFFECT"
SB 0030 of 2011 (PA 0123 of 2012),Senate Bill,"Weapons; licensing; sale, possession, and use of device that uses electro-muscular disruption technology; amend firearms act to allow under certain circumstances. Amends title & secs. 5f, 5g, 5k & 5o of 1927 PA 372 (MCL 28.425f et seq.).  TIE BAR WITH: SB 0029'11Last Action: ASSIGNED PA 0123'12 WITH IMMEDIATE EFFECT"
SB 0031 of 2011,Senate Bill,Law enforcement; other; definition of regularly employed; clarify in commission on law enforcement standards act and require certain programming on racial profiling. Amends secs. 2 & 9 of 1965 PA 203 (MCL 28.602 & 28.609).Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0032 of 2011,Senate Bill,Liquor; licenses; license to sell and taste wine at farmers markets; provide for. Amends sec. 537 of 1998 PA 58 (MCL 436.1537).Last Action: REFERRED TO COMMITTEE ON REGULATORY REFORM
SB 0033 of 2011,Senate Bill,Property tax; principal residence exemption; eligibility for conditional rescission of principal residence exemption; expand to certain inherited estates. Amends sec. 7cc of 1893 PA 206 (MCL 211.7cc).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0034 of 2011,Senate Bill,Property tax; personal property; personal property tax of certain businesses; exempt. Amends 1893 PA 206 (MCL 211.1 - 211.155) by adding sec. 9n.Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0035 of 2011 (PA 0080 of 2012),Senate Bill,Traffic control; traffic regulation; maximum length allowed for a recreational vehicle in combination with a trailer; revise. Amends secs. 719 & 721 of 1949 PA 300 (MCL 257.719 & 257.721).Last Action: ASSIGNED PA 0080'12 WITH IMMEDIATE EFFECT
SB 0036 of 2011,Senate Bill,Income tax; checkoff; contribution designation for autism research fund; establish. Amends sec. 435 of 1967 PA 281 (MCL 206.435).  TIE BAR WITH: SB 0037'11Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0037 of 2011,Senate Bill,Income tax; other; autism research fund; create. Creates new act.  TIE BAR WITH: SB 0036'11Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0038 of 2011,Senate Bill,Insurance; health; coverage for certain treatments related to autism; provide for. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 3406s.Last Action: REFERRED TO COMMITTEE ON INSURANCE
SB 0039 of 2011,Senate Bill,Insurance; health care corporations; coverage for certain treatments related to autism; provide for. Amends 1980 PA 350 (MCL 550.1101 - 550.1704) by adding sec. 416e.Last Action: REFERRED TO COMMITTEE ON INSURANCE
SB 0040 of 2011,Senate Bill,Public employees and officers; other; candidates for elected public office; implement constitutional prohibition against placement on ballot if convicted of certain offenses. Amends sec. 933 of 1954 PA 116 (MCL 168.933) & adds sec. 558a.Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS
SB 0041 of 2011,Senate Bill,Property tax; delinquent taxes; distribution and collections from surplus fund for county treasurer; prohibit. Amends secs. 87c & 87d of 1893 PA 206 (MCL 211.87c & 211.87d).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0042 of 2011,Senate Bill,Property tax; delinquent taxes; option to transfer properties to land bank before second auction; allow. Amends sec. 78m of 1893 PA 206 (MCL 211.78m).Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT
SB 0043 of 2011 (PA 0205 of 2011),Senate Bill,Consumer credit; lending practices; crime of residential mortgage fraud; establish. Amends 1931 PA 328 (MCL 750.1 - 750.568) by adding sec. 219d.Last Action: ASSIGNED PA 0205'11 WITH IMMEDIATE EFFECT
SB 0044 of 2011,Senate Bill,"Criminal procedure; sentencing guidelines; sentencing guidelines for crime of mortgage fraud; enact. Amends sec. 16l, ch. XVII of 1927 PA 175 (MCL 777.16l).  TIE BAR WITH: SB 0043'11Last Action: re-referred to Committee on Banking and Financial Services"
SB 0045 of 2011,Senate Bill,Education; discipline; policy prohibiting harassment and bullying at school; require. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1310b.Last Action: POSTPONED UNTIL 12/28/2012
SB 0046 of 2011 (PA 0097 of 2011),Senate Bill,Land use; zoning and growth management; production of ethanol on farms; authorize. Amends 2006 PA 110 (MCL 125.3101 - 125.3702) by adding sec. 513.Last Action: ASSIGNED PA 0097'11 WITH IMMEDIATE EFFECT
SB 0047 of 2011,Senate Bill,Human services; medical services; covered providers; expand to include registered dental hygienists. Amends sec. 109 of 1939 PA 280 (MCL 400.109).Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0048 of 2011,Senate Bill,Education; facilities; school building site approval by local unit of government; require for certain school buildings and prescribe criteria for site plan approval by superintendent of public instruction. Amends sec. 1263 of 1976 PA 451 (MCL 380.1263).Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0049 of 2011,Senate Bill,"Elections; absent voters; absent voter ballot; issue upon voter's request without requiring justification. Amends secs. 758, 759 & 759b of 1954 PA 116 (MCL 168.758 et seq.).Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS"
SB 0050 of 2011,Senate Bill,"Insurance; health; coverage for autism spectrum disorder, mental health, and substance abuse treatment; provide that coverage cannot be more restrictive than coverage for medical treatment. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 3406s.Last Action: REFERRED TO COMMITTEE ON INSURANCE"
SB 0051 of 2011,Senate Bill,"Health; research; research on a live or aborted embryo, fetus, or neonate; prohibit after elective abortions and require consent after spontaneous and nonelective abortions. Amends secs. 2685 & 2688 of 1978 PA 368 (MCL 333.2685 & 333.2688).Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY"
SB 0052 of 2011,Senate Bill,Traffic control; speed restrictions; procedures for establishing speed restrictions on dirt and gravel roads; revise. Amends secs. 628 & 629 of 1949 PA 300 (MCL 257.628 & 257.629).Last Action: read a second time
SB 0053 of 2011 (PA 0021 of 2011),Senate Bill,Civil procedure; evidence; introduction of evidence of an expression of sympathy as an admission of liability in a civil action; prohibit. Amends 1961 PA 236 (MCL 600.101 - 600.9947) by adding sec. 2155.Last Action: ASSIGNED PA 0021'11 WITH IMMEDIATE EFFECT
SB 0054 of 2011,Senate Bill,Health; death; final disposition of fetal remains; clarify authorization requirements and provide penalties for noncompliance. Amends secs. 2848 & 13807 of 1978 PA 368 (MCL 333.2848 & 333.13807) & adds secs. 2836 & 2854.  TIE BAR WITH: SB 0025'11Last Action: referred to Committee on Health Policy
SB 0055 of 2011,Senate Bill,"Criminal procedure; sentencing guidelines; sentencing guidelines for violation of requirements for final disposition of fetal remains; establish. Amends sec. 13k, ch. XVII of 1927 PA 175 (MCL 777.13k).  TIE BAR WITH: SB 0025'11, SB 0054'11Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 0056 of 2011 (PA 0537 of 2012),Senate Bill,"Highways; name; renaming a portion of M-21; designate as ""Mark V. Ingram II Freeway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2080) by adding sec. 1059.Last Action: ASSIGNED PA 0537'12"
SB 0057 of 2011,Senate Bill,"Criminal procedure; sentencing guidelines; crime of carrying a concealed weapon in a prohibited place; delete from guidelines due to repeal of section. Amends sec. 11b, ch. XVII of 1927 PA 175 (MCL 777.11b).  TIE BAR WITH: SB 0058'11Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 0058 of 2011,Senate Bill,"Weapons; concealed; list of specified premises on which a person licensed to carry a concealed weapon may not carry that weapon; eliminate. Amends sec. 5c of 1927 PA 372 (MCL 28.425c) & repeals sec. 5o of 1927 PA 372 (MCL 28.425o).Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES, ENVIRONMENT AND GREAT LAKES"
SB 0059 of 2011,Senate Bill,"Weapons; licensing; concealed weapons licensing boards; eliminate, and transfer powers to secretary of state. Amends secs. 2a, 4, 5, 5a, 5b, 5c, 5d, 5e, 5f, 5j, 5k, 5l, 5m, 5o, 6a & 8 of 1927 PA 372 (MCL 28.422a et seq.) & adds sec. 5x.Last Action: VETOED BY GOVERNOR 12/18/2012"
SB 0060 of 2011,Senate Bill,Income tax; income; compensation received under the wrongful imprisonment compensation act; provide a deduction. Amends sec. 30 of 1967 PA 281 (MCL 206.30).  TIE BAR WITH: SB 0061'11Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0061 of 2011,Senate Bill,Civil procedure; remedies; wrongful imprisonment for crime; provide compensation for. Creates new act.  TIE BAR WITH: SB 0060'11Last Action: REFERRED TO COMMITTEE OF THE WHOLE WITH SUBSTITUTE S-1
SB 0062 of 2011,Senate Bill,State financing and management; funds; general fund surplus; require to be earmarked into the budget stabilization fund. Amends sec. 451 of 1984 PA 431 (MCL 18.1451).Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0063 of 2011,Senate Bill,State financing and management; budget; fiscal year calendar; revise. Amends sec. 491 of 1984 PA 431 (MCL 18.1491).Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0064 of 2011 (PA 0139 of 2012),Senate Bill,Housing; landlord and tenants; summary proceedings to recover possession of premises; allow after 7-day notice to quit if tenant injures or threatens to injure another individual. Amends sec. 5714 of 1961 PA 236 (MCL 600.5714).  TIE BAR WITH: SB 0065'11Last Action: ASSIGNED PA 0139'12 WITH IMMEDIATE EFFECT
SB 0065 of 2011 (PA 0140 of 2012),Senate Bill,Housing; landlord and tenants; termination of lease for certain controlled substance offenders if police report is filed; allow filing by person other than landlord. Amends sec. 34 of 1846 RS 66 (MCL 554.134).  TIE BAR WITH: SB 0064'11Last Action: ASSIGNED PA 0140'12 WITH IMMEDIATE EFFECT
SB 0066 of 2011,Senate Bill,Transportation; funds; governmental authority for an international bridge crossing; provide for. Creates new act & repeals (See bill).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION
SB 0067 of 2011,Senate Bill,Labor; fair employment practices; awarding state government contracts to businesses that employ undocumented workers; prohibit. Amends 1984 PA 431 (MCL 18.1101 - 18.1594) by adding sec. 264a.Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT
SB 0068 of 2011,Senate Bill,Consumer protection; other; requirement for written notification of a business's return policy to be posted and printed on the receipt; provide for. Amends sec. 3 of 1976 PA 331 (MCL 445.903).Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT
SB 0069 of 2011,Senate Bill,Property tax; exemptions; tax exemption for certain disabled veterans; provide for. Amends 1893 PA 206 (MCL 211.1 - 211.155) by adding sec. 7ll.Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0070 of 2011,Senate Bill,Insurance; essential; remedies for denials of claims; provide for. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 2229.Last Action: REFERRED TO COMMITTEE ON INSURANCE
SB 0071 of 2011,Senate Bill,"Insurance; insurers; requirement for insurers to deal fairly and in good faith with individuals claiming benefits; provide for. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding secs. 2203, 3149, 3400a, 3501a, 3600a, 4003 & 4403.Last Action: REFERRED TO COMMITTEE ON INSURANCE"
SB 0072 of 2011,Senate Bill,Environmental protection; water pollution; CAFOs; require licensing of animal waste handlers and use of manifests. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding pt. 86.Last Action: REFERRED TO COMMITTEE ON AGRICULTURE
SB 0073 of 2011,Senate Bill,Labor; fair employment practices; prohibition against employment decisions based on the health or illness of an employee's family member; provide for. Creates new act.Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT
SB 0074 of 2011,Senate Bill,"Insurance; no-fault; catastrophic claims association; revise membership, require annual audit, make subject to open meetings act and freedom of information act, and provide for other general amendments. Amends secs. 134 & 3104 of 1956 PA 218 (MCL 500.134 & 500.3104).  TIE BAR WITH: SB 0075'11Last Action: REFERRED TO COMMITTEE ON INSURANCE"
SB 0075 of 2011,Senate Bill,Civil rights; open meetings; catastrophic claims association; make subject to open meetings act. Amends secs. 2 & 3 of 1976 PA 267 (MCL 15.262 & 15.263).  TIE BAR WITH: SB 0074'11Last Action: REFERRED TO COMMITTEE ON INSURANCE
SB 0076 of 2011,Senate Bill,"Elections; registration; electronic submission of voter registration application on secretary of state's website; allow. Amends secs. 509v, 509w & 509x of 1954 PA 116 (MCL 168.509v et seq.).Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS"
SB 0077 of 2011 (PA 0162 of 2011),Senate Bill,"Civil procedure; statute of limitations; statute of limitations and statute of repose for actions against architects, engineers, and construction contractors; revise. Amends secs. 5805 & 5839 of 1961 PA 236 (MCL 600.5805 & 600.5839).Last Action: ASSIGNED PA 0162'11 WITH IMMEDIATE EFFECT"
SB 0078 of 2011,Senate Bill,"Local government; bonds; provision related to issuance of fiscal stabilization bonds; modify. Amends secs. 3, 4, 5 & 9 of 1981 PA 80 (MCL 141.1003 et seq.) & adds sec. 4a.Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS"
SB 0079 of 2011,Senate Bill,"Probate; wills and estates; forfeiture and revocation of benefits for an individual who abused, neglected, or exploited the decedent; provide for. Amends secs. 2802, 2803 & 2804 of 1998 PA 386 (MCL 700.2802 et seq.).Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 0080 of 2011,Senate Bill,Crimes; embezzlement; penalties for financial exploitation of vulnerable adults; increase under certain circumstances. Amends sec. 174a of 1931 PA 328 (MCL 750.174a).Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0081 of 2011,Senate Bill,"Criminal procedure; sentencing guidelines; sentencing guidelines for crime of financial exploitation of vulnerable adult; revise to reflect increased penalties. Amends sec. 16i, ch. XVII of 1927 PA 175 (MCL 777.16i).  TIE BAR WITH: SB 0080'11Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 0082 of 2011,Senate Bill,"Criminal procedure; sentencing guidelines; sentencing guidelines for crime of obtaining signature by fraud; revise. Amends sec. 16o, ch. XVII of 1927 PA 175 (MCL 777.16o).  TIE BAR WITH: SB 0083'11Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 0083 of 2011,Senate Bill,Crimes; other; elements for crime of obtaining signature by fraud; revise. Amends secs. 159g & 273 of 1931 PA 328 (MCL 750.159g & 750.273).Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0084 of 2011,Senate Bill,Financial institutions; banks; overdraft fees; regulate. Amends 1999 PA 276 (MCL 487.11101 - 487.15105) by adding sec. 4101a.Last Action: REFERRED TO COMMITTEE ON BANKING AND FINANCIAL INSTITUTIONS
SB 0085 of 2011,Senate Bill,Financial institutions; savings and loan associations; overdraft fees; regulate. Amends 1980 PA 307 (MCL 491.102 - 491.1202) by adding sec. 601.Last Action: REFERRED TO COMMITTEE ON BANKING AND FINANCIAL INSTITUTIONS
SB 0086 of 2011,Senate Bill,Financial institutions; savings banks; overdraft fees; regulate. Amends 1996 PA 354 (MCL 487.3101 - 487.3804) by adding sec. 401a.Last Action: REFERRED TO COMMITTEE ON BANKING AND FINANCIAL INSTITUTIONS
SB 0087 of 2011,Senate Bill,Public utilities; rates; setting of rates for certain water and sewer departments; require of public service commission. Amends sec. 6 of 1939 PA 3 (MCL 460.6) & adds sec. 6t.Last Action: REFERRED TO COMMITTEE ON ENERGY AND TECHNOLOGY
SB 0088 of 2011,Senate Bill,Elections; petitions; name of individual or organization providing compensation to a circulator of a ballot question petition; require to be printed on the front of the petition. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding sec. 482a.Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS
SB 0089 of 2011,Senate Bill,Property tax; assessments; sale price as presumptive true cash value when property is sold; establish. Amends sec. 27 of 1893 PA 206 (MCL 211.27).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0090 of 2011,Senate Bill,Revenue sharing; other; revenue sharing formula; modify. Amends secs. 11 & 13 of 1971 PA 140 (MCL 141.911 & 141.913).Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0091 of 2011,Senate Bill,Property tax; delinquent taxes; accepting bids on foreclosed properties from certain individuals; prohibit. Amends sec. 78m of 1893 PA 206 (MCL 211.78m).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0092 of 2011 (PA 0141 of 2012),Senate Bill,Probate; powers of attorney; written acknowledgment of responsibilities by agent appointed under a power of attorney; require. Amends sec. 5501 of 1998 PA 386 (MCL 700.5501).Last Action: ASSIGNED PA 0141'12 WITH IMMEDIATE EFFECT
SB 0093 of 2011 (PA 0124 of 2012),Senate Bill,"Criminal procedure; sentencing guidelines; sentencing guidelines for certain crimes involving electro-muscular disruption devices; enact. Amends secs. 11b & 16m, ch. XVII of 1927 PA 175 (MCL 777.11b & 777.16m).  TIE BAR WITH: SB 0029'11, SB 0030'11Last Action: ASSIGNED PA 0124'12 WITH IMMEDIATE EFFECT"
SB 0094 of 2011,Senate Bill,Worker's compensation; disabilities; occupational cancer; provide presumption for certain firefighters regarding. Amends sec. 405 of 1969 PA 317 (MCL 418.405).Last Action: REFERRED TO COMMITTEE OF THE WHOLE
SB 0095 of 2011,Senate Bill,Labor; hours and wages; requirement of paying prevailing wages on state projects; eliminate. Repeals 1965 PA 166 (MCL 408.551 - 408.558).Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT
SB 0096 of 2011,Senate Bill,Labor; hours and wages; reference to repealed law; eliminate. Amends sec. 8 of 1974 PA 338 (MCL 125.1608).  TIE BAR WITH: SB 0095'11Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT
SB 0097 of 2011,Senate Bill,"Labor; hours and wages; reference to repealed law; eliminate. Amends secs. 503, 523, 553 & 1311e of 1976 PA 451 (MCL 380.503 et seq.).  TIE BAR WITH: SB 0095'11Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT"
SB 0098 of 2011,Senate Bill,"Records; birth; heirloom birth certificates; create, allow for fee collection, and earmark revenue. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 2882a.Last Action: referred to Committee on Families, Children, and Seniors"
SB 0099 of 2011,Senate Bill,"Crimes; controlled substances; possession of certain schedule 1 controlled substances; prohibit, and provide a penalty. Amends sec. 7403 of 1978 PA 368 (MCL 333.7403).Last Action: referred to second reading"
SB 0100 of 2011 (PA 0027 of 2011),Senate Bill,"Liquor; hours; municipalities to prohibit the sale of alcoholic liquor on Sunday morning or all day Sunday; allow. Amends secs. 1111, 1113 & 1114 of 1998 PA 58 (MCL 436.2111 et seq.).Last Action: ASSIGNED PA 0027'11 WITH IMMEDIATE EFFECT"
SB 0101 of 2011,Senate Bill,Elections; registration; preregistration to vote at age 16; provide for. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding sec. 496a.Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS
SB 0102 of 2011 (PA 0046 of 2011),Senate Bill,"Vehicles; registration plates; ""Gold Star Family"" registration plates; create. Amends sec. 803e of 1949 PA 300 (MCL 257.803e).Last Action: ASSIGNED PA 0046'11 WITH IMMEDIATE EFFECT"
SB 0103 of 2011,Senate Bill,Income tax; credit; earned income tax credit; eliminate. Amends sec. 272 of 1967 PA 281 (MCL 206.272).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0104 of 2011 (PA 0066 of 2011),Senate Bill,Vehicles; registration plates; specialty plates for scouts; create. Amends sec. 811e of 1949 PA 300 (MCL 257.811e) & adds sec. 811r.Last Action: ASSIGNED PA 0066'11 WITH IMMEDIATE EFFECT
SB 0105 of 2011,Senate Bill,"Income tax; other; ""imagine fund""; create. Creates new act.  TIE BAR WITH: SB 0106'11Last Action: REFERRED TO COMMITTEE ON FINANCE"
SB 0106 of 2011,Senate Bill,"Income tax; checkoff; donations to the ""imagine fund""; provide check-off option. Amends sec. 435 of 1967 PA 281 (MCL 206.435).  TIE BAR WITH: SB 0105'11Last Action: REFERRED TO COMMITTEE ON FINANCE"
SB 0107 of 2011,Senate Bill,Sales tax; exemptions; exemptions for fund-raising by nonprofits and charities; clarify. Amends sec. 4q of 1933 PA 167 (MCL 205.54q).Last Action: REFERRED TO COMMITTEE OF THE WHOLE
