Document,Type,Description
SB 0022 of 2013,Senate Bill,Housing; other; state historic preservation office; create in statute. Amends 1966 PA 346 (MCL 125.1401 - 125.1499c) by adding ch. 3C.Last Action: referred to Committee on Commerce
SB 0023 of 2013,Senate Bill,"Environmental protection; air pollution; idling of certain vehicles; restrict. Amends secs. 328, 605, 675d, 742 & 907 of 1949 PA 300 (MCL 257.328 et seq.) & adds sec. 674b.Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION"
SB 0024 of 2013,Senate Bill,Traffic control; civil infraction procedures; issuance of idling violation citations; authorize parking bureaus to accept admissions of responsibility. Amends sec. 8395 of 1961 PA 236 (MCL 600.8395).  TIE BAR WITH: SB 0023'13Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION
SB 0025 of 2013 (PA 0140 of 2013),Senate Bill,Property tax; principal residence exemption; appeal process for principal residence exemption; revise. Amends sec. 7cc of 1893 PA 206 (MCL 211.7cc).Last Action: ASSIGNED PA 0140'13 WITH IMMEDIATE EFFECT
SB 0026 of 2013,Senate Bill,"Natural resources; nonnative species; order to ban or restrict an invasive plant species; require prior consultation with Michigan invasive plant council. Amends sec. 41302 of 1994 PA 451 (MCL 324.41302).Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES, ENVIRONMENT AND GREAT LAKES"
SB 0027 of 2013 (PA 0101 of 2013),Senate Bill,Liquor; licenses; ability to refill growlers of beer and to sample and sell wine at farmer's market; provide for certain licensees. Amends sec. 537 of 1998 PA 58 (MCL 436.1537).  TIE BAR WITH: SB 0079'13Last Action: ASSIGNED PA 0101'13 WITH IMMEDIATE EFFECT
SB 0028 of 2013,Senate Bill,"Elections; registration; electronic submission of voter registration application on secretary of state's website; allow. Amends secs. 509v, 509w & 509x of 1954 PA 116 (MCL 168.509v et seq.).Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS"
SB 0029 of 2013,Senate Bill,Trade; hazardous substances; addition of bittering agent to antifreeze; require. Creates new act.Last Action: referred to second reading
SB 0030 of 2013,Senate Bill,"Retirement; legislative; retirement health care benefits for legislators; reduce. Amends secs. 50b & 79 of 1957 PA 261 (MCL 38.1050b & 38.1079).Last Action: REFERRED TO COMMITTEE ON REFORMS, RESTRUCTURING AND REINVENTING"
SB 0031 of 2013 (PA 0007 of 2014),Senate Bill,Insurance; life; insurable interests; amend insurance code to provide for insurable interest of trustees. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 2210a.  TIE BAR WITH: SB 0032'13Last Action: ASSIGNED PA 0007'14 WITH IMMEDIATE EFFECT
SB 0032 of 2013 (PA 0008 of 2014),Senate Bill,Probate; trusts; insurable interest amendments to the Michigan trust code; provide for. Amends 1998 PA 386 (MCL 700.1101 - 700.8206) by adding sec. 7114.  TIE BAR WITH: SB 0031'13Last Action: ASSIGNED PA 0008'14 WITH IMMEDIATE EFFECT
SB 0033 of 2013,Senate Bill,Campaign finance; campaign practices; automated campaign telephone calls; require to identify who paid for call. Amends 1976 PA 388 (MCL 169.201 - 169.282) by adding sec. 48.Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS
SB 0034 of 2013,Senate Bill,Consumer protection; retail installment sales; guaranteed asset protection waivers; include waiver agreements conditioned on death or disability of borrower. Amends sec. 3 of 2009 PA 229 (MCL 492.23).Last Action: REFERRED TO COMMITTEE ON REGULATORY REFORM
SB 0035 of 2013 (PA 0188 of 2013),Senate Bill,Cities; other; failure to pay civil fine and costs imposed by a city administrative hearings bureau; penalize under certain circumstances. Amends sec. 4q of 1909 PA 279 (MCL 117.4q).Last Action: ASSIGNED PA 0188'13
SB 0036 of 2013 (PA 0189 of 2013),Senate Bill,Land use; zoning and growth management; persons delinquent in paying blight violation fines; allow cities to make ineligible for zoning approvals. Amends sec. 406 of 2006 PA 110 (MCL 125.3406).Last Action: ASSIGNED PA 0189'13
SB 0037 of 2013 (PA 0190 of 2013),Senate Bill,Construction; permits; persons delinquent in paying blight violation fines; allow cities to make ineligible for construction code approval. Amends 1972 PA 230 (MCL 125.1501 - 125.1531) by adding sec. 9c.Last Action: ASSIGNED PA 0190'13
SB 0038 of 2013 (PA 0191 of 2013),Senate Bill,Civil procedure; garnishment; garnishment for failure to pay fines or costs ordered under the home rule cities act; provide for. Amends 1961 PA 236 (MCL 600.101 - 600.9947) by adding sec. 4027.Last Action: ASSIGNED PA 0191'13
SB 0039 of 2013 (PA 0192 of 2013),Senate Bill,Civil procedure; foreclosure; power of a home rule city's department of administrative hearings to foreclose on property; modify. Amends sec. 4r of 1909 PA 279 (MCL 117.4r).  TIE BAR WITH: SB 0038'13Last Action: ASSIGNED PA 0192'13
SB 0040 of 2013,Senate Bill,"Local government; intergovernmental affairs; interlocal agreements under the urban cooperation act of 1967; provide for additional requirements. Amends sec. 2 of 1967 (Ex Sess) PA 7 (MCL 124.502) & adds secs. 4a, 4b, 4c, 7a, 9a, 9b, 10a, 10b & 10c.Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS"
SB 0041 of 2013,Senate Bill,Human services; medical services; Michigan compliance with expanding medicaid coverage to certain poverty level; prohibit. Amends 1939 PA 280 (MCL 400.1 - 400.119b) by adding sec. 105c.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0042 of 2013,Senate Bill,Health; pharmaceuticals; standards for pharmacy auditing practices; provide for. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 17771.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0043 of 2013 (PA 0033 of 2013),Senate Bill,"Courts; judges; certain district court judgeships; increase, and reduce number of circuit court judgeships. Amends secs. 530 & 8132 of 1961 PA 236 (MCL 600.530 & 600.8132).Last Action: ASSIGNED PA 0033'13 WITH IMMEDIATE EFFECT"
SB 0044 of 2013 (PA 0002 of 2013),Senate Bill,Criminal procedure; sex offender registration; placement on the public registry; remove certain exceptions. Amends sec. 8 of 1994 PA 295 (MCL 28.728).Last Action: ASSIGNED PA 0002'13 WITH IMMEDIATE EFFECT
SB 0045 of 2013,Senate Bill,Property tax; tax tribunal; hearing scheduled on regularly scheduled board of review dates; prohibit. Amends secs. 34 & 62 of 1973 PA 186 (MCL 205.734 & 205.762).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0046 of 2013,Senate Bill,Property tax; appeals; local units of government to pass resolution to shorten time period of board of review hearings; allow. Amends sec. 30 of 1893 PA 206 (MCL 211.30).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0047 of 2013,Senate Bill,Education; preschools; age for eligibility to enroll in great start readiness programs; revise. Amends sec. 32d of 1979 PA 94 (MCL 388.1632d).Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0048 of 2013 (PA 0008 of 2013),Senate Bill,Animals; other; exemption from large carnivore act for certain businesses; expand to exempt businesses that allow patrons to come into contact with bears less than 36 weeks of age or bears that weigh 90 pounds or less and make other general revisions. Amends secs. 2 & 22 of 2000 PA 274 (MCL 287.1102 & 287.1122).Last Action: ASSIGNED PA 0008'13 WITH IMMEDIATE EFFECT
SB 0049 of 2013 (PA 0202 of 2014),Senate Bill,"Weapons; licensing; certain firearms records; exempt from freedom of information act. Amends 1927 PA 372 (MCL 28.421 - 28.435) by adding sec. 1b.  TIE BAR WITH: HB 4155'13, HB 5325'14, HB 5328'14, SB 0834'14, SB 0881'14Last Action: ASSIGNED PA 0202'14 WITH IMMEDIATE EFFECT"
SB 0050 of 2013 (PA 0119 of 2013),Senate Bill,"Natural resources; other; operation of off-road vehicles on certain state highways; provide for. Amends secs. 81101, 81115, 81122, 81129, 81133 & 81147 of 1994 PA 451 (MCL 324.81101 et seq.) & repeals secs. 81102 & 81128 of 1994 PA 451 (MCL 324.81102 & 324.81128).Last Action: ASSIGNED PA 0119'13 WITH IMMEDIATE EFFECT"
SB 0051 of 2013 (PA 0042 of 2013),Senate Bill,Property tax; classification; qualified forest property tax program; modify. Amends sec. 7jj of 1893 PA 206 (MCL 211.7jj[1]).Last Action: ASSIGNED PA 0042'13 WITH IMMEDIATE EFFECT
SB 0052 of 2013,Senate Bill,Property tax; classification; qualified forest property; provide property tax exemption. Amends sec. 27a of 1893 PA 206 (MCL 211.27a).Last Action: placed on third reading
SB 0053 of 2013,Senate Bill,Property tax; other; qualified forest property recapture tax; revise. Amends sec. 4 of 2006 PA 379 (MCL 211.1034).Last Action: referred to Committee on Natural Resources
SB 0054 of 2013 (PA 0043 of 2013),Senate Bill,Property tax; classification; allocation of qualified forest property recapture tax; modify. Amends sec. 5 of 2006 PA 379 (MCL 211.1035).Last Action: ASSIGNED PA 0043'13 WITH IMMEDIATE EFFECT
SB 0055 of 2013 (PA 0044 of 2013),Senate Bill,Property tax; exemptions; definition of qualified agricultural property; revise. Amends sec. 7dd of 1893 PA 206 (MCL 211.7dd).Last Action: ASSIGNED PA 0044'13 WITH IMMEDIATE EFFECT
SB 0056 of 2013 (PA 0045 of 2013),Senate Bill,"Natural resources; forests; private forest management; provide oversight from the department of agriculture and rural development and provide for conservation district assistance to owners of forestland. Amends secs. 9301, 9302, 9304, 9307, 9308 & 9310 of 1994 PA 451 (MCL 324.9301 et seq.); adds secs. 51301, 51302, 51305 & 51306 & repeals secs. 50110, 50112 & 50136 of 1994 PA 451 (MCL 324.50110 et seq.).Last Action: ASSIGNED PA 0045'13 WITH IMMEDIATE EFFECT"
SB 0057 of 2013 (PA 0046 of 2013),Senate Bill,"Agriculture; other; Michigan agriculture environmental assurance program; expand to include lands not utilized for traditional or production agriculture such as forest management. Amends secs. 8703, 8707, 8708 & 8709 of 1994 PA 451 (MCL 324.8703 et seq.).Last Action: ASSIGNED PA 0046'13 WITH IMMEDIATE EFFECT"
SB 0058 of 2013 (PA 0047 of 2013),Senate Bill,Natural resources; forests; promotion of forestry and the development of the forest products industry in the state; provide for. Amends secs. 50301 & 50302 of 1994 PA 451 (MCL 324.50301 & 324.50302).Last Action: ASSIGNED PA 0047'13 WITH IMMEDIATE EFFECT
SB 0059 of 2013 (PA 0146 of 2014),Senate Bill,Natural resources; forests; commercial forests; withdraw forestland from commercial forests and waive penalty under certain circumstances. Amends sec. 51108 of 1994 PA 451 (MCL 324.51108).Last Action: ASSIGNED PA 0146'14 WITH IMMEDIATE EFFECT
SB 0060 of 2013 (PA 0003 of 2013),Senate Bill,Weapons; licensing; definition of federally licensed firearms dealer; modify. Amends sec. 2a of 1927 PA 372 (MCL 28.422a).Last Action: ASSIGNED PA 0003'13 WITH IMMEDIATE EFFECT
SB 0061 of 2013 (PA 0004 of 2013),Senate Bill,"Insurance; health care corporations; merger of health care corporation with a nonprofit mutual disability insurer; allow, and provide procedures, prescribe requirements on rating and certain contract provisions, and establish requirements for a health endowment fund corporation. Amends title & secs. 218, 401e & 414b of 1980 PA 350 (MCL 550.1218 et seq.) & adds secs. 201a, 220, 400, 401m, 410b, 501c & 620 & pt. 6A.  TIE BAR WITH: SB 0062'13Last Action: ASSIGNED PA 0004'13 WITH IMMEDIATE EFFECT"
SB 0062 of 2013 (PA 0005 of 2013),Senate Bill,"Insurance; health; regulations applicable to nonprofit mutual disability insurer; revise to accommodate merger with nonprofit health care corporation and prescribe requirements on rating and certain contract provisions. Amends secs. 2213b, 2242, 3426, 3705, 3712, 5008, 5104, 5209, 5800 & 5824 of 1956 PA 218 (MCL 500.2213b et seq.) & adds secs. 3405a, 3428, 3472, 3474a, 3612a, 5801, 5805, 5825 & 5826.  TIE BAR WITH: SB 0061'13Last Action: ASSIGNED PA 0005'13 WITH IMMEDIATE EFFECT"
SB 0063 of 2013,Senate Bill,Weapons; firearms; Michigan firearms freedom act; create. Creates new act.Last Action: REFERRED TO COMMITTEE OF THE WHOLE
SB 0064 of 2013,Senate Bill,Taxation; administration; liability for taxes collected and unpaid taxes; modify. Amends sec. 27a of 1941 PA 122 (MCL 205.27a).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0065 of 2013 (PA 0015 of 2013),Senate Bill,Individual income tax; collections; withholding requirement for certain members of a flow-through entity; clarify. Amends sec. 703 of 1967 PA 281 (MCL 206.703).Last Action: ASSIGNED PA 0015'13 WITH IMMEDIATE EFFECT
SB 0066 of 2013 (PA 0288 of 2014),Senate Bill,Education; graduation requirements; information to help school districts comply with Michigan merit curriculum requirements; provide for. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1278c.Last Action: ASSIGNED PA 0288'14
SB 0067 of 2013,Senate Bill,"Legislature; other; legislative website; require certain information to be available to the public. Amends sec. 204a of 1986 PA 268 (MCL 4.1204a) & repeals secs. 204b, 204c, 204d, 204e, 204f & 204g of 1986 PA 268 (MCL 4.1204b et seq.).Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SB 0068 of 2013 (PA 0249 of 2013),Senate Bill,"Vehicles; off-road; 50-inch-wide ORVs; authorize use on forest trails. Amends secs. 81101, 81129 & 81133 of 1994 PA 451 (MCL 324.81101 et seq.).Last Action: ASSIGNED PA 0249'13 WITH IMMEDIATE EFFECT"
SB 0069 of 2013,Senate Bill,Vehicles; off-road; number of occupants allowed on an ORV while transporting from shore to ice fishing spot; limit to 2. Amends sec. 81133 of 1994 PA 451 (MCL 324.81133).Last Action: REFERRED TO COMMITTEE ON OUTDOOR RECREATION AND TOURISM
SB 0070 of 2013,Senate Bill,"Human services; services or financial assistance; residency in Michigan for not less than 1 year; require in order to receive financial or medical assistance. Amends sec. 32 of 1939 PA 280 (MCL 400.32).Last Action: REFERRED TO COMMITTEE ON FAMILIES, SENIORS AND HUMAN SERVICES"
SB 0071 of 2013,Senate Bill,"Health; home health care; in-home services agencies; require to be licensed. Amends secs. 20106, 20108, 20115 & 20142 of 1978 PA 368 (MCL 333.20106 et seq.) & adds pt. 218.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY"
SB 0072 of 2013,Senate Bill,Vehicles; fund-raising registration plates; fund-raising registration plate for Sleeping Bear dunes national lakeshore; create. Amends 1949 PA 300 (MCL 257.1 - 257.923) by adding sec. 811u.Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION
SB 0073 of 2013,Senate Bill,"Human services; other; vulnerable adult abuse registry; create. Creates new act.Last Action: REFERRED TO COMMITTEE ON FAMILIES, SENIORS AND HUMAN SERVICES"
SB 0074 of 2013 (PA 0478 of 2014),Senate Bill,"Education; discipline; cyberbullying to be addressed in local anti-bullying policy; require, and require certain reporting. Amends sec. 1310b of 1976 PA 451 (MCL 380.1310b).Last Action: ASSIGNED PA 0478'14"
SB 0075 of 2013,Senate Bill,Consumer protection; other; requirement for written notification of a business's return policy to be posted and printed on the receipt; provide for. Amends sec. 3 of 1976 PA 331 (MCL 445.903).Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT
SB 0076 of 2013,Senate Bill,"Criminal procedure; sex offender registration; loitering within 1,000 feet of day care center; prohibit, and regulate certain other conduct in school safety zones. Amends secs. 34 & 35 of 1994 PA 295 (MCL 28.734 & 28.735).Last Action: referred to second reading"
SB 0077 of 2013,Senate Bill,"Criminal procedure; sentencing guidelines; sentencing guidelines for crime of registered sex offender loitering within 1,000 feet of a day care center; enact. Amends sec. 11b, ch. XVII of 1927 PA 175 (MCL 777.11b).  TIE BAR WITH: SB 0076'13Last Action: referred to second reading"
SB 0078 of 2013,Senate Bill,"Natural resources; wildlife; designation under NREPA of areas to achieve or maintain biodiversity; prohibit by DNR and remove biological diversity from list of state forest management goals. Amends secs. 504, 35101, 35501, 35502, 35503 & 52502 of 1994 PA 451 (MCL 324.504 et seq.) & repeals secs. 35504 - 35506 of 1994 PA 451 (MCL 324.35504 - 324.35506).Last Action: VETOED BY GOVERNOR 01/15/2015"
SB 0079 of 2013 (PA 0100 of 2013),Senate Bill,Liquor; licenses; farmer's market permit to sell and taste wine at farmer's market; provide for. Amends 1998 PA 58 (MCL 436.1101 - 436.2303) by adding sec. 415.Last Action: ASSIGNED PA 0100'13 WITH IMMEDIATE EFFECT
SB 0080 of 2013 (PA 0476 of 2014),Senate Bill,"School aid; other; reporting of certain expenditures; require, and provide for conditional increase in at-risk funding. Amends secs. 18 & 31a of 1979 PA 94 (MCL 388.1618 & 388.1631a).  TIE BAR WITH: HJR UU'14Last Action: ASSIGNED PA 0476'14"
SB 0081 of 2013 (PA 0477 of 2014),Senate Bill,"Education; school districts; limitations on certain uses of school district, public school academy, or education authority funds; provide for. Amends secs. 1254 & 1814 of 1976 PA 451 (MCL 380.1254 & 380.1814).  TIE BAR WITH: SB 0080'13Last Action: ASSIGNED PA 0477'14 WITH IMMEDIATE EFFECT"
SB 0082 of 2013,Senate Bill,"Traffic control; driver license; designation of veteran status on driver license; provide for. Amends sec. 310 of 1949 PA 300 (MCL 257.310).Last Action: REFERRED TO COMMITTEE ON VETERANS, MILITARY AFFAIRS AND HOMELAND SECURITY"
SB 0083 of 2013,Senate Bill,"Education; public school academies; conversion schools; provide for. Amends secs. 3, 5 & 1280c of 1976 PA 451 (MCL 380.3 et seq.) & adds sec. 1280d & pt. 6d.Last Action: REFERRED TO COMMITTEE ON EDUCATION"
SB 0084 of 2013,Senate Bill,Natural resources; funding; recreation improvement account; authorize to receive portion of 2% sales tax dedicated to transportation. Amends secs. 2020 & 71101 of 1994 PA 451 (MCL 324.2020 & 324.71101) & repeals secs. 71102 - 71106 of 1994 PA 451 (MCL 324.71102 - 324.71106).  TIE BAR WITH: SJR J'13Last Action: REFERRED TO COMMITTEE ON INFRASTRUCTURE MODERNIZATION
SB 0085 of 2013,Senate Bill,Transportation; motor fuel tax; motor fuel tax act; repeal. Repeals 2000 PA 403 (MCL 207.1001 - 207.1170).  TIE BAR WITH: SJR J'13Last Action: REFERRED TO COMMITTEE ON INFRASTRUCTURE MODERNIZATION
SB 0086 of 2013,Senate Bill,"Vehicles; registration; registration fees; modify. Amends secs. 801, 801e, 803, 803a, 803b, 803p & 809 of 1949 PA 300 (MCL 257.801 et seq.).Last Action: REFERRED TO COMMITTEE ON INFRASTRUCTURE MODERNIZATION"
SB 0087 of 2013,Senate Bill,"Transportation; motor fuel tax; motor fuel tax; modify, and implement tax rate based on the average wholesale price of gasoline. Amends secs. 2, 3, 4, 5, 6, 8, 10, 14, 30, 32, 34, 39, 48, 63, 94, 122, 130, 143, 151, 152, 161 & 163 of 2000 PA 403 (MCL 207.1002 et seq.) & repeals secs. 33, 35, 38, 41, 42, 45, 47 & 147 of 2000 PA 403 (MCL 207.1033 et seq.).  TIE BAR WITH: SB 0088'13, SB 0148'13Last Action: REFERRED TO COMMITTEE ON INFRASTRUCTURE MODERNIZATION"
SB 0088 of 2013,Senate Bill,"Vehicles; registration; registration fees; modify. Amends secs. 801, 801e, 803, 803a, 803b, 803p & 809 of 1949 PA 300 (MCL 257.801 et seq.).  TIE BAR WITH: SB 0087'13, SB 0148'13Last Action: REFERRED TO COMMITTEE ON INFRASTRUCTURE MODERNIZATION"
SB 0089 of 2013 (PA 160 of 2013),Senate Bill,Sales tax; collections; sales tax on difference between trade-in and purchase price for motor vehicles and titled watercraft; provide for. Amends sec. 1 of 1933 PA 167 (MCL 205.51).Last Action: ASSIGNED PA 160'13 WITH IMMEDIATE EFFECT
SB 0090 of 2013 (PA 0234 of 2013),Senate Bill,Use tax; collections; use tax on difference between trade-in and purchase price for motor vehicles and titled watercraft; provide for. Amends sec. 2 of 1937 PA 94 (MCL 205.92).Last Action: ASSIGNED PA 0234'13 WITH IMMEDIATE EFFECT
SB 0091 of 2013,Senate Bill,Traffic control; violations; proof of no-fault insurance policy by electronic means; allow. Amends sec. 328 of 1949 PA 300 (MCL 257.328).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION
SB 0092 of 2013 (PA 0285 of 2014),Senate Bill,"Health; occupations; pharmacy technicians; license and regulate. Amends secs. 16333, 17703, 17707, 17711, 17721 & 17731 of 1978 PA 368 (MCL 333.16333 et seq.) & adds secs. 17739, 17739a, 17739b & 17739c.Last Action: ASSIGNED PA 0285'14 WITH IMMEDIATE EFFECT"
SB 0093 of 2013 (PA 0494 of 2014),Senate Bill,"Highways; name; portion of I-375; designate as the ""102nd United States Colored Troops (U.S.C.T.) Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2080) by adding sec. 90.Last Action: ASSIGNED PA 0494'14"
SB 0094 of 2013 (PA 0228 of 2013),Senate Bill,Military affairs; other; restriction of activities by Michigan national guard and state and local employees; provide for under certain circumstances. Creates new act.Last Action: ASSIGNED PA 0228'13 WITH IMMEDIATE EFFECT
SB 0095 of 2013,Senate Bill,"Labor; collective bargaining; requirement for agency fee for nonunion members; allow in bargaining agreements and as condition of employment in private sector. Amends secs. 1, 2, 8, 14, 17 & 22 of 1939 PA 176 (MCL 423.1 et seq.).Last Action: POSTPONED UNTIL 12/28/2013"
SB 0096 of 2013,Senate Bill,"Labor; collective bargaining; requirement for agency fee for nonunion members; allow in bargaining agreements and as condition of employment in public sector. Amends secs. 9, 10 & 15 of 1947 PA 336 (MCL 423.209 et seq.).Last Action: POSTPONED UNTIL 12/28/2013"
SB 0097 of 2013 (PA 0035 of 2013),Senate Bill,Traffic control; civil infraction procedures; waiver of fine for violating certain infant seat requirements; allow. Amends sec. 907 of 1949 PA 300 (MCL 257.907).Last Action: ASSIGNED PA 0035'13 WITH IMMEDIATE EFFECT
SB 0098 of 2013,Senate Bill,Civil procedure; remedies; wrongful imprisonment for crime; provide compensation for. Creates new act.Last Action: REFERRED TO COMMITTEE OF THE WHOLE WITH SUBSTITUTE S-1
SB 0099 of 2013,Senate Bill,Education; financing; use of school sinking fund; allow for school security. Amends sec. 1212 of 1976 PA 451 (MCL 380.1212).Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0100 of 2013,Senate Bill,Education; school districts; certain types of agreements regarding procurement of diesel fuel; allow. Amends secs. 623a & 1274 of 1976 PA 451 (MCL 380.623a & 380.1274).Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0101 of 2013 (PA 0208 of 2013),Senate Bill,Vehicles; fund-raising registration plates; fund-raising plate for the Michigan breast and cervical cancer control program; provide for. Amends 1949 PA 300 (MCL 257.1 - 257.923) by adding sec. 811x.  TIE BAR WITH: HB 5138'13Last Action: ASSIGNED PA 0208'13
