Document,Type,Description
HR 0009 of 2007,House Resolution,"A resolution offered as a memorial for Gustave J. Groat, former member of the House.

Last Action: adopted by unanimous standing vote"
HR 0010 of 2007,House Resolution,"A resolution to memorialize the United States Congress to adopt and present to the states for ratification an amendment to the United States Constitution to prohibit the counting of illegal immigrants in the tabulations of population for purposes of apportioning members of Congress among the states.

Last Action: referred to Committee on Oversight and Investigations"
SR 0010 of 2007,Senate Resolution,"A resolution to memorialize the President and the Congress of the United States to increase funding for the Low Income Home Energy Assistance Program and to facilitate the establishment of programs that provide information about responsible energy use.
Last Action: ADOPTED AS SUBSTITUTED S-4"
SR 0011 of 2007,Senate Resolution,"A resolution designating Wednesday, May 23, 2007, of Michigan Week as Michigan Historical Marker Awareness Day.Last Action: ADOPTED"
HR 0011 of 2007,House Resolution,"A resolution to amend the Standing Rules of the House of Representatives.

Last Action: adopted"
HR 0012 of 2007,House Resolution,"A resolution designating January 28 through February 3, 2007, as Catholic Schools Week in the state of Michigan.Last Action: adopted"
SR 0012 of 2007,Senate Resolution,"A resolution to memorialize the Congress of the United States to refrain from raising C.A.F.E. mileage standards.

Last Action: REFERRED TO COMMITTEE ON ENERGY POLICY"
SR 0013 of 2007,Senate Resolution,A resolution commemorating March 2007 as Ethnic and Cultural Heritage Month in the state of Michigan.Last Action: ADOPTED
HR 0013 of 2007,House Resolution,A resolution commemorating February 2007 as Black History Month in the state of Michigan.Last Action: adopted
HR 0014 of 2007,House Resolution,"A resolution to fix the hour for daily sessions.
Last Action: adopted"
SR 0014 of 2007,Senate Resolution,"A resolution to encourage the Governor to urge the Civil Service Commission to institute a wellness program that includes incentives for healthy behaviors for state employees.
Last Action: ADOPTED AS SUBSTITUTED S-1"
SR 0015 of 2007,Senate Resolution,"A resolution to memorialize the United States Congress to enact legislation to increase protections for the Great Lakes from Asian carp.
Last Action: ADOPTED AS SUBSTITUTED S-1"
HR 0015 of 2007,House Resolution,A resolution declaring 2007 as the Year of the Child in Michigan.Last Action: adopted
HR 0016 of 2007,House Resolution,"A resolution to recognize the Vietnamese Freedom and Heritage Flag as the flag of the Vietnamese-American community.
Last Action: adopted"
SR 0016 of 2007,Senate Resolution,"A resolution to amend the Standing Rules of the Senate.

Last Action: ADOPTED"
SR 0017 of 2007,Senate Resolution,A resolution recognizing March 2007 as For Inspiration and Recognition of Science and Technology (FIRST) Programs Month in the state of Michigan.Last Action: ADOPTED
HR 0017 of 2007,House Resolution,"A resolution to memorialize the United States Congress to enact the Great Lakes Asian Carp Barrier Act.

Last Action: adopted"
HR 0018 of 2007,House Resolution,"A resolution urging the Congress and the President of the United States to increase funding for the Low Income Home Energy Assistance Program.

Last Action: referred to Committee on Energy and Technology"
SR 0018 of 2007,Senate Resolution,"A resolution to urge the United States Environmental Protection Agency to authorize the Office of Pesticide Programs to initiate rulemaking to ensure the sustainability of programs for recycling one-way plastic pesticide containers.
Last Action: ADOPTED"
SR 0019 of 2007,Senate Resolution,"A resolution to memorialize the Congress of the United States to enact legislation, such as H.R. 226, to provide reciprocity among the states with regard to the right to carry concealed firearms

Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
HR 0019 of 2007,House Resolution,"A resolution to urge the Congress of the United States to take every possible action to promote and diversify the automotive and machine tool sectors of the national economy.

Last Action: referred to Committee on Commerce"
HR 0020 of 2007,House Resolution,A resolution commemorating May 2007 as Motorcycle Safety Awareness Month in the state of Michigan.Last Action: adopted
SR 0020 of 2007,Senate Resolution,"A resolution to urge the United States Department of Homeland Security to complete an economic analysis of the costs of compliance with the requirements of the federal Real ID Act and the Western Hemisphere Travel Initiative.

Last Action: ADOPTED"
SR 0021 of 2007,Senate Resolution,"A resolution to memorialize the United States Department of State and the Department of Homeland Security to develop a pilot program in Michigan for a dual purpose state driver's license/personal identification card to comply with the provisions of the Real ID Act and the Western Hemisphere Travel Initiative.

Last Action: ADOPTED"
HR 0021 of 2007,House Resolution,"A resolution memorializing the Congress of the United States to enact the Employee Free Choice Act.

Last Action: adopted"
HR 0022 of 2007,House Resolution,A resolution designating the first week in June 2007 as National River Cleanup Week in the state of Michigan.Last Action: adopted
SR 0022 of 2007,Senate Resolution,"A resolution to commemorate March 8, 2007, as World Kidney Day and the month of March as Kidney Awareness Month in the state of Michigan.Last Action: ADOPTED"
SR 0023 of 2007,Senate Resolution,"A resolution proclaiming April 8-14, 2007, as National Architecture Week in the state of Michigan.Last Action: ADOPTED"
HR 0023 of 2007,House Resolution,"A resolution to urge the Congress and the President of the United States to increase efforts to ensure that the People's Republic of China adheres to monetary policies consistent with international agreements and the principles of free and fair trade.

Last Action: referred to Committee on Government Operations"
HR 0024 of 2007,House Resolution,"A resolution proclaiming February 22, 2007, as Go Red at the Capitol Day in Michigan.Last Action: adopted"
SR 0024 of 2007,Senate Resolution,A resolution honoring the Sixty-fifth Anniversary of the Michigan Wing of the Civil Air Patrol.Last Action: ADOPTED
SR 0025 of 2007,Senate Resolution,"A resolution commemorating Hidden Michigan as an official children's book of the state of Michigan.
Last Action:  ROLL CALL # 106 YEAS 27 NAYS 11 EXCUSED 0 NOT VOTING 0"
HR 0025 of 2007,House Resolution,"A resolution to memorialize Congress to fully fund the states' efforts to implement the Real ID Act of 2005.

Last Action: referred to Committee on New Economy and Quality of Life"
HR 0026 of 2007,House Resolution,"A resolution to urge the Michigan State Board of Education to incorporate information about William Wilberforce into the social studies curriculum related to slavery.

Last Action: referred to Committee on Education"
SR 0026 of 2007,Senate Resolution,"A resolution to memorialize the United States Congress to enact legislation that replaces the outdated Fast Track system so United States trade agreements are developed in a more democratic and inclusive way that protects federalism and state sovereignty.

Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM"
SR 0027 of 2007,Senate Resolution,"A resolution to memorialize the Congress of the United States to invest in Head Start and quality child care.

Last Action: ADOPTED"
HR 0027 of 2007,House Resolution,A resolution proclaiming March 2007 as Reading Month in the state of Michigan.Last Action: adopted
HR 0028 of 2007,House Resolution,"A resolution recognizing September 13, 2007, as Buy Fresh, Buy Local, Select Michigan Day.Last Action: adopted"
SR 0028 of 2007,Senate Resolution,A resolution proclaiming March as Hemophilia Awareness Month in the state of Michigan.Last Action: ADOPTED
SR 0029 of 2007,Senate Resolution,"A resolution memorializing the Congress of the United States to enact the Employee Free Choice Act.

Last Action: REFERRED TO COMMITTEE ON COMMERCE AND TOURISM"
HR 0029 of 2007,House Resolution,A resolution recognizing April 2007 as Junior Achievement Financial Literacy Month in the state of Michigan.Last Action: adopted
HR 0030 of 2007,House Resolution,"A resolution proclaiming March 1, 2007, as ""Reps Read Across Michigan Day"".Last Action: adopted"
SR 0030 of 2007,Senate Resolution,"A resolution to urge the United States Army Corps of Engineers and the Michigan Department of Natural Resources to make the necessary repairs to the Crooked River Lock in Emmet County and to make the necessary repairs a priority for the 2007 year.
Last Action: ADOPTED AS SUBSTITUTED S-1"
SR 0031 of 2007,Senate Resolution,"A resolution to urge Congress and the President of the United States to take certain actions with regard to the sale, export, and storage of mercury and mercury compounds.

Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS"
HR 0031 of 2007,House Resolution,"A resolution to memorialize the Congress of the United States to establish a ""Marshall Plan"" for the United States automotive industry.

Last Action: adopted"
HR 0032 of 2007,House Resolution,"A resolution recognizing March 29, 2007, as Knights of Columbus Founder's Day in the state of Michigan.Last Action: adopted"
SR 0032 of 2007,Senate Resolution,"A resolution of tribute offered as a memorial for Harold M. Ryan, former member of the Michigan Senate and the United States House of Representative and Wayne County Circuit Judge.

Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
SR 0033 of 2007,Senate Resolution,"A resolution designating April 22 - May 1, 2007, as Michigan Conservation Week.Last Action: ADOPTED"
HR 0033 of 2007,House Resolution,A resolution to urge the President and Congress of the United States to appropriate additional funding for the Low Income Home Energy Assistance Program (LIHEAP).Last Action: adopted
HR 0034 of 2007,House Resolution,"A resolution proclaiming April 9 - 14, 2007, as National Architecture Week in the state of Michigan.Last Action: adopted"
SR 0034 of 2007,Senate Resolution,"A resolution to express the Senate's opposition to Norfolk Southern Corporation's proposed sale of its rail lines from Ypsilanti to Kalamazoo and Grand Rapids to Kalamazoo and continuing to the Indiana border.

Last Action: ADOPTED"
SR 0035 of 2007,Senate Resolution,A resolution recognizing April 2007 as Donate Life Month in the state of Michigan.Last Action: ADOPTED
HR 0035 of 2007,House Resolution,"A resolution observing March 8th, 2007, as World Kidney Day and the month of March as Kidney Awareness Month in the state of Michigan.Last Action: adopted"
HR 0036 of 2007,House Resolution,"A resolution recognizing April 28, 2007, as Workers Memorial Day in the state of Michigan.Last Action: adopted"
SR 0036 of 2007,Senate Resolution,"A resolution to urge the President of the United States, the United States Congress, and the United States Department of Energy to restore funding for the Weatherization Assistance Program in Fiscal Year 2008 and to consider increasing future funding for this important federal program.

Last Action: ADOPTED"
SR 0037 of 2007,Senate Resolution,A resolution commemorating April 2007 as Wine Month in Michigan.Last Action: ADOPTED
HR 0037 of 2007,House Resolution,"A resolution to memorialize Congress to support the National Cancer Institute's plan to eliminate suffering and death from cancer by the year 2015.

Last Action: motion to discharge committee postponed for day"
HR 0038 of 2007,House Resolution,"A resolution proclaiming March 26, 2007, as Support Our Troops Day in the state of Michigan.Last Action: adopted"
SR 0038 of 2007,Senate Resolution,"A resolution to memorialize the Congress of the United States to provide assured funding for veteran health care.

Last Action: REFERRED TO COMMITTEE ON SENIOR CITIZENS AND VETERANS AFFAIRS"
SR 0039 of 2007,Senate Resolution,"A resolution to recognize April 16-21, 2007, as Public Health Week in Michigan.Last Action: ADOPTED"
HR 0039 of 2007,House Resolution,"A resolution to memorialize the Congress of the United States to enact legislation to prohibit paperless ballots.

Last Action: referred to Committee on Ethics and Elections"
HR 0040 of 2007,House Resolution,"A resolution to memorialize the Congress of the United States to invest in Head Start and quality child care.

Last Action:  Roll Call # 55 Yeas 109 Nays 0"
SR 0040 of 2007,Senate Resolution,"A resolution marking the 62nd anniversary of the end of the Holocaust and declaring April 18, 2007, as Holocaust Remembrance Day in the state of Michigan.Last Action: ADOPTED"
SR 0041 of 2007,Senate Resolution,A resolution designating September 2007 as Children's Internet Safety Month.Last Action: ADOPTED
HR 0041 of 2007,House Resolution,"A resolution to commemorate March 11 -17, 2007, as Girl Scouts Make the World a Better Place Week in the state of Michigan.Last Action: adopted"
HR 0042 of 2007,House Resolution,"A resolution to memorialize the United States Congress, the President of the United States, and the United States Army Corps of Engineers to fund expansion of the Soo Locks.

Last Action: adopted"
SR 0042 of 2007,Senate Resolution,A resolution declaring April 2007 as Financial Literacy for Youth Month in the state of Michigan.Last Action: ADOPTED
SR 0043 of 2007,Senate Resolution,"A resolution to memorialize the Congress of the United States to enact legislation to provide funding for the continuing restoration and protection of the Great Lakes.

Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS"
HR 0043 of 2007,House Resolution,"A resolution to memorialize the United States Congress to fully respect the sovereignty of Venezuela.

Last Action: referred to Committee on Oversight and Investigations"
HR 0044 of 2007,House Resolution,"A resolution to memorialize the United States Congress to take steps to deport and extradite the mega-terrorist Luis Posada Carriles to the Bolivarian Republic of Venezuela.

Last Action: referred to Committee on Oversight and Investigations"
SR 0044 of 2007,Senate Resolution,"A resolution to memorialize the Congress of the United States to advance legislation to address the problem of bullying in schools through the reauthorization of the No Child Left Behind Act, by amending the Safe and Drug-Free Schools Act.

Last Action: REFERRED TO COMMITTEE ON EDUCATION"
SR 0045 of 2007,Senate Resolution,"A resolution to memorialize the United States Congress to enact the Second Chance Act to help juvenile and adult ex-offenders to successfully reenter their communities.

Last Action: ADOPTED"
HR 0045 of 2007,House Resolution,"A resolution to memorialize the President and the Congress of the United States and the Justice Department to free the ""Cuban Five.""

Last Action: referred to Committee on Oversight and Investigations"
HR 0046 of 2007,House Resolution,A resolution honoring the 65th anniversary of the Michigan Wing of the Civil Air Patrol.Last Action: adopted
SR 0046 of 2007,Senate Resolution,A resolution commemorating the Michigan United Conservation Clubs for seventy years of commitment in protecting Michigan's natural resources.Last Action: ADOPTED
SR 0047 of 2007,Senate Resolution,A resolution commemorating the Michigan Department of Natural Resources for their efforts to promote hunting and fishing and to protect and conserve Michigan's natural resources.Last Action: ADOPTED
HR 0047 of 2007,House Resolution,"A resolution to memorialize Congress to enact the Homeless Emergency Assistance and Rapid Transition to Housing Act.

Last Action: referred to Committee on Families and Children's Services"
HR 0048 of 2007,House Resolution,"A resolution commemorating April 24, 2007, as Michigan's Day of Remembrance of the Armenian Genocide of 1915-1923.Last Action: adopted"
SR 0048 of 2007,Senate Resolution,"A resolution recognizing April 30 - May 6, 2007, as National Charter Schools Week in Michigan.Last Action: ADOPTED"
SR 0049 of 2007,Senate Resolution,"A resolution to urge the United States Environmental Protection Agency and the Michigan Department of Environmental Quality to hold public hearings to explain options and to answer questions concerning the long-term management and disposal plans for the polychlorinated biphenyl-contaminated sediments from the Kalamazoo River Superfund site.
Last Action: ADOPTED"
HR 0049 of 2007,House Resolution,A resolution congratulating Lansing Community College on their 50th anniversary.Last Action: adopted
HR 0050 of 2007,House Resolution,"A resolution to memorialize the United States Congress to reauthorize the State Children's Health Insurance Program (SCHIP) for the State of Michigan.

Last Action: adopted"
SR 0050 of 2007,Senate Resolution,A resolution commemorating May 2007 as Children's Mental Health Month in Michigan.Last Action: ADOPTED
SR 0051 of 2007,Senate Resolution,"A resolution designating May 19-25, 2007, as Safe Boating Week in Michigan.Last Action: ADOPTED"
HR 0051 of 2007,House Resolution,"A resolution to urge the Michigan Department of Agriculture to amend the mandatory electronic animal identification program to be a voluntary program for Michigan’s agricultural businesses.

Last Action: referred to Committee on Agriculture"
HR 0052 of 2007,House Resolution,A resolution recognizing March 2007 as Colorectal Cancer Awareness Month in the state of Michigan.Last Action: adopted
SR 0052 of 2007,Senate Resolution,"A resolution to commemorate May 12-19, 2007, as Hutchinson-Gilford Progeria Syndrome Awareness Week in the state of Michigan and name Lindsay Ratcliffe as Michigan Progeria Ambassador.Last Action: ADOPTED"
SR 0053 of 2007,Senate Resolution,"A resolution proclaiming May 9, 2007, as 811/MISS DIG Awareness Day in the state of Michigan.Last Action: ADOPTED"
HR 0053 of 2007,House Resolution,"A resolution to memorialize the Congress of the United States to enact legislation to increase funding for veterans health programs and to reform budget practices to assure that veterans health care needs are addressed by direct rather than discretionary funding.

Last Action: adopted"
HR 0054 of 2007,House Resolution,"A resolution marking the 62nd anniversary of the end of the Holocaust, and declaring April 18, 2007, as Holocaust Remembrance Day in the state of Michigan.Last Action: adopted"
SR 0054 of 2007,Senate Resolution,A resolution honoring Michael Silver.Last Action: ADOPTED
SR 0055 of 2007,Senate Resolution,A resolution to commemorate the Masons involvement and commitment in the Michigan Child Identification Program.Last Action: ADOPTED
HR 0055 of 2007,House Resolution,"A resolution to memorialize the Congress of the United States to enact and the President of the United States to sign the Water Quality Investment Act of 2007.

Last Action: referred to Committee on Great Lakes and Environment"
HR 0056 of 2007,House Resolution,"A resolution to express opposition to Norfolk Southern Corporation's proposed sale of its rail lines from Ypsilanti to Kalamazoo and Grand Rapids to Kalamazoo and continuing to the Indiana border.

Last Action: adopted"
SR 0056 of 2007,Senate Resolution,"A resolution commemorating Saturday, June 2, 2007, as Childhood Cancer Survivors Day in the state of Michigan.Last Action: ADOPTED"
SR 0057 of 2007,Senate Resolution,A resolution declaring May 2007 as Asian Pacific American Heritage Month.Last Action: ADOPTED
HR 0057 of 2007,House Resolution,"A resolution recognizing the week of April 1st, 2007, as National Work Zone Awareness Week.Last Action: adopted"
HR 0058 of 2007,House Resolution,A resolution recognizing April 2007 as Autism Awareness Month in the state of Michigan.Last Action: adopted
SR 0058 of 2007,Senate Resolution,A resolution recognizing May 2007 as Hearing Loss Awareness Month in the state of Michigan.Last Action: ADOPTED
SR 0059 of 2007,Senate Resolution,"A resolution to memorialize the Congress of the United States to enact the International Solid Waste Importation and Management Act of 2007 to permit states to prohibit or limit the importation of foreign and out-of-state solid waste.

Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS"
HR 0059 of 2007,House Resolution,"A resolution to memorialize the Congress of the United States and the United States State Department to increase efforts to halt the violence and to provide humanitarian assistance in the Darfur region of Sudan.

Last Action: adopted"
HR 0060 of 2007,House Resolution,A resolution recognizing April 2007 as Child Abuse and Neglect Prevention Month in the state of Michigan.Last Action: adopted
SR 0060 of 2007,Senate Resolution,"A resolution designating May 17, 2007, as Community College Day in the state of Michigan.Last Action: ADOPTED"
SR 0061 of 2007,Senate Resolution,"A resolution to memorialize the United States Congress to enact the Education Begins at Home Act.

Last Action: ADOPTED"
HR 0061 of 2007,House Resolution,A resolution honoring the Saginaw High School Boys Basketball team upon winning the 2007 Class A State Championship.Last Action: adopted
HR 0062 of 2007,House Resolution,A resolution recognizing and congratulating the 2007 Mott Community College (MCC) men's basketball team for winning the NJCAA Division II National Championship.Last Action: adopted
SR 0062 of 2007,Senate Resolution,"A resolution to memorialize Congress to reject the Real ID Act of 2005 and to express the intent of the Michigan Legislature regarding this act.

Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION"
SR 0063 of 2007,Senate Resolution,"A resolution commemorating the history of the Ford Wixom Assembly Plant in Novi, Michigan.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM"
HR 0063 of 2007,House Resolution,"A resolution to memorialize the Congress of the United States to enact legislation to prohibit federal funds from going to any business or entity that works with the Sudanese government.

Last Action: adopted"
HR 0064 of 2007,House Resolution,"A resolution to memorialize the Congress of the United States to take action to investigate and provide remedies for those injured by the recent contamination of pet food and deaths of family pets.

Last Action: adopted"
SR 0064 of 2007,Senate Resolution,"A resolution commemorating May 22-28, 2007, as Aquatic Invasive Species Awareness Week in Michigan.Last Action: ADOPTED"
SR 0065 of 2007,Senate Resolution,A resolution honoring speech-language pathologists in Michigan.Last Action: ADOPTED AS SUBSTITUTED S-1
HR 0065 of 2007,House Resolution,"A resolution commemorating the week of July 15 - 21, 2007, as Agricultural Extension Agent Recognition Week in the state of Michigan.Last Action: adopted"
HR 0066 of 2007,House Resolution,"A resolution to memorialize the United States Congress to enact a congressional pardon for border patrol agents Ignacio Ramos and Jose Compean.

Last Action: referred to Committee on Oversight and Investigations"
SR 0066 of 2007,Senate Resolution,"A resolution to urge Michigan's congressional delegation to secure supplemental funding to control the spread of viral hemorrhagic septicemia in fish populations.

Last Action: ADOPTED"
SR 0067 of 2007,Senate Resolution,"A resolution commemorating the history of the Ford Wixom Assembly Plant in Wixom, Michigan.Last Action: ADOPTED"
HR 0067 of 2007,House Resolution,"A resolution to memorialize the Congress of the United States to divert excess oil company profits to provide incentives for the development of biodiesel and ethanol production facilities and to encourage the use of these fuels in diesel fuel vehicles and flexible fuel vehicles.

Last Action: referred to Committee on Agriculture"
HR 0068 of 2007,House Resolution,A resolution recognizing the month of April 2007 as Financial Literacy for Youth Month in the state of MichiganLast Action: adopted
SR 0068 of 2007,Senate Resolution,A resolution to commemorate June 2007 as Horse Racing Month in the state of Michigan.Last Action: ADOPTED
SR 0069 of 2007,Senate Resolution,A resolution to memorialize the Congress of the United States to enact the Hearing Aid Assistance Tax Credit Act.Last Action: REFERRED TO COMMITTEE ON FINANCE
HR 0069 of 2007,House Resolution,"A resolution to memorialize the United States Congress to enact the Second Chance Act to help juvenile and adult ex-offenders to successfully reenter their communities.

Last Action: referred to Committee on Judiciary"
HR 0070 of 2007,House Resolution,"A resolution to memorialize the Congress of the United States to remove the therapy services cap in the Medicare program.

Last Action: referred to Committee on Health Policy"
SR 0070 of 2007,Senate Resolution,"A resolution to memorialize Congress to enact the Protecting Children's Health in Schools Act.

Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY"
SR 0071 of 2007,Senate Resolution,A resolution commemorating the 3rd Annual Juneteenth State Capitol Kick-off Celebration.Last Action: ADOPTED
HR 0071 of 2007,House Resolution,A resolution to commemorate the Masons involvement and commitment in the Michigan Child Identification Program.Last Action: adopted
HR 0072 of 2007,House Resolution,"A resolution to memorialize the Congress of the United States to advance legislation to address the problem of bullying in schools through the reauthorization of the No Child Left Behind Act, by amending the Safe and Drug-Free Schools Act.

Last Action: referred to Committee on Education"
SR 0072 of 2007,Senate Resolution,"A resolution of tribute offered to honor Laura Chappelle, Michigan Public Service Commissioner.Last Action: ADOPTED"
SR 0073 of 2007,Senate Resolution,"A resolution to urge the Governor to refrain from filling judicial vacancies prior to the Supreme Court's issuance of the 2007 Judicial Resources Report in early August.

Last Action:  ROLL CALL # 166 YEAS 21 NAYS 17 EXCUSED 0 NOT VOTING 0"
HR 0073 of 2007,House Resolution,"A resolution to condemn the actions of the Warren County Prosecutor in New York in seeking only misdemeanor charges in the capsizing deaths of twenty passengers, including seven senior citizens in the Livonia Travel Club.

Last Action: referred to Committee on Judiciary"
HR 0074 of 2007,House Resolution,"A resolution celebrating April 19, 2007, as Dutch-American Friendship Day in the state of MichiganLast Action: adopted"
SR 0074 of 2007,Senate Resolution,"A resolution honoring Tony Dungy, head coach of the Indianapolis Colts, and the 2007 Super Bowl Champions.Last Action: ADOPTED"
SR 0075 of 2007,Senate Resolution,"A resolution honoring Norman ""Turkey"" Stearnes.Last Action: ADOPTED"
HR 0075 of 2007,House Resolution,"A resolution to commemorate May 12, 2007, as Michigan Fibromyalgia Awareness DayLast Action: adopted"
HR 0076 of 2007,House Resolution,"A resolution to memorialize the Congress of the United States to provide resources to address the Colony Collapse Disorder affecting honeybees.

Last Action: adopted"
SR 0076 of 2007,Senate Resolution,"A resolution honoring Louis Gossett, Jr., for his unyielding contributions to American arts and culture.Last Action: ADOPTED"
SR 0077 of 2007,Senate Resolution,"A resolution to commemorate June 23, 2007, as the 25th Anniversary of the death of Vincent Chin.Last Action: ADOPTED"
HR 0077 of 2007,House Resolution,"A resolution to memorialize the Congress of the United States to fund fully the Select Michigan agricultural program through the United States Department of Agriculture.

Last Action: adopted"
HR 0078 of 2007,House Resolution,"A resolution to memorialize the Congress of the United States to enact H.R. 1619 or S. 587, to direct the Secretary of the Treasury to mint coins to commemorate the Model T Ford.

Last Action: adopted"
SR 0078 of 2007,Senate Resolution,"A resolution to urge the Michigan Strategic Fund to adopt a resolution to approve an application for United States Department of Transportation private activity bonds for the construction of any new privately-owned international crossing of the Detroit River.
Last Action:  ROLL CALL # 201 YEAS 21 NAYS 17 EXCUSED 0 NOT VOTING 0"
SR 0079 of 2007,Senate Resolution,A resolution commemorating the Fiftieth Anniversary of the completion of the Mackinac Bridge.Last Action: ADOPTED
HR 0079 of 2007,House Resolution,"A resolution to memorialize the Congress of the United States to enact the Prevention First Act to increase access to birth control to prevent unintended pregnancies and reduce the need for abortions.

Last Action: referred to Committee on Judiciary"
HR 0080 of 2007,House Resolution,"A resolution to memorialize the Congress of the United States to adopt and submit to the states for ratification an amendment to the United States Constitution to provide for equal rights for women.

Last Action: referred to Committee on Judiciary"
SR 0080 of 2007,Senate Resolution,"A resolution to encourage the Federal Highway Administration to approve the $1,000,000 grant request, submitted by the Michigan Department of Transportation, to develop a rail transit route as an alternative to U.S. 23 in Livingston and Washtenaw counties.

Last Action: ADOPTED"
SR 0081 of 2007,Senate Resolution,A resolution to amend the Standing Rules of the Senate.Last Action:  ROLL CALL # 205 YEAS 20 NAYS 17 EXCUSED 1 NOT VOTING 0
HR 0081 of 2007,House Resolution,"A resolution to memorialize the United States Congress to enact the Education Begins at Home Act.

Last Action: laid over one day under the rules"
HR 0082 of 2007,House Resolution,"A resolution to memorialize the United States Congress to increase funding for research into the causes and treatment of autism and to improve training and support for individuals with autism and those who care for individuals with autism.

Last Action: adopted"
SR 0082 of 2007,Senate Resolution,A resolution commemorating the 25th Annual Metro Detroit Youth Day.Last Action: ADOPTED
SR 0083 of 2007,Senate Resolution,"A resolution to urge the Honorable John Conyers, Jr., Chairman of the Committee on the Judiciary in the United States House of Representatives, to conduct hearings on the fitness of United States District Court Judge Richard Enslen to serve.

Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
HR 0083 of 2007,House Resolution,"A resolution to express support for the Republic of China on Taiwan's participation in the World Health Organization and the World Health Assembly.

Last Action: referred to Committee on New Economy and Quality of Life"
HR 0084 of 2007,House Resolution,"A resolution recognizing May 1, 2007, as Law Day in the state of Michigan.Last Action: adopted"
SR 0084 of 2007,Senate Resolution,"A resolution of tribute offered as a memorial for Guy Vander Jagt, former member of the Michigan Senate and the United States House of Representatives.

Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
SR 0085 of 2007,Senate Resolution,"A resolution to request the Governor to issue an Executive Directive requiring interdepartmental agreements and cooperation between the Department of Community Health, the Department of Human Services, and the Department of Corrections to coordinate services to inmates in Michigan's prisons.
Last Action: ADOPTED"
HR 0085 of 2007,House Resolution,"A resolution recognizing April 30 - May 6, 2007, as National Charter Schools Week in the state of Michigan.Last Action: referred to Committee on Education"
