Document,Type,Description
HJR G of 2015,House Joint Resolution,"Individual income tax; credit; prohibition on credits for nonpublic schools; eliminate. Amends sec. 2, art. VIII of the state constitution.Last Action: printed joint resolution filed 02/04/2015"
HJR H of 2015,House Joint Resolution,"Natural resources; hunting; constitutional right to hunt, trap, and fish; provide for. Amends the state constitution by adding sec. 28 to art. I.Last Action: printed joint resolution filed 02/18/2015"
SJR H of 2015,Senate Joint Resolution,"Human services; services or financial assistance; illegal aliens collecting public assistance; prohibit. Amends the state constitution by adding sec. 28 to art. I.Last Action: REFERRED TO COMMITTEE ON FAMILIES, SENIORS AND HUMAN SERVICES"
SJR I of 2015,Senate Joint Resolution,"Family law; marriage and divorce; constitutional prohibition of same-sex marriage and civil unions; repeal. Repeals sec. 25, art. I of the state constitution.Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
HJR I of 2015,House Joint Resolution,"Property tax; assessments; limitation on taxable value based on change in SEV; amend constitution to provide for. Amends sec. 3, art. IX of the state constitution.Last Action: printed joint resolution filed 02/18/2015"
HJR J of 2015,House Joint Resolution,"Administrative procedure; rules; expiration; provide for expiration of rules and executive reorganizations after set time. Amends the state constitution by adding sec. 31, art. V.Last Action: printed joint resolution filed 03/06/2015"
SJR J of 2015,Senate Joint Resolution,"Courts; judges; election of or appointment to a judicial office of person who has reached 70 years of age; remove prohibition. Amends sec. 19, art. VI of the state constitution.Last Action: REFERRED TO COMMITTEE OF THE WHOLE"
SJR K of 2015,Senate Joint Resolution,"Legislature; other; appropriation bills subject to referendum; clarify. Amends sec. 9, art. II of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR K of 2015,House Joint Resolution,"Individual income tax; rate; graduated income tax; provide for. Amends sec. 7, art. IX of the state constitution.Last Action: printed joint resolution filed 03/13/2015"
HJR L of 2015,House Joint Resolution,"Family law; marriage and divorce; constitutional prohibition of same-sex marriage and civil unions; repeal. Repeals sec. 25, art. I of the state constitution.  TIE BAR WITH: HB 4374'15, HB 4375'15Last Action: printed joint resolution filed 03/25/2015"
SJR L of 2015,Senate Joint Resolution,"Legislature; apportionment; independent citizens redistricting commission; create. Amends secs. 2, 3 & 6, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SJR M of 2015,Senate Joint Resolution,"Sales tax; rate; rate increase; provide for, earmark additional revenue for transportation purposes, and nullify certain tax and fee increases. Amends sec. 8, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR M of 2015,House Joint Resolution,"Legislature; sessions; sine die; establish as the Friday before the first Monday in November in an even year. Amends sec. 13, art. IV of the state constitution.Last Action: printed joint resolution filed 03/26/2015"
HJR N of 2015,House Joint Resolution,"Criminal procedure; warrants; search and seizure protections; expand to include electronic communications and seizures. Amends sec. 11, art. I of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SJR N of 2015,Senate Joint Resolution,"State financing and management; funds; appropriation bills subject to referendum; clarify. Amends sec. 9, art. II of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR O of 2015,House Joint Resolution,"Higher education; governing boards; open meetings for university boards; require, and provide for public inspection of records. Amends sec. 4, art. VIII of the state constitution.Last Action: referred to second reading"
HJR P of 2015,House Joint Resolution,"Legislature; legislative agencies; fiscal impact statement; prohibit bill from being considered until house and senate fiscal agencies have prepared. Amends sec. 26, art. IV of the state constitution.Last Action: printed joint resolution filed 04/29/2015"
HJR Q of 2015,House Joint Resolution,"Public employees and officers; state; term limits for certain state elected officials; repeal. Repeals sec. 54, art. IV & sec. 30, art. V of the state constitution.Last Action: printed joint resolution filed 05/01/2015"
HJR R of 2015,House Joint Resolution,"Legislature; other; legislature's ability to disapprove certain rules, regulations, or enforcement actions; provide for. Amends sec. 37, art. IV of the state constitution.Last Action: printed joint resolution filed 06/11/2015"
HJR S of 2015,House Joint Resolution,"Courts; judges; age limit for election of or appointment to a judicial office; increase to 75 years of age. Amends sec. 19, art. VI of the state constitution.Last Action: printed joint resolution filed 06/12/2015"
HJR T of 2015,House Joint Resolution,"Individual income tax; other; imposition of state income taxes on individuals and businesses; prohibit. Amends sec. 7, art. IX of the state constitution.Last Action: printed joint resolution filed 06/18/2015"
HJR U of 2015,House Joint Resolution,"Legislature; rules; bills or initiative petitions to take effect upon the expiration of 90 days after the date they are filed with the secretary of state; provide for. Amends sec. 27, art. IV of the state constitution.Last Action: printed joint resolution filed 06/19/2015"
HJR V of 2015,House Joint Resolution,"Legislature; legislators; term limits; repeal. Amends sec. 54, art. IV of the state constitution.Last Action: printed joint resolution filed 06/19/2015"
HJR W of 2015,House Joint Resolution,"Legislature; legislators; term limits; revise to combination of 16 years' total legislative service. Amends sec. 54, art. IV of the state constitution.Last Action: printed joint resolution filed 06/19/2015"
HJR X of 2015,House Joint Resolution,"Legislature; legislators; term limits; revise to allow a member to serve nonconcurrent terms. Amends sec. 54, art. IV of the state constitution.Last Action: printed joint resolution filed 06/19/2015"
HJR Y of 2015,House Joint Resolution,"Legislature; sessions; unicameral nonpartisan legislature; provide for. Amends sec. 9, art. II, sec. 8, art. III, secs. 1, 7, 8, 11, 12, 14, 16, 17, 18, 19, 20, 22, 24, 26, 27, 29, 30, 31, 33, 37, 43, 53 & 54, art. IV, secs. 2, 3, 6, 7, 13, 18, 20, 25, 26, 28 & 29, art. V, secs. 1 & 25, art. VI, sec. 6, art. VIII, secs. 15 & 27, art. IX, sec. 5, art. X, secs. 5 & 7, art. XI & secs. 1 & 3, art. XII; adds sec. 1a to art. IV & a schedule & temp. provisions & repeals secs. 2, 3, 4, 6 & 21, art. IV of the state constitution.Last Action: printed joint resolution filed 07/15/2015"
HJR Z of 2015,House Joint Resolution,Insurance; exchanges; creation of an American health benefit exchange; prohibit. Amends the state constitution by adding sec. 55 to art. IV.Last Action: printed joint resolution filed 07/15/2015
HJR AA of 2015,House Joint Resolution,"Legislature; apportionment; independent citizens redistricting commission; create. Amends secs. 2, 3 & 6, art. IV of the state constitution.Last Action: printed joint resolution filed 08/19/2015"
HJR BB of 2015,House Joint Resolution,Legislature; other; application for a convention of the states under article V of the United States constitution; provide for. Creates new bill.Last Action: printed joint resolution filed 08/21/2015
HJR CC of 2015,House Joint Resolution,"State financing and management; funds; percentage of federal funds allocated to state budget; modify. Amends sec. 28, art. IX of the state constitution.Last Action: printed joint resolution filed 09/10/2015"
HJR DD of 2015,House Joint Resolution,"Legislature; legislators; minimum age for state senators, state representatives, governor, and lieutenant governor; revise. Amends sec. 7, art. IV & sec. 22, art. V of the state constitution.Last Action: printed joint resolution filed 09/23/2015"
HJR EE of 2015,House Joint Resolution,"Elections; scheduling; election date for governor, attorney general, secretary of state, and state senate; modify. Amends sec. 2, art. IV  & sec. 21, art. V of the state constitution.Last Action: printed joint resolution filed 12/04/2015"
HJR FF of 2015,House Joint Resolution,"State financing and management; funds; appropriation bills subject to referendum; clarify. Amends sec. 9, art. II of the state constitution.Last Action: printed joint resolution filed 12/11/2015"
SJR O of 2016,Senate Joint Resolution,"Controlled substances; marihuana; legalization of marihuana; provide for. Amends sec. 40a, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SJR P of 2016,Senate Joint Resolution,Elections; other; special election to fill vacancy in office of lieutenant governor; provide for. Amends the state constitution by adding sec. 21a to art. V.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SJR Q of 2016,Senate Joint Resolution,Constitutional amendments; state; provision regarding filling a vacancy in the office of lieutenant governor; provide for. Amends the state constitution by adding sec. 21a to art. V.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SJR R of 2016,Senate Joint Resolution,Elections; candidates; procedure for filling a vacancy in the office of state senator or state representative; revise under certain circumstances. Amends secs. 2 & 3 of art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SJR S of 2016,Senate Joint Resolution,Campaign finance; contributions and expenditures; petition Congress to propose amendments to Constitution to reverse Citizens United; provide for. Creates new joint resolution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
HJR GG of 2016,House Joint Resolution,"Civil rights; equal protection; equal protection discrimination; expand. Amends sec. 2, art. I of the state constitution.Last Action: joint resolution electronically reproduced 04/12/2016"
HJR HH of 2016,House Joint Resolution,"Constitutional amendments; state; state board of education, superintendent of public instruction, and state board for public community and junior colleges; eliminate, and provide for a governor-appointed department director. Amends secs. 3 & 7, art. VIII of the state constitution.Last Action: recommendation concurred in"
HJR II of 2016,House Joint Resolution,"Legislature; other; location of legislative offices; prohibit in same building as a lobbying office. Amends sec. 10, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 04/26/2016"
HJR JJ of 2016,House Joint Resolution,"Legislature; sessions; session calendar; modify. Amends sec. 13, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 04/26/2016"
HJR KK of 2016,House Joint Resolution,"Legislature; rules; time allowed when voting on bills in the house of representatives; limit. Amends sec. 26, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 04/27/2016"
HJR LL of 2016,House Joint Resolution,"Taxation; other; taxpayers bill of rights in state constitution; establish. Amends sec. 28, art. IX of the state constitution.Last Action: join resolution electronically reproduced 05/17/2016"
HJR MM of 2016,House Joint Resolution,"Public employees and officers; state; constitutional authority for heads of principal departments to discipline employees; provide in cases of conduct negatively affecting departmental duties. Amends sec. 48, art. IV  & sec. 5, art. XI of the state constitution.Last Action: placed on third reading"
HJR NN of 2016,House Joint Resolution,"Constitutional amendments; state; permissible uses of state school aid fund; revise. Amends sec. 11, art. IX of the state constitution.Last Action: joint resolution electronically reproduced 06/09/2016"
HJR OO of 2016,House Joint Resolution,Campaign finance; contributions and expenditures; Article V convention to propose an amendment to restrict independent political spending; petition Congress for. Petitions congress to propose amendment to Constitution of the United States.Last Action: joint resolution electronically reproduced 07/13/2016
HJR PP of 2016,House Joint Resolution,"Elections; voters; bill of rights for voters; establish. Amends sec. 4, art. II & adds sec. 1a to art. II of the state constitution.Last Action: joint resolution electronically reproduced 07/13/2016"
HJR QQ of 2016,House Joint Resolution,"Elections; primary; nomination process for lieutenant governor, secretary of state, attorney general, state board of education, university boards, and justices of the supreme court; modify. Amends sec. 21, art. V, sec. 2, art VI & secs. 3 & 5, art. VIII of the state constitution.Last Action: joint resolution electronically reproduced 09/07/2016"
HJR RR of 2016,House Joint Resolution,"Financial institutions; other; constitutional limitation on deposits of state money in financial institutions; exclude deposits in community bank of Michigan. Amends sec. 20, art. IX of the state constitution.Last Action: joint resolution electronically reproduced 09/08/2016"
HJR SS of 2016,House Joint Resolution,"Constitutional amendments; state; permissible uses of state school aid fund under state constitution; revise. Amends sec. 11, art. IX of the state constitution.Last Action: joint resolution electronically reproduced 09/22/2016"
HJR TT of 2016,House Joint Resolution,Legislature; other; constitutional amendment imposing term limits on members of congress; petition congress to call a convention. Petitions congress to propose amendment to constitution of United States.Last Action: joint resolution electronically reproduced 10/19/2016
HJR UU of 2016,House Joint Resolution,"Legislature; legislators; term limits; revise to combination of 14 years' total legislative service. Amends sec. 54, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 11/29/2016"
HJR VV of 2016,House Joint Resolution,"Elections; candidates; residency requirement for state senate and state representative candidates; modify. Amends sec. 7, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 12/01/2016"
HJR WW of 2016,House Joint Resolution,Campaign finance; contributions and expenditures; petition Congress to propose amendments to Constitution to reverse Citizens United; provide for. Creates new joint resolution.Last Action: joint resolution electronically reproduced 12/13/2016
