Document,Type,Description
SB 0032 of 2009,Senate Bill,Civil procedure; evictions; eviction after foreclosure; require 90-day notice of eviction to tenants. Amends secs. 3208 & 5714 of 1961 PA 236 (MCL 600.3208 & 600.5714) & adds sec. 3108.Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0033 of 2009,Senate Bill,"Civil procedure; foreclosure; lease of foreclosed property; provide that lease continues after property is foreclosed, and provide notice of foreclosure to tenants. Amends secs. 3130, 3208 & 3236 of 1961 PA 236 (MCL 600.3130 et seq.) & adds sec. 3108.Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 0034 of 2009 (PA 0302 of 2010),Senate Bill,"Natural resources; funding; expedited review process for certain projects and allowable expenditures from waterway account; modify. Amends secs. 4112, 4113, 78101 & 78110 of 1994 PA 451 (MCL 324.4112 et seq.).Last Action: ASSIGNED PA 0302'10 WITH IMMEDIATE EFFECT"
SB 0035 of 2009,Senate Bill,"Civil procedure; statute of limitations; statute of limitations and statute of repose for actions against architects, engineers, and construction contractors; revise. Amends secs. 5805 & 5839 of 1961 PA 236 (MCL 600.5805 & 600.5839).Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 0036 of 2009,Senate Bill,Education; curricula; internet safety instruction in schools; require. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1163.Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0037 of 2009,Senate Bill,Transportation; funds; distribution of funding formula; modify under certain circumstances. Amends sec. 12 of 1951 PA 51 (MCL 247.662).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION
SB 0038 of 2009,Senate Bill,Income tax; credit; charitable contributions to an educational foundation; provide for. Amends sec. 261 of 1967 PA 281 (MCL 206.261).Last Action: referred to Committee on Tax Policy
SB 0039 of 2009,Senate Bill,Torts; governmental immunity; liability of a peace officer for injuries caused while rendering assistance outside jurisdiction; provide immunity. Amends sec. 7 of 1964 PA 170 (MCL 691.1407).Last Action: referred to second reading
SB 0040 of 2009,Senate Bill,"Crimes; weapons; brandishing of imitation firearms; prohibit, and increase penalties. Amends sec. 234e of 1931 PA 328 (MCL 750.234e).Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 0041 of 2009,Senate Bill,"Crimes; weapons; altering a firearm or an imitation firearm; prohibit, and provide penalties. Amends 1931 PA 328 (MCL 750.1 - 750.568) by adding sec. 225.Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 0042 of 2009,Senate Bill,"Criminal procedure; sentencing guidelines; sentencing guidelines for crime of altering a firearm or imitation firearm; enact, and increase certain penalties. Amends sec. 16m, ch. XVII of 1927 PA 175 (MCL 777.16m).  TIE BAR WITH: SB 0041'09Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 0043 of 2009,Senate Bill,"Local government; other; local regulation of adult entertainment business employees act; create. Creates new act.Last Action: REFERRED TO COMMITTEE ON LOCAL, URBAN AND STATE AFFAIRS"
SB 0044 of 2009,Senate Bill,"Taxation; other; adult entertainment tax act; create and impose. Creates new act.Last Action: REFERRED TO COMMITTEE ON LOCAL, URBAN AND STATE AFFAIRS"
SB 0045 of 2009,Senate Bill,Environmental protection; sewage; on-site wastewater treatment systems; regulate. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding pt. 50.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS
SB 0046 of 2009,Senate Bill,Energy; conservation; school loans for net metering programs; provide for. Amends 1939 PA 3 (MCL 460.1 - 460.11) by adding sec. 6t.Last Action: REFERRED TO COMMITTEE ON ENERGY POLICY AND PUBLIC UTILITIES
SB 0047 of 2009,Senate Bill,Health; pharmaceuticals; prescription drug website; provide for. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 9721.Last Action: POSTPONED FOR THE DAY
SB 0048 of 2009,Senate Bill,State; buildings; flags flown at state buildings; require to be made in the United States. Amends 1911 PA 209 (MCL 2.21 - 2.27) by adding sec. 2a.Last Action: notice given to discharge committee
SB 0049 of 2009,Senate Bill,"Vehicles; registration plates; ""I Believe"" vehicle registration plates; create. Amends sec. 224 of 1949 PA 300 (MCL 257.224).Last Action: referred to Committee on Transportation"
SB 0050 of 2009,Senate Bill,Trade; consumer goods and services; price gouging during state of emergency; prohibit. Amends secs. 3 & 11 of 1976 PA 331 (MCL 445.903 & 445.911) & adds sec. 3i.Last Action: REFERRED TO COMMITTEE ON COMMERCE AND TOURISM
SB 0051 of 2009,Senate Bill,Elections; absent voters; absent voter ballot; allow first-time voters to utilize. Amends sec. 509t of 1954 PA 116 (MCL 168.509t).Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT
SB 0052 of 2009,Senate Bill,Elections; voting procedures; early voting; establish. Amends secs. 720 & 735 of 1954 PA 116 (MCL 168.720 & 168.735) & adds sec. 720a.Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT
SB 0053 of 2009,Senate Bill,"Campaign finance; public funding; public financing for certain supreme court candidates; provide for. Amends secs. 3, 5, 7, 10 & 11 of 1976 PA 388 (MCL 169.203 et seq.) & adds secs. 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 103, 105, 107, 108 & 109.Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT"
SB 0054 of 2009,Senate Bill,Trade; containers; beverages and beverage containers subject to bottle deposit; expand. Amends sec. 1 of 1976 IL 1 (MCL 445.571).Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS
SB 0055 of 2009,Senate Bill,Campaign finance; statements and reports; campaign finance reports from candidates for local elective offices; require to be available online. Amends secs. 18 & 36 of 1976 PA 388 (MCL 169.218 & 169.236).Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT
SB 0056 of 2009,Senate Bill,"Education; examinations; MEAP test; replace with nationally recognized, commercially available assessment instruments. Amends sec. 1280b of 1976 PA 451 (MCL 380.1280b); adds sec. 1280c & repeals 1970 PA 38 (MCL 388.1081 - 388.1086).Last Action: REFERRED TO COMMITTEE ON EDUCATION"
SB 0057 of 2009,Senate Bill,Corrections; parole; parolable life sentence prisoners; revise parole hearing schedule. Amends sec. 34 of 1953 PA 232 (MCL 791.234).Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0058 of 2009,Senate Bill,Corrections; parole; parole procedure for parolable life sentence prisoners; clarify. Amends sec. 34 of 1953 PA 232 (MCL 791.234).Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0059 of 2009,Senate Bill,Vehicles; fund-raising registration plates; habitat for humanity license plate; create. Amends sec. 811e of 1949 PA 300 (MCL 257.811e) & adds sec. 811r.Last Action: referred to Committee on Transportation
SB 0060 of 2009,Senate Bill,Worker's compensation; other; appointments to the workers' compensation qualifications advisory committee; require advice and consent of the senate. Amends sec. 209 of 1969 PA 317 (MCL 418.209).Last Action: REFERRED TO COMMITTEE ON COMMERCE AND TOURISM
SB 0061 of 2009,Senate Bill,Elections; registration; preregistration of voters at age 16 as part of the graduated driver licensing program; provide for. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding sec. 496a.Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT
SB 0062 of 2009,Senate Bill,"Education; intermediate school districts; early childhood education program; allow intermediate districts to request millage to establish. Amends secs. 605, 622, 622a, 629 & 703 of 1976 PA 451 (MCL 380.605 et seq.) & adds secs. 642, 643, 644, 645, 646, 648 & 649.Last Action: REFERRED TO COMMITTEE ON EDUCATION"
SB 0063 of 2009,Senate Bill,"Liquor; hours; selling of alcohol on Sunday; revise prohibition. Amends secs. 1111, 1113 & 1114 of 1998 PA 58 (MCL 436.2111 et seq.).Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT AND REGULATORY REFORM"
SB 0064 of 2009,Senate Bill,Insurance; health care corporations; prescription coverage; expand to include certain contraceptives. Amends 1980 PA 350 (MCL 550.1101 - 550.1704) by adding sec. 416e.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0065 of 2009,Senate Bill,Health; substance abuse treatment; prosecution for possession of drug paraphernalia; exclude certain individuals and entities and limit ability of local governmental units to enact and enforce certain ordinances. Amends sec. 7457 of 1978 PA 368 (MCL 333.7457) & adds sec. 7458.Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0066 of 2009,Senate Bill,Consumer protection; privacy; security freeze on certain credit reports; require on consumer request. Creates new act.Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT AND REGULATORY REFORM
SB 0067 of 2009,Senate Bill,Family law; child support; notice that payee of child support may be entitled to payment from lawsuit settlement or judgment or similar source; require. Amends 1982 PA 295 (MCL 552.601 - 552.650) by adding sec. 25j.Last Action: REFERRED TO COMMITTEE ON FAMILIES AND HUMAN SERVICES
SB 0068 of 2009,Senate Bill,Family law; child support; payment of child support arrearages from casino winnings; require. Amends sec. 3 of 1996 IL 1 (MCL 432.203) & adds sec. 9e.Last Action: REFERRED TO COMMITTEE ON FAMILIES AND HUMAN SERVICES
SB 0069 of 2009,Senate Bill,Michigan business tax; credit; small business credit and entrepreneurial credit; revise. Amends secs. 417 & 441 of 2007 PA 36 (MCL 208.1417 & 208.1441).Last Action: referred to Committee on Tax Policy
SB 0070 of 2009 (PA 0124 of 2009),Senate Bill,"Taxation; other; administration; require of the department of treasury to release certain tax information with certain house and senate committee chairs. Amends sec. 28 of 1941 PA 122 (MCL 205.28).  TIE BAR WITH: HB 4922'09, SB 0071'09, SB 0774'09Last Action: ASSIGNED PA 0124'09 WITH IMMEDIATE EFFECT"
SB 0071 of 2009 (PA 0125 of 2009),Senate Bill,"Economic development; Michigan economic growth authority; reporting requirements for Michigan economic growth authority; modify. Amends sec. 10 of 1995 PA 24 (MCL 207.810).  TIE BAR WITH: HB 4922'09, SB 0070'09, SB 0774'09Last Action: ASSIGNED PA 0125'09 WITH IMMEDIATE EFFECT"
SB 0072 of 2009,Senate Bill,Michigan business tax; credit; listing of tax credits available under the Michigan business tax act and report on the operation and effectiveness of each credit; require treasury to provide. Amends sec. 513 of 2007 PA 36 (MCL 208.1513).Last Action: referred to Committee on Tax Policy
SB 0073 of 2009,Senate Bill,Income tax; property tax credit; homestead property tax credit income eligibility; increase. Amends sec. 520 of 1967 PA 281 (MCL 206.520).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0074 of 2009,Senate Bill,State financing and management; budget; budget process; establish a target deadline of May 30 of each year. Amends 1984 PA 431 (MCL 18.1101 - 18.1594) by adding sec. 365.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0075 of 2009,Senate Bill,Sales tax; exemptions; sales tax holiday for back-to-school clothing and school supplies; provide for. Amends 1933 PA 167 (MCL 205.51 - 205.78) by adding sec. 4ff.Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0076 of 2009,Senate Bill,Property tax; assessments; calculation of assessment based on single-year sales ratio study; require under certain circumstances. Amends sec. 27 of 1893 PA 206 (MCL 211.27).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0077 of 2009,Senate Bill,Property tax; principal residence exemption; elimination of May 1 filing deadline and proration of exemption; provide for. Amends sec. 7cc of 1893 PA 206 (MCL 211.7cc).Last Action: VETOED BY GOVERNOR 12/21/2010
SB 0078 of 2009,Senate Bill,Civil procedure; foreclosure; notice of foreclosure of mortgage by advertisement; require to include street address. Amends sec. 3212 of 1961 PA 236 (MCL 600.3212).Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0079 of 2009,Senate Bill,"Health; smoking; smoking in places of employment; prohibit, and expand smoking prohibition in food service establishments. Amends heading of pt. 129 & secs. 12601 & 12905 of 1978 PA 368 (MCL 333.12601 & 333.12905); adds sec. 12603a & repeals secs. 12603, 12604a, 12605, 12607, 12611, 12613, 12614, 12615, 12617, 12909, 12915, 21333 & 21733 of 1978 PA 368 (MCL 333.12603 et seq.) & sec. 6127 of 2000 PA 92 (MCL 289.6127).Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM"
SB 0080 of 2009,Senate Bill,Crimes; fleeing and eluding; penalties for crime of fleeing and eluding a law enforcement officer; provide mandatory minimum sentence. Amends sec. 479a of 1931 PA 328 (MCL 750.479a).Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0081 of 2009,Senate Bill,"Criminal procedure; sentencing guidelines; sentencing guidelines for crime of fleeing and eluding a peace officer; revise to reflect increased penalties. Amends sec. 16x, ch. XVII of 1927 PA 175 (MCL 777.16x).  TIE BAR WITH: SB 0080'09Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 0082 of 2009,Senate Bill,Income tax; credit; carryforward of certain historic preservation tax credits; extend to 30 years. Amends sec. 266 of 1967 PA 281 (MCL 206.266).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0083 of 2009,Senate Bill,"Insurance; no-fault; serious impairment of body function; define, and provide for general amendments. Amends sec. 3135 of 1956 PA 218 (MCL 500.3135).Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM"
SB 0084 of 2009,Senate Bill,Education; financing; school district's use of sinking funds; expand to include purposes for which bonds may be used. Amends sec. 1212 of 1976 PA 451 (MCL 380.1212).Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0085 of 2009,Senate Bill,Fire; other; sale of novelty lighters; regulate. Amends 1941 PA 207 (MCL 29.1 - 29.33) by adding sec. 3f.Last Action: REFERRED TO COMMITTEE ON COMMERCE AND TOURISM
SB 0086 of 2009,Senate Bill,Housing; landlord and tenants; landlord notification procedure for tenant repairs and maintenance; clarify. Amends 1972 PA 348 (MCL 554.601 - 554.616) by adding sec. 1c.Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0087 of 2009,Senate Bill,Traffic control; driver license; resident address on driver license different than resident address on qualified voter file; permit. Amends secs. 307 & 315 of 1949 PA 300 (MCL 257.307 & 257.315).Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT
SB 0088 of 2009,Senate Bill,Elections; registration; resident address on driver license or personal identification card different than resident address on qualified voter file; permit. Amends sec. 509o of 1954 PA 116 (MCL 168.509o).Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT
SB 0089 of 2009 (PA 0184 of 2009),Senate Bill,Michigan business tax; other; definition of tax rate under next energy credit; clarify. Amends sec. 429 of 2007 PA 36 (MCL 208.1429).Last Action: ASSIGNED PA 0184'09 WITH IMMEDIATE EFFECT
SB 0090 of 2009,Senate Bill,Michigan business tax; other; using historic credit carryforwards to offset recaptured credits; allow. Amends sec. 435 of 2007 PA 36 (MCL 208.1435).Last Action: referred to Committee on Tax Policy
SB 0091 of 2009 (PA 0185 of 2009),Senate Bill,Michigan business tax; other; calculation of tax for first tax year; clarify. Amends sec. 503 of 2007 PA 36 (MCL 208.1503).Last Action: ASSIGNED PA 0185'09 WITH IMMEDIATE EFFECT
SB 0092 of 2009,Senate Bill,Michigan business tax; other; definition of tax year; clarify. Amends sec. 117 of 2007 PA 36 (MCL 208.1117).Last Action: referred to Committee on Tax Policy
SB 0093 of 2009,Senate Bill,Labor; health and safety; promulgation of rules regarding workplace ergonomics; prohibit. Amends 1974 PA 154 (MCL 408.1001 - 408.1094) by adding sec. 17.Last Action: referred to Committee on Labor
SB 0094 of 2009,Senate Bill,"Trade; watercraft; regulation of new watercraft manufacturers, wholesalers, and dealers; revise. Amends title & secs. 1, 2, 3, 4, 5, 6 & 7 of 1989 PA 88 (MCL 445.541 et seq.) & adds secs. 4a, 4b, 4c, 4d, 4e, 4f, 4g, 7a, 7b, 7c, 7d, 7e, 7f & 8.Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT AND REGULATORY REFORM"
SB 0095 of 2009 (PA 0122 of 2009),Senate Bill,Appropriations; zero budget; supplemental appropriations; provide for fiscal year 2008-2009. Creates appropriation bill.Last Action: ASSIGNED PA 0122'09 WITH IMMEDIATE EFFECT
SB 0096 of 2009 (PA 0040 of 2009),Senate Bill,Occupations; individual licensing and regulation; rules for certain educational programs; allow adoption by the department. Amends sec. 13c of 1965 PA 290 (MCL 408.763c).Last Action: ASSIGNED PA 0040'09 WITH IMMEDIATE EFFECT
SB 0097 of 2009,Senate Bill,"Elections; absent voters; qualifications for voting absentee; eliminate. Amends secs. 758, 759 & 759b of 1954 PA 116 (MCL 168.758 et seq.).Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT"
SB 0098 of 2009 (PA 0008 of 2009),Senate Bill,Michigan business tax; estimated payments; clarification during transition period for penalties associated with the payment of estimated taxes for the 2008 tax year; provide for. Amends sec. 501 of 2007 PA 36 (MCL 208.1501).  TIE BAR WITH: HB 4496'09Last Action: ASSIGNED PA 0008'09 WITH IMMEDIATE EFFECT
SB 0099 of 2009 (PA 0233 of 2009),Senate Bill,"Family law; friend of the court; friend of the court act; make miscellaneous revisions. Amends secs. 2, 2a, 5, 5a, 9a, 11a, 13, 15, 17, 17b, 19, 27 & 28 of 1982 PA 294 (MCL 552.502 et seq.).  TIE BAR WITH: HB 5501'09, HB 5502'09, SB 0101'09, SB 0104'09Last Action: ASSIGNED PA 0233'09 WITH IMMEDIATE EFFECT"
SB 0100 of 2009 (PA 0193 of 2009),Senate Bill,"Family law; child support; support and parenting time enforcement act; make miscellaneous changes. Amends secs. 2, 3, 3a, 5b, 5c, 5d, 5e, 7, 8, 9, 11a, 19, 24, 25a, 26b, 28, 29, 30, 31, 33, 35, 39, 44, 45, 46 & 48 of 1982 PA 295 (MCL 552.602 et seq.).  TIE BAR WITH: HB 5503'09, SB 0102'09Last Action: ASSIGNED PA 0193'09 WITH IMMEDIATE EFFECT"
SB 0101 of 2009,Senate Bill,Family law; friend of the court; reference to domestic relations mediation in child custody act; revise to reflect amendment to friend of the court act. Amends sec. 7b of 1970 PA 91 (MCL 722.27b).  TIE BAR WITH: SB 0099'09Last Action: referred to Committee on Families and Children's Services
SB 0102 of 2009,Senate Bill,Traffic control; driver license; procedures for suspension and reinstatement of driver license due to child support arrearage; revise. Amends sec. 321c of 1949 PA 300 (MCL 257.321c).  TIE BAR WITH: SB 0100'09Last Action: referred to Committee on Families and Children's Services
SB 0103 of 2009,Senate Bill,"Civil procedure; costs and fees; consolidated fees from divorce, paternity, and family support acts; provide for. Amends secs. 2137, 2529 & 2538 of 1961 PA 236 (MCL 600.2137 et seq.).  TIE BAR WITH: SB 0105'09, SB 0106'09, SB 0107'09Last Action: referred to Committee on Families and Children's Services"
SB 0104 of 2009,Senate Bill,"Family law; child support; certain duties of the office of child support; establish, and eliminate child support bench warrant enforcement fund. Amends secs. 3 & 3a of 1971 PA 174 (MCL 400.233 & 400.233a) & repeals sec. 6a of 1971 PA 174 (MCL 400.236a).  TIE BAR WITH: SB 0099'09Last Action: referred to Committee on Families and Children's Services"
