Document,Type,Description
SB 0025 of 2007 (PA 0023 of 2007),Senate Bill,"Disabilities; qualified interpreter for deaf or deaf-blind individual; provide in certain circumstances. Amends title & secs. 4, 5, 6, 7 & 8 of 1982 PA 204 (MCL 393.504 et seq.) & adds secs. 8a, 8b, 8c, 8d & 8e.  TIE BAR WITH: HB 4208'07Last Action: ASSIGNED PA 0023'07 WITH IMMEDIATE EFFECT"
SB 0026 of 2007,Senate Bill,Economic development; tax increment financing; funding for tourism improvements; provide for allocation of tax increment finance authority funds. Creates new act.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0027 of 2007,Senate Bill,Income tax; credit; credit for expenditures by certain school teachers for certain supplies; provide for. Amends 1967 PA 281 (MCL 206.1 - 206.532) by adding sec. 273.Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0028 of 2007,Senate Bill,"Criminal procedure; sentencing; sentencing juvenile to imprisonment for life without parole eligibility; amend probate code of 1939 to prohibit. Amends secs. 2d & 18, ch. XIIA of 1939 PA 288 (MCL 712A.2d & 712A.18).  TIE BAR WITH: SB 0006'07, SB 0009'07, SB 0040'07Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 0029 of 2007,Senate Bill,Trade; containers; beverages and beverage containers subject to bottle deposit; expand. Amends sec. 1 of I.L. of 1976 (MCL 445.571).Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS
SB 0030 of 2007,Senate Bill,Education; athletics; random steroid testing for high school athletes in state tournaments; require. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1290.Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0031 of 2007,Senate Bill,Corrections; parole; requirement for parole board to annually review prisoners subject to deportation; provide for. Amends sec. 34 of 1953 PA 232 (MCL 791.234).Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0032 of 2007,Senate Bill,Education; school districts; operating a school or any educational program outside district boundaries; prohibit without written consent. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1259.Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0033 of 2007,Senate Bill,Transportation; other; requirement for gasoline to contain 2% ethanol blend; provide for. Amends sec. 3 of 1984 PA 44 (MCL 290.643).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION
SB 0034 of 2007,Senate Bill,"Criminal procedure; sentencing; requirement of presentence report for nonpayment of support; eliminate. Amends sec. 14, ch. XI of 1927 PA 175 (MCL 771.14).Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 0035 of 2007,Senate Bill,Criminal procedure; self-incrimination; requiring minor to submit to chemical test to determine whether minor has consumed alcoholic liquor; prohibit under certain circumstances unless court order is obtained. Amends sec. 703 of 1998 PA 58 (MCL 436.1703).Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0036 of 2007,Senate Bill,Education; school districts; policy regarding pupils with food allergies; require. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1180.Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0037 of 2007,Senate Bill,Insurance; no-fault; make insurance affordable and accessible task force; create. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 255.Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT AND REGULATORY REFORM
SB 0038 of 2007,Senate Bill,"Insurance; essential; refusing, limiting, or charging different rates due to geographic location; prohibit. Amends sec. 2111 of 1956 PA 218 (MCL 500.2111).Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT AND REGULATORY REFORM"
SB 0039 of 2007,Senate Bill,"Corrections; prisoners; HIV, AIDS, and hepatitis C testing as a condition of release on parole or release upon completion of sentence; require. Amends 1953 PA 232 (MCL 791.201 - 791.285) by adding sec. 37a.Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 0040 of 2007,Senate Bill,"Crimes; penalties; penalties for certain crimes of imprisonment for life without parole eligibility; amend Michigan penal code to exclude application to juvenile offenders. Amends 1931 PA 328 (MCL 750.1 - 750.568) by adding sec. 506b.  TIE BAR WITH: SB 0006'07, SB 0009'07, SB 0028'07Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 0041 of 2007,Senate Bill,Insurance; health; prescription coverage; expand to include certain contraceptives. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 3406s.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0042 of 2007,Senate Bill,Insurance; health care corporations; prescription coverage; expand to include certain contraceptives. Amends 1980 PA 350 (MCL 550.1101 - 550.1704) by adding sec. 416e.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0043 of 2007,Senate Bill,Torts; product liability; immunity from liability for drugs that have been approved by federal food and drug administration; rescind. Amends sec. 2946 of 1961 PA 236 (MCL 600.2946).Last Action: DISCHARGE COMMITTEE POSTPONED
SB 0044 of 2007,Senate Bill,"Corrections; prisoners; issuance of identification and other cards upon release; require, and require prisoners to obtain certain records and provide certain information. Amends secs. 35, 37 & 67 of 1953 PA 232 (MCL 791.235 et seq.) & adds secs. 34b & 37a.  TIE BAR WITH: SB 0045'07, SB 0046'07Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 0045 of 2007,Senate Bill,"State; identification cards; forms of identification necessary to apply for state identification card; include corrections identification card and allow access to certain department of corrections data. Amends sec. 1 of 1972 PA 222 (MCL 28.291).  TIE BAR WITH: SB 0044'07, SB 0046'07Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 0046 of 2007,Senate Bill,"State; identification cards; forms of identification necessary to apply for driver license; include corrections identification card and allow access to certain department of corrections data. Amends sec. 307 of 1949 PA 300 (MCL 257.307).  TIE BAR WITH: SB 0044'07, SB 0045'07Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 0047 of 2007 (PA 0094 of 2008),Senate Bill,Economic development; tax increment financing; water improvement tax increment financing authority; create. Creates new act.Last Action: ASSIGNED PA 0094'08 WITH IMMEDIATE EFFECT
SB 0048 of 2007,Senate Bill,Transportation; school vehicles; requirement for use of safety belts on school buses; establish. Amends sec. 710e of 1949 PA 300 (MCL 257.710e).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION
SB 0049 of 2007,Senate Bill,History and arts; other; Michigan women's history commission; create. Creates new act.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0050 of 2007,Senate Bill,"Holidays; other; ""Military Services Appreciation Day""; establish as second Friday in May. Creates new act.Last Action: REFERRED TO COMMITTEE ON SENIOR CITIZENS AND VETERANS AFFAIRS"
SB 0051 of 2007,Senate Bill,Vehicles; fund-raising registration plates; specialty plate for breast cancer; create and earmark revenue to breast and cervical cancer control program. Amends 1949 PA 300 (MCL 257.1 - 257.923) by adding sec. 811r.Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION
SB 0052 of 2007,Senate Bill,"Health; research; prohibition on embryonic research and human cloning; clarify. Amends secs. 2685, 2687, 2688, 2692 & 16274 of 1978 PA 368 (MCL 333.2685 et seq.).Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY"
SB 0053 of 2007,Senate Bill,Income tax; city; contributions to a city for specified purposes; provide for check-off option. Amends 1964 PA 284 (MCL 141.501 - 141.787) by adding sec. 10 to ch. 1 & sec. 36 to ch. 2.  TIE BAR WITH: HB 4120'07Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM
SB 0054 of 2007,Senate Bill,Education; financing; school district's use of sinking funds; expand to include purposes for which bonds may be used. Amends sec. 1212 of 1976 PA 451 (MCL 380.1212).Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0055 of 2007,Senate Bill,Property tax; exemptions; new construction on principal residence property; exempt for certain period. Amends 1893 PA 206 (MCL 211.1 - 211.157) by adding sec. 7ll.Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0056 of 2007,Senate Bill,"Liquor; licenses; ""catering permit"" for on-premises licensees to serve alcohol at locations other than the licensed premises under certain circumstances; provide for. Amends 1998 PA 58 (MCL 436.1101 - 436.2303) by adding sec. 545.Last Action: referred to Committee on Regulatory Reform"
SB 0057 of 2007,Senate Bill,Liquor; retail sales; vendors permitted to hold on-premises wine tastings; expand to include certain SDM licensees. Amends secs. 537 & 1025 of 1998 PA 58 (MCL 436.1537 & 436.2025).Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT AND REGULATORY REFORM
SB 0058 of 2007,Senate Bill,Campaign finance; campaign practices; telephonic communications; require disclosure stating who is paying for call and whether authorized by candidate. Amends 1976 PA 388 (MCL 169.201 - 169.282) by adding sec. 48.Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT
SB 0059 of 2007 (PA 0221 of 2007),Senate Bill,Highways; other; alternative road funding task force; create. Amends 1951 PA 51 (MCL 247.651 - 247.675) by adding sec. 9c.Last Action: ASSIGNED PA 0221'07 WITH IMMEDIATE EFFECT
SB 0060 of 2007,Senate Bill,Traffic control; driver license; requirement for holders of a commercial driver license to also have a chauffeur's license; eliminate. Amends sec. 312e of 1949 PA 300 (MCL 257.312e) & adds secs. 6e & 310a.Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION
SB 0061 of 2007,Senate Bill,Traffic control; traffic regulation; use of compression brakes on certain portions of state trunk lines; allow local government to prohibit under certain circumstances. Amends sec. 726 of 1949 PA 300 (MCL 257.726).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION
SB 0062 of 2007,Senate Bill,Property; conveyances; termination of tenancy by the entireties; allow in cases of spousal abandonment. Amends secs. 1 & 2 of 1927 PA 210 (MCL 557.101 & 557.102).Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0063 of 2007,Senate Bill,Health facilities; hospitals; development of an acuity system and staffing plan for nurses; require. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 21525.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0064 of 2007,Senate Bill,Economic development; other; economic development fiscal accountability act; provide for. Creates new act.Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT AND REGULATORY REFORM
SB 0065 of 2007,Senate Bill,"Consumer credit; other; debt management act; make general revisions. Amends secs. 2, 4, 5, 6, 8, 12, 13, 14, 16, 18 & 19 of 1975 PA 148 (MCL 451.412 et seq.).Last Action: REFERRED TO COMMITTEE ON BANKING AND FINANCIAL INSTITUTIONS"
SB 0066 of 2007,Senate Bill,School aid; membership; use of a 3-year membership average for funding in declining enrollment districts; allow. Amends sec. 6 of 1979 PA 94 (MCL 388.1606).Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0067 of 2007,Senate Bill,"Local government; other; inclusionary zoning act; create. Creates new act.Last Action: REFERRED TO COMMITTEE ON LOCAL, URBAN AND STATE AFFAIRS"
SB 0068 of 2007,Senate Bill,Occupations; cosmetologists; manicurist schools; allow to be independent from a cosmetology school. Amends sec. 1205 of 1980 PA 299 (MCL 339.1205).Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT AND REGULATORY REFORM
SB 0069 of 2007 (PA 0061 of 2007),Senate Bill,Economic development; tax increment financing; neighborhood improvement authority; provide for. Creates new act.Last Action: ASSIGNED PA 0061'07 WITH IMMEDIATE EFFECT
SB 0070 of 2007 (PA 0032 of 2007),Senate Bill,"Education; teachers; date for implementation of requirement for current teachers to receive certain training concerning reading problems; extend to July 1, 2009. Amends sec. 1531 of 1976 PA 451 (MCL 380.1531).Last Action: ASSIGNED PA 0032'07 WITH IMMEDIATE EFFECT"
SB 0071 of 2007,Senate Bill,"Trade; watercraft; regulation of new watercraft manufacturers, wholesalers, and dealers; revise. Amends title & secs. 1, 2, 3, 4, 5, 6 & 7 of 1989 PA 88 (MCL 445.541 et seq.) & adds secs. 4a, 4b, 4c, 4d, 4e, 4f, 4g, 7a, 7b, 7c, 7d, 7e, 7f & 8.Last Action: REASSIGNED TO COMMITTEE ON ECONOMIC DEVELOPMENT AND REGULATORY REFORM"
SB 0072 of 2007,Senate Bill,Vehicles; fund-raising registration plates; habitat for humanity license plate; create. Amends sec. 811e of 1949 PA 300 (MCL 257.811e) & adds sec. 811r.Last Action: referred to Committee on Transportation
SB 0073 of 2007,Senate Bill,Liquor; licenses; issuance of on-premises liquor license for certain universities; expand to include the Northbank center at university of Michigan-Flint. Amends sec. 513 of 1998 PA 58 (MCL 436.1513).Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT AND REGULATORY REFORM
SB 0074 of 2007,Senate Bill,Law enforcement; other; automatic external defibrillators in police vehicles; require. Creates new act.Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0075 of 2007,Senate Bill,Consumer protection; privacy; security freeze on certain credit reports; require on consumer request. Creates new act.  TIE BAR WITH: SB 0340'07Last Action: referred to Committee on Banking and Financial Services
SB 0076 of 2007,Senate Bill,Income tax; deductions; deduction for certain eligible expenses and lost wages incurred during organ donation; allow. Amends sec. 30 of 1967 PA 281 (MCL 206.30).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0077 of 2007,Senate Bill,Occupations; security guards; requirement for bars installed on windows to have an escape latch attached; provide for. Amends sec. 33 of 1968 PA 330 (MCL 338.1083).Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT AND REGULATORY REFORM
SB 0078 of 2007,Senate Bill,"Highways; name; renaming of a certain bridge in Niles, Michigan, to the ""Martin Luther King, Jr. Memorial Bridge""; provide for. Amends 2001 PA 142 (MCL 250.1001 - 250.2080) by adding sec. 1055.Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION"
SB 0079 of 2007 (PA 0143 of 2007),Senate Bill,Vehicles; registration; requirement to sign registration certificate; eliminate. Amends sec. 223 of 1949 PA 300 (MCL 257.223).Last Action: ASSIGNED PA 0143'07 WITH IMMEDIATE EFFECT
SB 0080 of 2007,Senate Bill,Property tax; assessments; property transferred to certain low-income individuals through certain housing programs; exclude from definition of transfer of ownership. Amends sec. 27a of 1893 PA 206 (MCL 211.27a).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0081 of 2007,Senate Bill,"Environmental protection; landfills; solid waste disposal surcharge; establish and earmark for recycling and other programs. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding secs. 11532a, 11532b, 11532c & 11532d.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS"
SB 0082 of 2007 (PA 0043 of 2008),Senate Bill,Vehicles; equipment; use of child safety restraint system or booster seat for certain children; require. Amends sec. 710e of 1949 PA 300 (MCL 257.710e).Last Action: ASSIGNED PA 0043'08 WITH IMMEDIATE EFFECT
SB 0083 of 2007,Senate Bill,"Natural resources; hunting; access to voter registration applications for hunting, fishing, and fur harvester license applicants; provide for. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding sec. 43540e.Last Action: referred to Committee on Ethics and Elections"
SB 0084 of 2007 (PA 0409 of 2008),Senate Bill,"Highways; name; renaming a certain portion of M-55; designate as the ""Gold Star Mothers Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2080) by adding sec. 1067.Last Action: ASSIGNED PA 0409'08 WITH IMMEDIATE EFFECT"
SB 0085 of 2007,Senate Bill,"Health; occupations; individuals who can accept payment and perform marriage and family counseling; expand. Amends secs. 16901, 16903 & 16905 of 1978 PA 368 (MCL 333.16901 et seq.).Last Action: REFERRED TO COMMITTEE ON FAMILIES AND HUMAN SERVICES"
SB 0086 of 2007,Senate Bill,Employment security; benefits; length of time to receive unemployment benefits; increase. Amends sec. 27 of 1936 (Ex Sess) PA 1 (MCL 421.27).Last Action: REFERRED TO COMMITTEE ON COMMERCE AND TOURISM
SB 0087 of 2007,Senate Bill,Labor; health and safety; fee payable by certain employers based on the provision of health insurance coverage; provide for and earmark for medicaid program. Creates new act.Last Action: FILED WITH SECRETARY OF STATE 1/6/2009 @ 9:47 AM
SB 0088 of 2007,Senate Bill,Torts; governmental immunity; liability of a peace officer for injuries caused while rendering assistance outside jurisdiction; provide immunity. Amends sec. 7 of 1964 PA 170 (MCL 691.1407).Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0089 of 2007,Senate Bill,"Environmental protection; permits; hazardous waste storage, treatment, or disposal facility construction permits; authorize site review board to grant or deny. Amends secs. 11117 & 11120 of 1994 PA 451 (MCL 324.11117 & 324.11120).Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS"
SB 0090 of 2007,Senate Bill,State financing and management; purchasing; use of ultra-low-sulfur diesel fuel for diesel-powered nonroad vehicles; require. Amends 1984 PA 431 (MCL 18.1101 - 18.1594) by adding sec. 214.Last Action: REFERRED TO COMMITTEE ON ENERGY POLICY
SB 0091 of 2007,Senate Bill,Local government; other; use of ultra-low-sulfur diesel fuel for diesel-powered nonroad vehicle owned by local governments and their contractors; require. Creates new act.Last Action: REFERRED TO COMMITTEE ON ENERGY POLICY
SB 0092 of 2007 (PA 0008 of 2008),Senate Bill,"Environmental protection; permits; liquid industrial waste; exempt fats used to produce fuels, and make technical revisions. Amends secs. 12101, 12102, 12103, 12105, 12107, 12111, 12112 & 12113 of 1994 PA 451 (MCL 324.12101 et seq.) & adds sec. 12102a.Last Action: ASSIGNED PA 0008'08 WITH IMMEDIATE EFFECT"
SB 0093 of 2007,Senate Bill,Local government; other; commerce centers; create in certain communities. Creates new act.Last Action: REFERRED TO COMMITTEE ON COMMERCE AND TOURISM
SB 0094 of 2007 (PA 0036 of 2007),Senate Bill,"Single business tax; replacement; Michigan business tax act; create. Creates new act.  TIE BAR WITH: HB 4369'07, HB 4370'07, HB 4371'07, HB 4372'07Last Action: ASSIGNED PA 0036'07 WITH IMMEDIATE EFFECT"
SB 0095 of 2007,Senate Bill,"Single business tax; replacement; business income tax; create. Creates new act.  TIE BAR WITH: SB 0094'07, SB 0096'07Last Action: referred to Committee on Tax Policy"
SB 0096 of 2007,Senate Bill,"Property tax; personal property; eligible personal property; exempt. Amends 1893 PA 206 (MCL 211.1 - 211.157) by adding sec. 9l.  TIE BAR WITH: SB 0094'07, SB 0095'07Last Action: referred to Committee on Tax Policy"
SB 0097 of 2007 (PA 0015 of 2008),Senate Bill,Children; child care; requirement for licensees and registrants to notify parents of complaints of rule violations and investigations; establish. Amends 1973 PA 116 (MCL 722.111 - 722.128) by adding secs. 3f & 5l.Last Action: ASSIGNED PA 0015'08 WITH IMMEDIATE EFFECT
SB 0098 of 2007 (PA 0210 of 2007),Senate Bill,Transportation; funds; bonding for critical bridge projects; provide for. Amends sec. 10 of 1951 PA 51 (MCL 247.660).Last Action: ASSIGNED PA 0210'07 WITH IMMEDIATE EFFECT
SB 0099 of 2007,Senate Bill,"State; identification cards; identification documents necessary for obtaining a state identification card; revise, and clarify expiration date of card. Amends secs. 1 & 2 of 1972 PA 222 (MCL 28.291 & 28.292).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION"
SB 0100 of 2007,Senate Bill,Education; curricula; character development program; require department to develop model and encourage public schools to provide. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1163.Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0101 of 2007,Senate Bill,Education; curricula; basic finance course through Michigan virtual university; establish as an elective and require that pupils receive high school credit for passing course. Amends sec. 1481 of 1976 PA 451 (MCL 380.1481).Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0102 of 2007,Senate Bill,Worker's compensation; disabilities; occupational cancer; provide presumption for certain firefighters regarding. Amends sec. 405 of 1969 PA 317 (MCL 418.405).Last Action: REFERRED TO COMMITTEE ON COMMERCE AND TOURISM
SB 0103 of 2007,Senate Bill,Housing; landlord and tenants; early lease termination; allow for certain victims of domestic assault. Amends 1972 PA 348 (MCL 554.601 - 554.616) by adding sec. 1b.Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0104 of 2007 (PA 0463 of 2008),Senate Bill,"Traffic control; violations; reckless driving or other moving violation causing serious impairment or death; provide for increased penalties under certain circumstances, and eliminate crime of negligent homicide. Amends secs. 303, 319, 319b, 320a, 625, 625c, 625m, 625n, 626, 727, 732a, 904d & 907 of 1949 PA 300 (MCL 257.303 et seq.); adds sec. 601d & repeals sec. 626c of 1949 PA 300 (MCL 257.626c & secs. 324 & 325 of 1931 PA 328 (MCL 750.324 & 750.325).Last Action: ASSIGNED PA 0463'08 WITH IMMEDIATE EFFECT"
SB 0105 of 2007 (PA 0095 of 2008),Senate Bill,Courts; state court administration; authority for magistrates to oversee arraignments; allow. Amends secs. 8511 & 8513 of 1961 PA 236 (MCL 600.8511 & 600.8513).Last Action: ASSIGNED PA 0095'08 WITH IMMEDIATE EFFECT
SB 0106 of 2007,Senate Bill,Torts; malpractice; affidavit of merit; require for professional malpractice action against architect or engineer. Amends 1961 PA 236 (MCL 600.101 - 600.9947) by adding sec. 2912i.Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0107 of 2007,Senate Bill,Education; discipline; policy prohibiting harassment and bullying at school; require. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1310b.Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0108 of 2007 (PA 0130 of 2008),Senate Bill,Communications; telecommunications; eligibility date to opt into METRO funds; revise. Amends sec. 13 of 2002 PA 48 (MCL 484.3113).Last Action: ASSIGNED PA 0130'08 WITH IMMEDIATE EFFECT
SB 0109 of 2007,Senate Bill,Health; smoking; smoke-free workplace and public restaurants; require. Amends secs. 12601 & 12905 of 1978 PA 368 (MCL 333.12601 & 333.12905); amends heading to pt. 129 & repeals (See bill).Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT AND REGULATORY REFORM
