Document,Type,Description
SR 0015 of 2009,Senate Resolution,"A resolution to amend the Standing Rules of the Senate.

Last Action: RECONSIDER VOTE POSTPONED UNTIL 11/03/2010"
HR 0015 of 2009,House Resolution,"A resolution to urge the Federal Highway Administration to designate Woodward Avenue an All-American Road under its Scenic Byways Program.

Last Action: referred to Committee on Transportation"
HR 0016 of 2009,House Resolution,"A resolution to request that the U.S. Fish and Wildlife Service extend indefinitely the depredation order for double-crested cormorants.

Last Action: adopted"
SR 0016 of 2009,Senate Resolution,"A resolution to memorialize the Congress of the United States to oppose the Employee Free Choice Act.

Last Action:  ROLL CALL # 29 YEAS 20 NAYS 15 EXCUSED 2 NOT VOTING 0"
SR 0017 of 2009,Senate Resolution,"A resolution to affirm Michigan's sovereignty under the Tenth Amendment to the Constitution of the United States over all powers not enumerated and granted to the federal government.

Last Action:  ROLL CALL # 459 YEAS 33 NAYS 0 EXCUSED 4 NOT VOTING 0"
HR 0017 of 2009,House Resolution,"A resolution to memorialize the Congress of the United States to appropriate funds to restore the breakwall at the Grand Marais Harbor.

Last Action: referred to Committee on Transportation"
HR 0018 of 2009,House Resolution,"A resolution of tribute offered in memory of Thomas Husband, former Clerk of the House.Last Action: adopted"
SR 0018 of 2009,Senate Resolution,"A resolution recognizing March 12, 2009, as World Kidney Day and the month of March 2009 as Kidney Awareness Month in the state of Michigan.Last Action: ADOPTED"
SR 0019 of 2009,Senate Resolution,"A resolution to amend the Standing Rules of the Senate.

Last Action: ADOPTED"
HR 0019 of 2009,House Resolution,A resolution recognizing March 2009 as Emergency Services Month in the state of Michigan.Last Action: adopted
HR 0020 of 2009,House Resolution,A resolution recognizing January 2009 as School Board Recognition Month in the state of Michigan.Last Action: adopted
SR 0020 of 2009,Senate Resolution,"A resolution to urge that all projects that are part of the federal economic recovery plan use American-made materials to the greatest extent possible.
Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SR 0021 of 2009,Senate Resolution,"A resolution to memorialize the United States Congress and the U.S. Army Corps of Engineers to fully fund the expansion of the shipping locks at Sault Ste. Marie.
Last Action: ADOPTED"
HR 0021 of 2009,House Resolution,"A resolution to memorialize the members of the Michigan congressional delegation to vote for the stimulus package and to work to maximize job creation for Michigan.

Last Action:  Roll Call # 4 Yeas 67 Nays 41"
HR 0022 of 2009,House Resolution,"A resolution declaring February 8-14, 2009, as NAACP Week in the state of Michigan.Last Action:  Roll Call # 5 Yeas 105 Nays 0"
SR 0022 of 2009,Senate Resolution,"A resolution recognizing March 1-7, 2009, as School Social Worker Week in the state of Michigan.Last Action: ADOPTED"
SR 0023 of 2009,Senate Resolution,"A resolution to urge the Governor's Transportation Funding Task Force to recommend immediately changing the county distribution formula by substituting annual vehicle miles traveled for route miles.

Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION"
HR 0023 of 2009,House Resolution,"A resolution to honor Congressman John D. Dingell on the occasion of his becoming the longest serving member of the United States House of Representatives on this date, February 11, 2009.
Last Action: adopted"
HR 0024 of 2009,House Resolution,"A resolution to memorialize Congress and the President to invest in the manufacturing sector, including the domestic auto industry.

Last Action: adopted"
SR 0024 of 2009,Senate Resolution,A resolution honoring the 25th Anniversary of the merger between the Michigan Educational Support Personnel Association and the Michigan Education Association.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM
SR 0025 of 2009,Senate Resolution,A resolution honoring the 25th Anniversary of Michigan Education Association (MEA)-Retired.Last Action: ADOPTED
HR 0025 of 2009,House Resolution,"A resolution to urge Congress to oppose the restoration of the Fairness Doctrine.

Last Action: referred to Committee on Judiciary"
HR 0026 of 2009,House Resolution,A resolution declaring May 2009 as Motorcycle Safety Awareness in the state of Michigan.Last Action: adopted
SR 0026 of 2009,Senate Resolution,"A resolution commemorating March 26, 2009, as Support Our Troops Day.Last Action: ADOPTED"
SR 0027 of 2009,Senate Resolution,"A resolution to urge Congress to take certain actions with regard to the federal guardianship assistance program.

Last Action: ADOPTED"
HR 0027 of 2009,House Resolution,A resolution commemorating March 2009 as Parenting Awareness Month in the state of Michigan.Last Action: adopted
HR 0028 of 2009,House Resolution,"A resolution maximizing the state's ability to affect the terms and conditions of gaming operations under federal law by concurring in the tribal-state gaming compact negotiated between the Governor and the Match-E-Be-Nash-She-Wish Band of Pottawatomi Indians of Michigan (the Gun Lake Band) and the state of Michigan and executed on May 9, 2007.

Last Action: adopted"
SR 0028 of 2009,Senate Resolution,"A resolution to urge the Michigan Public Service Commission to establish a nuclear waste escrow account to receive funds collected from Michigan's electric utility customers.

Last Action: REFERRED TO COMMITTEE ON ENERGY POLICY AND PUBLIC UTILITIES"
SR 0029 of 2009,Senate Resolution,"A resolution to urge the United States Department of Energy and the Nuclear Regulatory Commission to do everything necessary to allow the Yucca Mountain repository to begin accepting high-level nuclear waste.

Last Action: REFERRED TO COMMITTEE ON ENERGY POLICY AND PUBLIC UTILITIES"
HR 0029 of 2009,House Resolution,"A resolution to express support for community banks in Michigan and to urge federal action to promote Michigan's banking industry.

Last Action: referred to Committee on Banking and Financial Services"
HR 0030 of 2009,House Resolution,"A resolution recognizing February 28, 2009, as Rare Disease Day in the state of Michigan.Last Action: adopted"
SR 0030 of 2009,Senate Resolution,"A resolution to express support for the people of India and our constituents of Indian origin who may have been affected by the terrorist attacks in Mumbai and to urge the President and Congress to work with Indian authorities in both humanitarian and strategic capacities.

Last Action: ADOPTED"
SR 0031 of 2009,Senate Resolution,"A resolution to urge Congress to enact a waiver or exclusion for youth motorcycles, all-terrain vehicles, and snowmobiles from the lead requirements of the Consumer Product Safety Improvement Act and to encourage the Consumer Product Safety Commission to exclude those products under their regulatory authority.

Last Action: ADOPTED"
HR 0031 of 2009,House Resolution,"A resolution to encourage the Michigan Department of Natural Resources and the Michigan Public Service Commission to promote Project Safe Passage.

Last Action: adopted"
HR 0032 of 2009,House Resolution,"A resolution to urge the President of the United States to renegotiate the North American Free Trade Agreement (NAFTA).

Last Action: referred to Committee on Commerce"
SR 0032 of 2009,Senate Resolution,"A resolution designating April 2, 2009, as Community College Day in the state of Michigan.Last Action: ADOPTED"
SR 0033 of 2009,Senate Resolution,A resolution declaring April 2009 as Financial Literacy for Youth Month in the state of Michigan.Last Action: ADOPTED
HR 0033 of 2009,House Resolution,"A resolution recognizing the week of March 1-7, 2009, as School Social Worker Week in the state of Michigan.
Last Action: adopted"
HR 0034 of 2009,House Resolution,"A resolution to memorialize the United States Congress to continue funding the F-22 Raptor fifth generation air dominance stealth fighter.

Last Action: referred to Committee on Military and Veterans Affairs and Homeland Security"
SR 0034 of 2009,Senate Resolution,"A resolution recognizing April 25, 2009, as Comcast Cares Day in Michigan.Last Action: ADOPTED"
SR 0035 of 2009,Senate Resolution,"A resolution marking the 64th Anniversary of the end of the Holocaust and declaring April 19-26, 2009, as Holocaust Remembrance Week in the state of Michigan.Last Action: ADOPTED"
HR 0035 of 2009,House Resolution,"A resolution to memorialize the Congress of the United States to create the Homeowners and Bank Protection Act.

Last Action: referred to Committee on Banking and Financial Services"
HR 0036 of 2009,House Resolution,"A resolution to reaffirm the right to bear arms under the Michigan Constitution, the supremacy of the Second Amendment over the Commerce Clause, and the intent of the Michigan Legislature to not recognize or enforce unconstitutional firearm restrictions placed upon its citizens.

Last Action: referred to Committee on Judiciary"
SR 0036 of 2009,Senate Resolution,"A resolution recognizing April 20-24, 2009, as Graduate Education Week in the state of Michigan.
Last Action: ADOPTED"
SR 0037 of 2009,Senate Resolution,"A resolution proclaiming the week of April 19-25, 2009, in conjunction with Earth Day, as Plant Michigan Green Week.
Last Action: ADOPTED"
HR 0037 of 2009,House Resolution,A resolution commemorating March 2009 as Social Work Month in the state of Michigan.Last Action: adopted
HR 0038 of 2009,House Resolution,"A resolution recognizing March 12, 2009, as World Kidney Day and the month of March as Kidney Awareness Month in the state of Michigan.Last Action: adopted"
SR 0038 of 2009,Senate Resolution,"A resolution designating April 20-26, 2009, the third annual Michigan Conservation Week, as Electronic Waste (E-waste) Recycling Week.
Last Action: ADOPTED"
SR 0039 of 2009,Senate Resolution,"A resolution honoring the MGM Grand Detroit Hotel.
Last Action: ADOPTED AS SUBSTITUTED S-1"
HR 0039 of 2009,House Resolution,"A resolution to memorialize Congress to take the necessary short- and long-term actions to make health insurance coverage affordable for millions of Americans without employment-based coverage, including removing any requirement to exhaust COBRA coverage prior to seeking coverage in the individual market.

Last Action: referred to Committee on Labor"
HR 0040 of 2009,House Resolution,"A resolution to memorialize the Congress of the United States to enact an oversight mechanism or structure to ensure that the federal stimulus assistance to the domestic automotive industry be used to pay outstanding debts due to the tool, die, and mold industry.

Last Action:  Roll Call # 136 Yeas 109 Nays 1"
SR 0040 of 2009,Senate Resolution,"A resolution to recognize June 24, 2009, as Older Michiganian's Day, honoring our state's population of older citizens.
Last Action: ADOPTED"
SR 0041 of 2009,Senate Resolution,"A resolution to urge the Michigan Department of Corrections to implement nondenominational prison congregation programs within our prisons.

Last Action: PLACED ON ORDER OF RESOLUTIONS"
HR 0041 of 2009,House Resolution,"A resolution to urge the state of Michigan to ensure that the economic stimulus funding in Michigan be spent on American-made materials to the greatest extent possible.

Last Action: adopted"
HR 0042 of 2009,House Resolution,"A resolution to express the sense of the legislature that the legislative retirement system needs to be changed to reduce health benefits.

Last Action: referred to Committee on Government Operations"
SR 0042 of 2009,Senate Resolution,A resolution honoring George Kell.Last Action: ADOPTED
SR 0043 of 2009,Senate Resolution,"A resolution to express opposition to the Obama administration's plan to repeal recently-adopted federal conscience clause regulations.
Last Action:  ROLL CALL # 136 YEAS 23 NAYS 12 EXCUSED 1 NOT VOTING 1"
HR 0043 of 2009,House Resolution,"A resolution of tribute offered as a memorial for Richard Sofio, former member of the House of Representatives.

Last Action: adopted by unanimous standing vote"
HR 0044 of 2009,House Resolution,"A resolution to urge the United States Coast Guard to study the health, human, and environmental impact of the proposed twin spanning of the Ambassador Bridge on the city of Detroit, region, and the residents of the Southwest Detroit community and to determine that an environmental impact study is needed.

Last Action: referred to Committee on Transportation"
SR 0044 of 2009,Senate Resolution,"A resolution to memorialize the Congress of the United States to enact the Hearing Aid Assistance Tax Credit Act.

Last Action: ADOPTED"
SR 0045 of 2009,Senate Resolution,"A resolution to memorialize the Congress of the United States to pass and the President of the United States to sign legislation that will provide flexibility in providing care for Medicare and Medicaid dual eligibles and share Medicare savings.

Last Action: ADOPTED"
HR 0045 of 2009,House Resolution,"A resolution to urge the Civil Service Commission to negotiate and implement a 5 percent reduction of pay and benefits for state employees.

Last Action: referred to Committee on Government Operations"
HR 0046 of 2009,House Resolution,A resolution to encourage the citizens of the state of Michigan to participation in Earth Hour 2009.Last Action: adopted
SR 0046 of 2009,Senate Resolution,"A resolution commemorating May 7, 2009, as Michigan's Day of Prayer.
Last Action: ADOPTED"
SR 0047 of 2009,Senate Resolution,"A resolution observing May 8, 2009, as Bessie Spector Older Jewish American Day.Last Action: ADOPTED"
HR 0047 of 2009,House Resolution,"A resolution to memorialize the Congress of the United States to oppose preemptive federal insurance regulatory measures.

Last Action: adopted"
HR 0048 of 2009,House Resolution,"A resolution recognizing Courtney Fedeson of Belmont, Michigan for being named one of the top two youth volunteers in Michigan for 2009.Last Action: adopted"
SR 0048 of 2009,Senate Resolution,"A resolution to recognize May 3-9, 2009, as National County Government Week in the state of Michigan.Last Action: ADOPTED"
SR 0049 of 2009,Senate Resolution,"A resolution recognizing May 3-9, 2009, as Michigan Charter Schools Week.Last Action: ADOPTED"
HR 0049 of 2009,House Resolution,"A resolution to memorialize the Congress of the United States to enact H.R. 155, the Suspension of Federal Income Tax on Unemployment Benefits Act of 2009.

Last Action: referred to Committee on Labor"
HR 0050 of 2009,House Resolution,A resolution recognizing March 2009 as Colorectal Cancer Awareness Month in the state of Michigan.Last Action: adopted
SR 0050 of 2009,Senate Resolution,A resolution celebrating the 50th Anniversary of Little Caesars Pizza.Last Action: ADOPTED
SR 0051 of 2009,Senate Resolution,"A resolution to amend the Standing Rules of the Senate.

Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM"
HR 0051 of 2009,House Resolution,"A resolution to memorialize the President of the United States and the Congress to do everything within their authority to stop American International Group from using taxpayer dollars to pay bonuses to their employees.

Last Action: referred to Committee on Banking and Financial Services"
HR 0052 of 2009,House Resolution,A resolution honoring the 25th anniversary of MEA-Retired.Last Action: adopted
SR 0052 of 2009,Senate Resolution,A resolution recognizing May 2009 as Hearing Loss Awareness Month in the state of Michigan.Last Action: ADOPTED
SR 0053 of 2009,Senate Resolution,"A resolution to express united support for the applications submitted by Michigan companies for United States Department of Energy advanced battery manufacturing grants.
Last Action: ADOPTED"
HR 0053 of 2009,House Resolution,A resolution honoring the 25th anniversary of the merger between the Michigan Education Support Personnel Association and the Michigan Education Association.Last Action: adopted
HR 0054 of 2009,House Resolution,"A resolution to memorialize Congress to oppose any move towards the implementation of a Vehicle Miles Traveled (VMT) tax system, including any requirements for tracking devices as standard equipment in the vehicles of United States citizens.

Last Action: referred to Committee on Transportation"
SR 0054 of 2009,Senate Resolution,"A resolution to request that the U.S. Fish and Wildlife Service extend indefinitely the depredation order for double-crested cormorants.

Last Action: ADOPTED"
SR 0055 of 2009,Senate Resolution,A resolution honoring the 50th Anniversary of Amway Corporation.Last Action: ADOPTED
HR 0055 of 2009,House Resolution,"A resolution of tribute offered as a memorial for Aldo Vagnozzi, former member of the House of Representatives.

Last Action: adopted by unanimous standing vote"
HR 0056 of 2009,House Resolution,"A resolution to memorialize Congress and the President to do all they can to halt or require repayment of contractually approved bonuses to executives of the American International Group in a manner similar to the required renegotiation of contractual agreements between the domestic auto manufacturers and their employees.

Last Action: referred to Committee on Banking and Financial Services"
SR 0056 of 2009,Senate Resolution,"A resolution commemorating Saturday, June 6, 2009, as Childhood Cancer Survivors Day in the state of Michigan.Last Action: ADOPTED"
SR 0057 of 2009,Senate Resolution,"A resolution to memorialize the United States Congress to enact S. 1034, the Healthy Schools Act of 2009, to provide funding for the development and operation of school-based health clinics.Last Action: ADOPTED"
HR 0057 of 2009,House Resolution,"A resolution proclaiming March 26, 2009, as Support Our Troops Day in the state of Michigan.
Last Action: adopted"
HR 0058 of 2009,House Resolution,"A resolution to memorialize Michigan’s congressional delegation to take the lead in creating an American solution to our nation’s health care crisis.

Last Action: referred to Committee on Health Policy"
SR 0058 of 2009,Senate Resolution,A resolution opposing the proposed performance tax on businesses.Last Action: REFERRED TO COMMITTEE ON COMMERCE AND TOURISM
SR 0059 of 2009,Senate Resolution,"A resolution to memorialize the Congress of the United States to authorize the use of federal stimulus dollars to offset the looming FUTA federal unemployment tax increase and to urge the Governor to use her influence in the current administration to zealously advocate for such relief for Michigan job providers.
Last Action:  ROLL CALL # 359 YEAS 36 NAYS 0 EXCUSED 1 NOT VOTING 0"
HR 0059 of 2009,House Resolution,"A resolution designating April 2, 2009, as Community College Day in the state of Michigan.Last Action: adopted"
HR 0060 of 2009,House Resolution,"A resolution recognizing April 2009 as Multiple Birth Awareness Month in the state of Michigan.
Last Action: adopted"
SR 0060 of 2009,Senate Resolution,"A resolution to memorialize the Congress of the United States to remove the requirement that states make permanent changes to their 100 percent employer-financed unemployment insurance laws to expand unemployment benefits to individuals who are not currently eligible in order to qualify for the state’s portion of one-time unemployment benefit funding and to urge the Governor to use her influence in the current administration to secure a waiver for Michigan from these requirements.

Last Action:  ROLL CALL # 360 YEAS 35 NAYS 0 EXCUSED 1 NOT VOTING 1"
SR 0061 of 2009,Senate Resolution,A resolution honoring McDonald's Corporation and the Michigan McDonald's owner/operators on the occasion of their Legislative Day at the State Capitol.Last Action: ADOPTED
HR 0061 of 2009,House Resolution,"A resolution proclaiming the week of April 20-24, 2009, as Graduate Education Week in the state of Michigan.Last Action: adopted"
HR 0062 of 2009,House Resolution,"A resolution to memorialize the United States Congress to repeal the federal Controlled Substances Act and allow all scheduled drugs to be regulated at the state level.

Last Action: referred to Committee on Judiciary"
SR 0062 of 2009,Senate Resolution,"A resolution to memorialize Congress to provide for waivers from requirements attached to stimulus funding that would hamper the state's efforts to meet its constitutional obligation to balance future budgets.

Last Action:  ROLL CALL # 248 YEAS 25 NAYS 10 EXCUSED 2 NOT VOTING 0"
SR 0063 of 2009,Senate Resolution,"A resolution to memorialize the United States Congress to enact legislation to eliminate the 24-month Medicare waiting period for participants on Social Security Disability Insurance.
Last Action: ADOPTED"
HR 0063 of 2009,House Resolution,"A resolution to urge the Michigan Public Service Commission to act quickly to prevent the recently proposed hikes in Michigan consumers' electric rates.

Last Action: referred to Committee on Judiciary"
HR 0064 of 2009,House Resolution,"A resolution recognizing April 2009 as Financial Literacy for Youth Month in the state of Michigan.
Last Action: adopted"
SR 0064 of 2009,Senate Resolution,A resolution commemorating the 70th Anniversary of the United States Coast Guard Auxiliary.Last Action: ADOPTED
SR 0065 of 2009,Senate Resolution,"A resolution to honor the memory of Carl D. Pursell, a former member of the Michigan Senate and the United States House of Representatives.

Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
HR 0065 of 2009,House Resolution,"A resolution to memorialize the Congress of the United States to increase the federal capital loss deduction from $3,000 to $6,000.

Last Action: referred to Committee on Tax Policy"
HR 0066 of 2009,House Resolution,"A resolution to memorialize Congress and the President to allow auto suppliers to trade with Cuba.

Last Action: referred to Committee on Commerce"
SR 0066 of 2009,Senate Resolution,"A resolution recognizing the 35th Anniversary of Michigan's aging network, empowering older Michiganians with independence and dignity.Last Action: ADOPTED"
SR 0067 of 2009,Senate Resolution,"A resolution declaring July 8, 2009, as Metro Detroit Youth Day in Michigan.Last Action: ADOPTED"
HR 0067 of 2009,House Resolution,A resolution recognizing April 2009 as Sexual Asssualt Awareness and Prevention Month in Michigan.Last Action: adopted
HR 0068 of 2009,House Resolution,"A resolution to encourage Michigan's public schools to participate in Junior Achievement programs, and declare April to be Junior Achievement Financial Literacy Month in the state of Michigan.Last Action: adopted"
SR 0068 of 2009,Senate Resolution,"A resolution to urge President Obama to grant Michigan a waiver from federal matching requirements for federal-aid highway projects.

Last Action: ADOPTED"
SR 0069 of 2009,Senate Resolution,"A resolution urging the United States Congress to enact legislation to waive for two years the requirement that Michigan match federal highway funds.

Last Action: ADOPTED"
HR 0069 of 2009,House Resolution,A resolution declaring April 2009 as Car Pool Month in the state of Michigan.Last Action: adopted
HR 0070 of 2009,House Resolution,"A resolution to urge the President and the Congress of the United States to refrain from excessive interference in the operations of private corporations, allowing the shareholders and boards of directors to make their own decisions on who should lead those companies and control the day-to-day operations of the enterprise.

Last Action: referred to Committee on Commerce"
SR 0070 of 2009,Senate Resolution,"A resolution to implore Governor Granholm to convince President Obama to grant Michigan a two-year waiver from federal matching requirements for federal-aid bridge and highway projects.

Last Action: ADOPTED"
SR 0071 of 2009,Senate Resolution,A resolution applauding AT&T Michigan for its recognition of being named one of the 40 Best Companies for Diversity by Black Enterprise magazine.Last Action: ADOPTED
HR 0071 of 2009,House Resolution,"A resolution to memorialize the United States Congress to increase funding for research into the causes and treatment of autism and to improve training and support for individuals with autism and those who care for individuals with autism.

Last Action:  Roll Call # 176 Yeas 106 Nays 3"
HR 0072 of 2009,House Resolution,"A resolution to urge the Governor and the Department of Agriculture to keep the Michigan State Fair operating.

Last Action: referred to Committee on Agriculture"
SR 0072 of 2009,Senate Resolution,"A resolution designating September 11-17, 2009, as Michigan Patriot Week.Last Action: ADOPTED"
SR 0073 of 2009,Senate Resolution,"A resolution to memorialize the President of the United States and the United States Congress to declassify intelligence information regarding Guantanamo Bay detention camp detainees and provide it to the Governor and Michigan State Legislature.
Last Action:  ROLL CALL # 405 YEAS 36 NAYS 0 EXCUSED 1 NOT VOTING 0"
HR 0073 of 2009,House Resolution,"A resolution recognizing April 16, 2009, as World Voice Day in the state of Michigan.Last Action: adopted"
HR 0074 of 2009,House Resolution,"A resolution to memorialize Congress to rewrite the Toxic Substances Control Act (TSCA).

Last Action: adopted"
SR 0074 of 2009,Senate Resolution,A resolution condemning workplace violence in the state of Michigan.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM
SR 0075 of 2009,Senate Resolution,"A resolution to extend subpoena power to the Senate Judiciary Committee.

Last Action: SUSPEND RULES POSTPONED"
HR 0075 of 2009,House Resolution,A resolution commemorating May 2009 as Children's Mental Health Month in Michigan.Last Action: adopted
HR 0076 of 2009,House Resolution,A resolution recognizing May 2009 as Relay For Life Month in the state of Michigan.Last Action: adopted
SR 0076 of 2009,Senate Resolution,A resolution to recognize September 2009 as National Alcohol and Drug Addiction Recovery Month in the state of Michigan.Last Action: ADOPTED
SR 0077 of 2009,Senate Resolution,"A resolution to memorialize the Congress of the United States to oppose the implementation of a cap and trade program that would negatively impact Michigan residents through the elimination of jobs and by increasing the costs of goods and services.

Last Action:  ROLL CALL # 444 YEAS 22 NAYS 14 EXCUSED 1 NOT VOTING 0"
HR 0077 of 2009,House Resolution,"A resolution to memorialize Congress to incorporate into federal road funding distribution formulas appropriate consideration of the impact that climate has on highways.

Last Action: referred to Committee on Transportation"
HR 0078 of 2009,House Resolution,"A resolution declaring April 19-26, 2009, as Holocaust Remembrance Week and April 21, 2009, as Holocaust Remembrance Day in the state of Michigan.Last Action: adopted"
SR 0078 of 2009,Senate Resolution,A resolution commemorating September 2009 as Childhood Cancer Awareness Month in the state of Michigan.Last Action: ADOPTED
SR 0079 of 2009,Senate Resolution,"A resolution to urge the United States Department of Defense to direct contracts to Michigan companies.
Last Action: ADOPTED"
HR 0079 of 2009,House Resolution,"A resolution to recognize the importance of pollinators to ecosystem health and agriculture in Michigan and the value of partnership efforts that increase awareness about pollinators and build support for protecting and sustaining pollinators by designating June 21-27, 2009, as Michigan Pollinator Week in Michigan.Last Action: adopted"
HR 0080 of 2009,House Resolution,"A resolution to memorialize the U.S. Army Corps of Engineers to allocate federal stimulus package funds for the construction of a new Soo Lock at Sault Ste. Marie, Michigan.

Last Action: adopted"
SR 0080 of 2009,Senate Resolution,"A resolution expressing the intent of the Michigan State Legislature to formulate and adopt, with our neighboring states and provinces, a Great Lakes States Homeland Security Compact.

Last Action: REFERRED TO COMMITTEE ON HOMELAND SECURITY AND EMERGING TECHNOLOGIES"
SR 0081 of 2009,Senate Resolution,A resolution to recognize September 2009 as Infant Safe Sleep Month.Last Action: ADOPTED
HR 0081 of 2009,House Resolution,"A resolution to urge Michigan's public institutions of higher education to adopt veteran-friendly policies.

Last Action: referred to Committee on Education"
HR 0082 of 2009,House Resolution,A resolution commemorating May 2009 as Dandy-Walker Syndrome and Hydrocephalus Awareness Month in the state of Michigan.Last Action: adopted
SR 0082 of 2009,Senate Resolution,"A resolution proclaiming the week of September 21, 2009, as Pollution Prevention Week in Michigan.Last Action: ADOPTED"
SR 0083 of 2009,Senate Resolution,"A resolution to express support for the continuation of the Department of Agriculture as a distinct department within state government.

Last Action:  ROLL CALL # 482 YEAS 27 NAYS 10 EXCUSED 0 NOT VOTING 0"
HR 0083 of 2009,House Resolution,"A resoultion designating April 1, 2010, as Census Day in Michigan and appointing a complete count committee.Last Action: adopted"
