Document,Type,Description
SR 0008 of 2013,Senate Resolution,A resolution for the adoption of the Standing Rules of the Senate.Last Action: ADOPTED
HR 0008 of 2013,House Resolution,A resolution to declare January 2013 as Blood Donor Month in the state of Michigan.Last Action: adopted
HR 0009 of 2013,House Resolution,A resolution to declare January 2013 as School Board Recognition Month in the state of Michigan.Last Action: adopted
SR 0009 of 2013,Senate Resolution,"A resolution designating January 2013 as Human Trafficking Awareness Month in the state of Michigan.Last Action: ADOPTED"
SR 0010 of 2013,Senate Resolution,"A resolution recognizing January 27 - February 2, 2013, as Michigan School Choice Week.Last Action: ADOPTED"
HR 0010 of 2013,House Resolution,"A resolution to declare February 4, 2013, as Rosa Parks Day of Courage in the state of Michigan.Last Action: adopted"
HR 0011 of 2013,House Resolution,"A resolution to encourage the inclusion of syringe and scalpel safety scores in healthcare facility accreditation audits.

Last Action: adopted"
SR 0011 of 2013,Senate Resolution,"A resolution recognizing February 4, 2013, as Cancer Prevention Day.Last Action: ADOPTED"
SR 0012 of 2013,Senate Resolution,"A resolution honoring Brad Keselowski, winner of the 2012 NASCAR Sprint Cup Series title, America's foremost automobile championship.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
HR 0012 of 2013,House Resolution,A resolution to declare February 2013 as Heart Month in the state of Michigan.Last Action: adopted
HR 0013 of 2013,House Resolution,"A resolution to declare February 1, 2013, as Wear Red Day in the state of Michigan.Last Action: adopted"
SR 0013 of 2013,Senate Resolution,A resolution to recognize The Michigan World War II Legacy Memorial as the state's official tribute to Michigan's contributions during the Second World War.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS
SR 0014 of 2013,Senate Resolution,"A resolution to amend the Standing Rules of the Senate.

Last Action: ADOPTED"
HR 0014 of 2013,House Resolution,"A resolution to declare January 27-February 2, 2013, as Catholic Schools Week in the state of Michigan.Last Action: adopted"
HR 0015 of 2013,House Resolution,"A resolution to declare January 26, 2013, as Show Me The Money Day in the state of Michigan.Last Action: adopted"
SR 0015 of 2013,Senate Resolution,"A resolution to observe February 17-23, 2013, as National Engineers Week.Last Action: ADOPTED"
SR 0016 of 2013,Senate Resolution,"A resolution of tribute offered as a memorial for George Zaven Hart, former member of the Michigan Senate.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
HR 0016 of 2013,House Resolution,A resolution to amend the Standing Rules of the House of Representatives.Last Action: adopted
HR 0017 of 2013,House Resolution,"A resolution to urge the Governor to accept increased Medicaid funding available under the Affordable Care Act.

Last Action: referred to Committee on Financial Liability Reform"
SR 0017 of 2013,Senate Resolution,A resolution to memorialize the President and the Congress of the United States to pass the reauthorization legislation for the Violence Against Women Act expeditiously and without partisanship.Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SR 0018 of 2013,Senate Resolution,A resolution commemorating March 2013 as Ethnic and Cultural Heritage Month in the state of Michigan.Last Action: ADOPTED
HR 0018 of 2013,House Resolution,"A resolution to reaffirm the right to keep and bear arms under the Michigan Constitution, the supremacy of the Second Amendment over the Commerce Clause, the limitations of the Office of the President to ban firearms by use of executive order, and the intent of the Michigan Legislature to not recognize or enforce unconstitutional or otherwise unlawful firearm restrictions placed upon its citizens.

Last Action: referred to Committee on Judiciary"
HR 0019 of 2013,House Resolution,"A resolution to declare February 3-9, 2013, as Boy Scout Week in the state of Michigan.Last Action: adopted"
SR 0019 of 2013,Senate Resolution,"A resolution to declare February 21, 2013, as Conductive Education Day in the state of Michigan.Last Action: ADOPTED"
SR 0020 of 2013,Senate Resolution,"A resolution to memorialize the Congress of the United States to enact legislation to ensure that amounts credited to the Harbor Maintenance Trust Fund are used solely for the dredging, infrastructure, operation, and maintenance of federally-authorized ports, harbors, and waterways.
Last Action: ADOPTED"
HR 0020 of 2013,House Resolution,"A resolution to request that Governor Snyder demand a full investigation by the Michigan Department of Community Health's Crime Victims, EMS and Trauma Systems Division into emergency medical services (EMS) response and management in Detroit.

Last Action: referred to Committee on Local Government"
HR 0021 of 2013,House Resolution,A resolution to recognize the Michigan World War II Legacy Memorial and to acknowledge Michigan's contributions during the Second World War.Last Action: adopted
SR 0021 of 2013,Senate Resolution,"A resolution to urge the Great Lakes governors to develop an agreement to coordinate the promotion and maintenance of ports and harbors.

Last Action: ADOPTED"
SR 0022 of 2013,Senate Resolution,"A resolution commemorating the work of musician Sixto Rodriguez and the documentary film about his life, “Searching for Sugar Man.”Last Action: ADOPTED"
HR 0022 of 2013,House Resolution,"A resolution to memorialize the Congress of the United States to halt the closure of the U.S. Postal Service's Processing and Distribution Center in Lansing, Michigan, until postal reform legislation is addressed at the federal level.

Last Action: referred to Committee on Local Government"
HR 0023 of 2013,House Resolution,A resolution to commemorate the Michigan Intercollegiate Athletic Association on its 125th anniversary.Last Action: adopted
SR 0023 of 2013,Senate Resolution,"A resolution proclaiming March 24-30, 2013, as Michigan STEM Awareness Week.Last Action: ADOPTED"
SR 0024 of 2013,Senate Resolution,A resolution designating April 2013 as Michigan Student Athlete Cardiac Awareness Month.Last Action: ADOPTED
HR 0024 of 2013,House Resolution,"A resolution to demand quality health care for residents of the Grand Rapids Home for Veterans.

Last Action: referred to Committee on Government Operations"
HR 0025 of 2013,House Resolution,"A resolution to express support for pregnancy resource centers and to memorialize Congress and other state and federal agencies to support these facilities in a manner that does not compromise their mission or religious integrity.

Last Action: referred to Committee on Families, Children, and Seniors"
SR 0025 of 2013,Senate Resolution,A resolution proclaiming March 2013 as National Athletic Training Month in the state of Michigan.Last Action: ADOPTED
SR 0026 of 2013,Senate Resolution,"A resolution recognizing March 18-22, 2013, Michigan School Counselors Week.Last Action: ADOPTED"
HR 0026 of 2013,House Resolution,"A resolution to declare February 22, 2013, as Peace and Healing Day in the state of Michigan.Last Action: adopted"
HR 0027 of 2013,House Resolution,A resolution to declare February 2013 as Cancer Prevention Month in the state of Michigan.Last Action: adopted
SR 0027 of 2013,Senate Resolution,"A resolution acknowledging March 18, 2013, as Gideon Day in the state of Michigan.Last Action: ADOPTED"
SR 0028 of 2013,Senate Resolution,A resolution designating April 2013 as Michigan Financial Literacy Month.Last Action: ADOPTED
HR 0028 of 2013,House Resolution,A resolution to declare February 2013 as School Principals Month in the state of Michigan.Last Action: adopted
HR 0029 of 2013,House Resolution,"A resolution to declare February 10-16, 2013, as School Principals Week in the state of Michigan.Last Action: adopted"
SR 0029 of 2013,Senate Resolution,"A resolution to declare April 9, 2013, as Pay Equity Day in the state of Michigan.Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT"
SR 0030 of 2013,Senate Resolution,"A resolution to urge the Congress of the United States to enact legislation that ensures pay equity between men and women.

Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT"
HR 0030 of 2013,House Resolution,"A resolution to urge Congress to enact amendments to the federal Electronic Communications Privacy Act to require law enforcement authorities to have a warrant to access e-mail, no matter the age or location of the e-mail.

Last Action: adopted"
HR 0031 of 2013,House Resolution,"A resolution to urge the Speaker to recognize the Independent Urban Democracy Caucus, and provide it with the opportunity to negotiate the terms and privileges of the caucus, consistent with that of the two major party caucuses.

Last Action: referred to Committee on Government Operations"
SR 0031 of 2013,Senate Resolution,A resolution to memorialize the President and the United States Congress to support continued funding of the United States Department of Defense STARBASE youth science and technology program.Last Action: ADOPTED
SR 0032 of 2013,Senate Resolution,A resolution of tribute for the Honorable Dennis O. Cawthorne.Last Action: ADOPTED
HR 0032 of 2013,House Resolution,"A resolution to declare February 21, 2013, as Conductive Education Day in the state of Michigan.Last Action: adopted"
HR 0033 of 2013,House Resolution,"A resolution to declare February 24-March 2, 2013, as Eating Disorder Awareness Week in the state of Michigan.Last Action: adopted"
SR 0033 of 2013,Senate Resolution,A resolution in remembrance of the Holocaust.Last Action: ADOPTED
SR 0034 of 2013,Senate Resolution,A resolution to declare any statement or comment by the Governor on legislative intent or enforceability that is expressed in a veto message that applies to a portion of law that is not vetoed to have no legal effect.Last Action: PLACED ON ORDER OF RESOLUTIONS
HR 0034 of 2013,House Resolution,A resolution to declare March 2013 as Red Cross Month in the state of Michigan.Last Action: adopted
HR 0035 of 2013,House Resolution,"A resolution to declare March 2013 as Colorectal Cancer Awareness Month in the state of Michigan.
Last Action: adopted"
SR 0035 of 2013,Senate Resolution,"A resolution recognizing April 20-27, 2013, as Money Smart Week in the state of Michigan.Last Action: ADOPTED"
SR 0036 of 2013,Senate Resolution,"A resolution to support ending water diversions from the Great Lakes through Chicago.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES, ENVIRONMENT AND GREAT LAKES"
HR 0036 of 2013,House Resolution,A resolution to declare March 2013 as Parenting Awareness Month in the state of Michigan.Last Action: adopted
HR 0037 of 2013,House Resolution,"A resolution to urge Congress and the President of the United States to enact the 2013 Farm Bill as introduced in the United States Senate.

Last Action: referred to Committee on Agriculture"
SR 0037 of 2013,Senate Resolution,"A resolution to urge the Internal Revenue Service to adopt a formula for determining full-time employment that assumes that adjunct faculty work one hour outside the classroom for each hour that they teach for the purposes of the Patient Protection and Affordable Care Act.Last Action: ADOPTED"
SR 0038 of 2013,Senate Resolution,"A resolution to commemorate April 21-27, 2013, as Crime Victims' Rights Week and reaffirm our commitment to the annual Crime Victims Vigil on April 24, 2013.Last Action: ADOPTED"
HR 0038 of 2013,House Resolution,"A resolution to declare June 8, 2013, as Remember The USS Liberty Day in the state of Michigan.Last Action: referred to Committee on Government Operations"
HR 0039 of 2013,House Resolution,A resolution to declare March 2013 as Social Work Month in the state of MichiganLast Action: adopted
SR 0039 of 2013,Senate Resolution,"A resolution to designate June 17-23, 2013, as Amateur Radio Week in the state of Michigan.Last Action: ADOPTED"
SR 0040 of 2013,Senate Resolution,"A resolution recognizing May 24, 2013, as Public Service Chaplains Appreciation Day in the state of Michigan.Last Action: ADOPTED"
HR 0040 of 2013,House Resolution,A resolution to declare March 2013 as Vitamin D Awareness Month in the state of Michigan.Last Action: adopted
HR 0041 of 2013,House Resolution,"A resolution to declare September 9, 2013, as Fetal Alcohol Spectrum Disorders Awareness Day in the state of Michigan.Last Action: adopted"
SR 0041 of 2013,Senate Resolution,"A resolution to commemorate May 11, 2013, as Train Day in the state of Michigan.Last Action: ADOPTED"
SR 0042 of 2013,Senate Resolution,A resolution declaring May 2013 as Asian Pacific American Heritage Month in the state of Michigan.Last Action: ADOPTED
HR 0042 of 2013,House Resolution,"A resolution to declare March 12, 2013, as Girl Scout Day in the state of Michigan.Last Action: adopted"
HR 0043 of 2013,House Resolution,"A resolution to declare September 15-21, 2013, as Teen Cancer Awareness Week in the state of Michigan.Last Action: adopted"
SR 0043 of 2013,Senate Resolution,"A resolution designating April 28, 2013, as Workers' Memorial Day in Michigan.Last Action: ADOPTED"
SR 0044 of 2013,Senate Resolution,"A resolution recognizing April 2013 as Community Banking Month.
Last Action: ADOPTED"
HR 0044 of 2013,House Resolution,A resolution to declare March 2013 as Athletic Trainer Month in the state of Michigan.Last Action: adopted
HR 0045 of 2013,House Resolution,"A resolution to declare March 20, 2013, as Agriculture Day in the state of Michigan.Last Action: adopted"
SR 0045 of 2013,Senate Resolution,"A resolution to declare May 2, 2013, as Community College Day in the state of Michigan.Last Action: ADOPTED"
SR 0046 of 2013,Senate Resolution,"A resolution to encourage the inclusion of syringe and scalpel safety scores in health care facility accreditation audits.
Last Action: ADOPTED AS SUBSTITUTED S-1"
HR 0046 of 2013,House Resolution,"A resolution to declare May 30, 2013, as Silo Safety Awareness Day in the state of Michigan.Last Action: adopted"
HR 0047 of 2013,House Resolution,A resolution to declare April 2013 as Youth Financial Literacy Month in the state of Michigan.Last Action: adopted
SR 0047 of 2013,Senate Resolution,"A resolution to recognize Mrs. Jeralean Talley of Inkster, Michigan, the oldest person living in the United States.Last Action: ADOPTED"
SR 0048 of 2013,Senate Resolution,"A resolution recognizing May 6-12, 2013, as National Nurses Week.Last Action: ADOPTED"
HR 0048 of 2013,House Resolution,"A resolution to call for Michigan laborers and manufactured materials to be used in the design and construction of the New International Trade Crossing.

Last Action: referred to Committee on Transportation and Infrastructure"
HR 0049 of 2013,House Resolution,"A resolution of tribute offered as a memorial for John M. Maynard, former member of the House of Representatives.

Last Action: adopted by unanimous standing vote"
SR 0049 of 2013,Senate Resolution,"A resolution to recognize May 3, 2013, as Stand4Change Day in the state of Michigan.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
SR 0050 of 2013,Senate Resolution,A resolution to commemorate the 100th Anniversary of the Michigan Historical Commission.Last Action: ADOPTED
HR 0050 of 2013,House Resolution,"A resolution to declare March 25-29, 2013, as Graduate Education Week in the state of Michigan.Last Action: adopted"
HR 0051 of 2013,House Resolution,A resolution to declare March 2013 as Women and Girls HIV/AIDS Awareness Month in the state of Michigan.Last Action: adopted
SR 0051 of 2013,Senate Resolution,"A resolution recognizing May 5-11, 2013, as Michigan Charter Schools Week.Last Action: ADOPTED"
SR 0052 of 2013,Senate Resolution,"A resolution proclaiming May 12-18, 2013, as InfantSEE® Week in the state of Michigan.Last Action: ADOPTED"
HR 0052 of 2013,House Resolution,A resolution to declare May 2013 as Motorcycle Safety Awareness Month in the state of Michigan.Last Action: adopted
HR 0053 of 2013,House Resolution,"A resolution to declare March 3-9, 2013, as School Social Work Week in the state of Michigan.Last Action: adopted"
SR 0053 of 2013,Senate Resolution,"A resolution recognizing May 12-18, 2013, as National Women's Health Week.Last Action: ADOPTED"
SR 0054 of 2013,Senate Resolution,"A resolution to amend the Standing Rules of the Senate.

Last Action: ADOPTED"
HR 0054 of 2013,House Resolution,"A resolution to urge the President and Congress of the United States to pressure the Prime Minister of Japan to open the Japanese market to imported automobiles and automobile parts and to refrain from weakening the yen to give domestic companies a competitive advantage.

Last Action: referred to Committee on Transportation and Infrastructure"
HR 0055 of 2013,House Resolution,"A resolution to declare March 11-17, 2013, as Multiple Sclerosis Awareness Week in the state of Michigan.Last Action: adopted"
SR 0055 of 2013,Senate Resolution,A resolution to recognize the 150th birthday of Henry Ford.Last Action: ADOPTED
SR 0056 of 2013,Senate Resolution,A resolution commemorating the Fourth Annual Michigan Chaldean American Legislative Day.Last Action: ADOPTED
HR 0056 of 2013,House Resolution,A resolution to declare April 2013 as Student Athlete Cardiac Awareness Month in the state of Michigan.Last Action: adopted
HR 0057 of 2013,House Resolution,A resolution to declare March 2013 as Multiple Myeloma Awareness Month in the state of Michigan.Last Action: adopted
SR 0057 of 2013,Senate Resolution,A resolution to recognize Iosco County as a premier birding destination in the state of Michigan.Last Action: ADOPTED
SR 0058 of 2013,Senate Resolution,"A resolution to urge careful review of the proposed underground nuclear waste repository in Ontario, Canada, and memorialize the United States Congress to do all it can to see that Michigan's concerns are fully addressed.Last Action: ADOPTED AS SUBSTITUTED S-2"
HR 0058 of 2013,House Resolution,A resolution to declare April 2013 as Financial Literacy Month in the state of Michigan.Last Action: adopted
HR 0059 of 2013,House Resolution,"A resolution to declare April 2, 2013, as Autism Awareness Day in the state of Michigan.Last Action: adopted"
SR 0059 of 2013,Senate Resolution,A resolution to declare May 2013 as Community Action Agency Month in the state of Michigan.Last Action: ADOPTED
SR 0060 of 2013,Senate Resolution,"A resolution to proclaim May 19-25, 2013, as Emergency Medical Services Week in the state of Michigan.Last Action: ADOPTED"
HR 0060 of 2013,House Resolution,A resolution to declare April 2013 as Junior Achievement Financial Literacy Month in the state of Michigan.Last Action: adopted
HR 0061 of 2013,House Resolution,"A resolution to declare March 18-22, 2013, as School Counselor Week in the state of Michigan.Last Action: adopted"
SR 0061 of 2013,Senate Resolution,"A resolution to express the sense of this legislative body that the state of Michigan should continue its efforts to reduce the high rates of teen pregnancies.

Last Action: REFERRED TO COMMITTEE ON FAMILIES, SENIORS AND HUMAN SERVICES"
SR 0062 of 2013,Senate Resolution,"A resolution to urge the Department of Community Health to promote programs to identify and address inequities in the prevention, treatment, and research of diseases threatening the health of women.

Last Action: REFERRED TO COMMITTEE ON FAMILIES, SENIORS AND HUMAN SERVICES"
HR 0062 of 2013,House Resolution,"A resolution to memorialize Congress to oppose and reject any legislation that would ban assault weapons.

Last Action: referred to Committee on Judiciary"
HR 0063 of 2013,House Resolution,"A resolution to declare March 16, 2013, as Liberty Day in the state of Michigan.Last Action: adopted"
SR 0063 of 2013,Senate Resolution,A resolution recognizing the contributions that Maker Faire Detroit has made in the state of Michigan.Last Action: ADOPTED
SR 0064 of 2013,Senate Resolution,"A resolution to urge the Congress of the United States to support marriage equality and repeal the Defense of Marriage Act.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HR 0064 of 2013,House Resolution,A resolution to amend the Standing Rules of the House of Representatives.Last Action: adopted
HR 0065 of 2013,House Resolution,A resolution to declare March 2013 as Multiple System Atrophy Awareness Month in the state of Michigan.Last Action: adopted
SR 0065 of 2013,Senate Resolution,A resolution to commemorate June 2013 as the official start to the summer season in Michigan and reaffirm our commitment to the tourism industry in our state.Last Action: ADOPTED
SR 0066 of 2013,Senate Resolution,"A resolution to declare June 8, 2013, as Michigan Flower Planting Day.Last Action: ADOPTED"
HR 0066 of 2013,House Resolution,"A resolution to declare April 2013 as Multiple Birth Awareness Month in the state of Michigan.
Last Action: adopted"
HR 0067 of 2013,House Resolution,A resolution to declare March 2013 as Reading Month in the state of Michigan.Last Action: adopted
SR 0067 of 2013,Senate Resolution,"A resolution to express support for the state of Michigan officially recognizing September 19, 2013,  as International Talk Like a Pirate Day.Last Action: ADOPTED"
SR 0068 of 2013,Senate Resolution,A resolution of tribute offered to honor Orjiakor Isiogu upon the completion of his term on the Michigan Public Service Commission (MPSC).Last Action: ADOPTED
HR 0068 of 2013,House Resolution,"A resolution to commemorate the 50th anniversary of Gideon v. Wainwright, the United States Supreme Court decision which guaranteed the right to an attorney for individuals accused of a crime.Last Action: adopted"
HR 0069 of 2013,House Resolution,"A resolution to declare April 7-13, 2013, as Barbershop Harmony Week in the state of Michigan.Last Action: adopted"
SR 0069 of 2013,Senate Resolution,"A resolution honoring and recognizing U.S. Representative John David Dingell, Jr., as the longest-serving member in the history of Congress.Last Action: ADOPTED"
SR 0070 of 2013,Senate Resolution,"A resolution to encourage the Department of Technology, Management, and Budget and other state agencies to utilize the Pure Michigan Business Connect as a resource to fill the state's procurement needs and stimulate Michigan's economy.
Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT"
HR 0070 of 2013,House Resolution,"A resolution to urge the Congress of the United States to enact legislation that prohibits U.S. Customs and Border Protection from conducting stops and searches without probable cause outside the immediate vicinity of the border or its functional equivalent and that limits the scope of inquiries to border security purposes.

Last Action: referred to Committee on Judiciary"
HR 0071 of 2013,House Resolution,"A resolution to memorialize Congress to pass H.R. 1014 to amend the Balanced Budget and Emergency Deficit Control Act of 1985 to provide that military technicians (dual status) shall be included in military personnel accounts for purposes of any order issued under that act.

Last Action: adopted"
SR 0071 of 2013,Senate Resolution,"A resolution commemorating June 8-16, 2013, as Aquatic Invasive Species Awareness Week in the state of Michigan.Last Action: ADOPTED"
SR 0072 of 2013,Senate Resolution,"A resolution to memorialize the United States Congress to investigate issues regarding the high price of gasoline nationally and in Michigan and to identify long-term solutions to sustain lower gasoline prices.

Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION"
HR 0072 of 2013,House Resolution,"A resolution to declare March 17-23, 2013, as Poison Prevention Week in the state of Michigan.Last Action: adopted"
HR 0073 of 2013,House Resolution,A resolution to declare March 2013 as Women's History Month in the state of Michigan.Last Action: adopted
SR 0073 of 2013,Senate Resolution,A resolution to memorialize the President and the United States Congress to support the Republic of Poland and their admittance to the Visa Waiver Program.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SR 0074 of 2013,Senate Resolution,"A resolution to encourage Michigan K-12 schools to comply with the state fire prevention code which requires at least two lockdown drills per year.

Last Action: REFERRED TO COMMITTEE ON EDUCATION"
HR 0074 of 2013,House Resolution,A resolution to declare April 2013 as Child Abuse Prevention Month in the state of Michigan.Last Action: adopted
HR 0075 of 2013,House Resolution,"A resolution to encourage the Secretary of Defense to restore the Tuition Assistance Program for those military personnel currently serving.

Last Action: referred to Committee on Military and Veterans Affairs"
SR 0075 of 2013,Senate Resolution,"A resolution dedicated to Bicycle Helmet Safety Awareness in an effort to protect the children and citizens within our communities.
Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION"
SR 0076 of 2013,Senate Resolution,"A resolution proclaiming July 11, 2013, as Srebrenica Remembrance Day in the state of Michigan and the week of July 11, 2013, as Bosnia and Herzegovina Tribute Week.Last Action: ADOPTED"
HR 0076 of 2013,House Resolution,"A resolution to declare March 21, 2013, as Paralyzed Veterans Awareness Day in the state of Michigan.Last Action: adopted"
HR 0077 of 2013,House Resolution,A resolution to declare April 2013 as Military Child Month in the state of Michigan.Last Action: adopted
SR 0077 of 2013,Senate Resolution,A resolution to declare July 2013 as Craft Beer Month in the state of Michigan.Last Action: ADOPTED
SR 0078 of 2013,Senate Resolution,A resolution to commemorate August 2013 as Automotive Heritage Month in the state of Michigan.Last Action: ADOPTED
HR 0078 of 2013,House Resolution,"A resolution to oppose the International Olympic Committee's decision to eliminate wrestling from the Summer Olympic Games and to urge its reinstatement.

Last Action:  Roll Call # 90 Yeas 109 Nays 0"
HR 0079 of 2013,House Resolution,"A resolution to urge the Michigan Department of Education to establish an academic competition in the fields of science, technology, engineering, and mathematics for Michigan students.

Last Action: referred to Committee on Education"
SR 0079 of 2013,Senate Resolution,"A resolution recognizing August 2013 as Spinal Muscular Atrophy Awareness Month in the state of Michigan. 
Last Action: ADOPTED"
SR 0080 of 2013,Senate Resolution,"A resolution to recognize September 9, 2013, as Fetal Alcohol Spectrum Disorders Awareness Day in the state of Michigan.Last Action: ADOPTED"
HR 0080 of 2013,House Resolution,"A resolution to declare April 17, 2013, as Native American Sexual Assault Awareness Day in the state of Michigan.Last Action: adopted"
HR 0081 of 2013,House Resolution,"A resolution to declare April 9, 2013, as Pay Equity Day in the state of Michigan.Last Action: adopted"
SR 0081 of 2013,Senate Resolution,"A resolution to offer wholehearted support for keeping a Dutch Consulate General Office in the Midwest region of the United States to ensure the continued growth of ethnic, cultural, and economic ties between Michigan and the Kingdom of the Netherlands.Last Action: ADOPTED"
SR 0082 of 2013,Senate Resolution,"A resolution designating September 11-17, 2013, as Michigan Patriot Week.Last Action: ADOPTED"
HR 0082 of 2013,House Resolution,A resolution to declare April 2013 as Parkinson's Disease Awareness Month in the state of Michigan.Last Action: adopted
HR 0083 of 2013,House Resolution,"A resolution to declare April 8, 2013, as Holocaust Remembrance Day in the state of Michigan.Last Action: adopted"
SR 0083 of 2013,Senate Resolution,A resolution designating October 2013 as Breast Cancer Awareness Month in the state of Michigan.Last Action: ADOPTED
SR 0084 of 2013,Senate Resolution,"A resolution of tribute offered as a memorial for David A. Plawecki, former member of the Senate.

Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
HR 0084 of 2013,House Resolution,A resolution to declare April 2013 as Sexual Assault Awareness and Prevention Month in the state of Michigan.Last Action: adopted
HR 0085 of 2013,House Resolution,"A resolution to urge support for continuation of the STARBASE program.

Last Action: adopted"
SR 0085 of 2013,Senate Resolution,"A resolution honoring Carl “Buck” Nystrom, a native and resident of Marquette, for his distinguished accomplishments in athletics, teaching, coaching, and community service. 
Last Action: ADOPTED"
SR 0086 of 2013,Senate Resolution,"A resolution recognizing September 20, 2013, as National Tradesmen Day.Last Action: ADOPTED"
HR 0086 of 2013,House Resolution,A resolution to declare April 2013 as Animal Cruelty Prevention Month in the state of Michigan.Last Action: adopted
HR 0087 of 2013,House Resolution,"A resolution to declare April 15, 2013, as Robotics Day in the state of Michigan.Last Action: adopted"
SR 0087 of 2013,Senate Resolution,A resolution designating October 2013 as Domestic Violence Awareness Month in the state of Michigan.Last Action: ADOPTED
SR 0088 of 2013,Senate Resolution,"A resolution to urge the Congress of the United States to adopt House Concurrent Resolution No. 50, regarding the National Railroad Monument in Durand, Michigan.
Last Action: ADOPTED"
HR 0088 of 2013,House Resolution,"A resolution to declare April 22-26, 2013, as Public School Volunteer Week in the state of Michigan.Last Action: adopted"
HR 0089 of 2013,House Resolution,A resolution to declare April 2013 as Autism Awareness Month in the state of Michigan.Last Action: adopted
SR 0089 of 2013,Senate Resolution,"A resolution designating October 5, 2013, as Buy Nearby Get Caught Blue-Handed Day in the state of Michigan.Last Action: ADOPTED"
SR 0090 of 2013,Senate Resolution,"A resolution designating October 4, 2013, as Michigan Manufacturers Day in the state of Michigan.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
HR 0090 of 2013,House Resolution,A resolution to declare April 2013 as Arab-American Heritage Month in the state of Michigan.Last Action: adopted
HR 0091 of 2013,House Resolution,"A resolution to urge Congress to continue to investigate and determine what happened in Benghazi on September 11, 2012.

Last Action: referred to Committee on Government Operations"
SR 0091 of 2013,Senate Resolution,"A resolution recognizing the efforts of the Legislators Building Communities Program and commemorating October 8, 2013, as Legislators Building Communities Day. 

Last Action: ADOPTED"
SR 0092 of 2013,Senate Resolution,"A resolution to declare October 14-18, 2013, as Credit Union Week in the state of Michigan.Last Action: ADOPTED"
