Document,Type,Description
HJR Z of 2017,House Joint Resolution,"Constitutional amendments; state; operation of public school on for-profit basis; prohibit in state constitution. Amends sec. 2, art. VIII of the state constitution.Last Action: bill electronically reproduced 10/31/2017"
SJR O of 2018,Senate Joint Resolution,"Constitutional amendments; state; Michigan natural resources trust fund and Michigan state parks endowment fund; modify allowable expenditures. Amends secs. 35 & 35a, art. IX of the state constitution.Last Action: FILED WITH SECRETARY OF STATE 12/27/2018 @ 1:20 PM"
SJR P of 2018,Senate Joint Resolution,"Higher education; governing boards; governance of state universities; make subject to statutory limitations. Amends secs. 5 & 6, art. VIII of the state constitution.Last Action: REFERRED TO COMMITTEE ON ELECTIONS AND GOVERNMENT REFORM"
SJR Q of 2018,Senate Joint Resolution,"Children; other; consideration of best interests of the child in all parental termination cases, child custody cases, and out-of-home placement cases; require. Amends the state constitution by adding sec. 28 to art. I.Last Action: REFERRED TO COMMITTEE ON FAMILIES, SENIORS AND HUMAN SERVICES"
SJR R of 2018,Senate Joint Resolution,Legislature; other; application for a convention of the states under article V of the United States Constitution; provide for. Petitions Congress to propose amendments to the Constitution of the United States.Last Action: REFERRED TO COMMITTEE OF THE WHOLE WITH SUBSTITUTE S-1
SJR S of 2018,Senate Joint Resolution,"Elections; initiative and referendum; appropriation bills subject to referendum; clarify and limit the amendment or repeal of laws proposed by initiative and enacted by the legislature. Amends sec. 9, art. II of the state consitiution.Last Action: REFERRED TO COMMITTEE ON ELECTIONS AND GOVERNMENT REFORM"
SJR T of 2018,Senate Joint Resolution,"Elections; voters; voting age; revise to 16. Amends sec. 1, art. II of the state constitution.Last Action: REFERRED TO COMMITTEE ON ELECTIONS AND GOVERNMENT REFORM"
SJR U of 2018,Senate Joint Resolution,"Property; other; right to full use, control, and protection of domicile; declare as a fundamental constitutional right. Amends sec. 28, art. I of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR AA of 2018,House Joint Resolution,"Legislature; legislators; procedure for filling legislative district vacancies; modify. Amends sec. 13, art. V of the state constitution.Last Action: joint resolution electronically reproduced 01/11/2018"
HJR BB of 2018,House Joint Resolution,Public employees and officers; state; director of the department of insurance and financial services; make elective office. Amends the state constitution by adding sec. 21a to art. V.Last Action: joint resolution electronically reproduced 01/16/2018
HJR CC of 2018,House Joint Resolution,"Financial institutions; other; constitutional limitation on deposits of state money in financial institutions; exclude deposits in community bank of Michigan. Amends sec. 20, art. IX of the state constitution.Last Action: joint resolution electronically reproduced 01/18/2018"
HJR DD of 2018,House Joint Resolution,"Higher education; governing boards; governor appointing members to university governing boards and the state board of education; provide for, and abolish existing elected university governing boards and abolish existing state board of education. Amends secs. 3 & 5, art. VIII of the state constitution.Last Action: joint resolution electronically reproduced 02/06/2018"
HJR EE of 2018,House Joint Resolution,"Higher education; governing boards; term limits for university governing boards; provide for. Amends sec. 5, art. VIII & adds sec. 5a to art. VIII of the state constitution.Last Action: joint resolution electronically reproduced 02/08/2018"
HJR FF of 2018,House Joint Resolution,"Legislature; legislators; salary for legislators; modify. Amends sec. 12, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 02/13/2018"
HJR GG of 2018,House Joint Resolution,"Legislature; sessions; unicameral nonpartisan legislature; provide for, and revise term limits. Amends sec. 9, art. II, sec. 8, art. III, secs. 1, 7, 8, 11, 12, 14, 16, 17, 18, 19, 20, 22, 24, 26, 27, 29, 30, 31, 33, 37, 43, 53 & 54, art. IV, secs. 2, 3, 6, 7, 13, 18, 20, 25, 26, 28 & 29, art. V, secs. 1 & 25, art. VI, sec. 6, art. VIII, secs. 3, 15 & 27, art. IX, sec. 5, art. X, secs. 5 & 7, art. XI & secs. 1 & 3, art. XII; adds sec. 1a to art. IV & a schedule and temporary provisions & repeals secs. 2, 3, 4, 6 & 21, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 02/21/2018"
HJR HH of 2018,House Joint Resolution,"Legislature; legislators; legislators voting on bills with certain direct financial interest; prohibit. Amends sec. 10, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 03/15/2018"
HJR II of 2018,House Joint Resolution,Children; parental rights; rights of parents and legal guardians to direct upbringing of children; declare as a fundamental constitutional right. Amends the state constitution by adding sec. 28 to art. I.Last Action: joint resolution electronically reproduced 03/22/2018
HJR JJ of 2018,House Joint Resolution,"Public employees and officers; state; number of members of the civil service commission; increase. Amends sec. 5, art. XI of the state constitution.Last Action: joint resolution electronically reproduced 05/29/2018"
HJR KK of 2018,House Joint Resolution,"Elections; voters; voting age; revise to 16. Amends sec. 1, art. II of the state constitution.Last Action: joint resolution electronically reproduced 06/12/2018"
HJR LL of 2018,House Joint Resolution,"Family law; marriage and divorce; constitutional prohibition of same-sex marriage and civil unions; repeal. Repeals 1963 sec. 25, art. I of state constitution.  TIE BAR WITH: HB 6233'18, HB 6234'18, HB 6235'18Last Action: joint resolution electronically reproduced 06/12/2018"
HJR MM of 2018,House Joint Resolution,"Elections; candidates; candidate eligibility; modify to require any outstanding campaign statement, report, fee, or fine be filed or paid. Amends the state constitution by adding sec. 9 to art. XI.Last Action: joint resolution electronically reproduced 09/05/2018"
HJR NN of 2018,House Joint Resolution,"Civil rights; public records; university boards; subject to freedom of information act requests. Amends sec. 4, art. VIII of the state constitution.Last Action: joint resolution electronically reproduced 10/17/2018"
HJR OO of 2018,House Joint Resolution,"Legislature; rules; bills or initiative petitions adopted by the legislature to take effect upon the expiration of 90 days after the date they are filed with the secretary of state; provide for. Amends sec. 27, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 11/07/2018"
HJR PP of 2018,House Joint Resolution,"Legislature; legislators; term limits; revise to combination of 20 years' total legislative service. Amends sec. 54, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 12/11/2018"
