Document,Type,Description
SR 0029 of 2015,Senate Resolution,A resolution commemorating the 50th Anniversary of the opening of the Michigan Court of Appeals.Last Action: ADOPTED
HR 0029 of 2015,House Resolution,"A resolution to memorialize the Congress of the United States to require the U.S. Department of Defense to ensure that replacement aircraft are assigned to Selfridge Air National Guard Base to compensate for the proposed elimination of the A-10 fleet.Last Action: adopted"
HR 0030 of 2015,House Resolution,"A resolution to urge the Congress of the United States to oppose the fast-tracking of the proposed Trans-Pacific Partnership free trade agreement.Last Action: referred to Committee on Commerce and Trade"
SR 0030 of 2015,Senate Resolution,A resolution of tribute honoring the 100th Anniversary of the founding of Kiwanis International.Last Action: ADOPTED
SR 0031 of 2015,Senate Resolution,"A resolution to urge the adoption of Intelligent Transportation System technologies throughout the state, further research into vehicle communication systems, and the testing and operation of connected and automated vehicles.Last Action: ADOPTED"
HR 0031 of 2015,House Resolution,A resolution to declare March 2015 as Multiple System Atrophy Awareness Month in the state of Michigan.Last Action: adopted
HR 0032 of 2015,House Resolution,"A resolution to request that the Michigan Public Service Commission conduct a feasibility study on creating a publicly funded integrated resource plan to meet the electric energy needs of the Upper Peninsula and report to the Legislature.Last Action: referred to Committee on Energy Policy"
SR 0032 of 2015,Senate Resolution,A resolution to commemorate April 2015 as Sarcoidosis Awareness Month in the state of Michigan.Last Action: ADOPTED
SR 0033 of 2015,Senate Resolution,A resolution to recognize DBA International for its efforts to protect consumers and creditors through a national receivables management certification program.Last Action: ADOPTED
HR 0033 of 2015,House Resolution,"A resolution to urge the Governor to promote the use of energy-efficiency measures and LEED standards in the design, construction, and renovation of state-owned buildings.Last Action: referred to Committee on Appropriations"
HR 0034 of 2015,House Resolution,"A resolution to declare March 12, 2015, as Girl Scout Day in the state of Michigan.Last Action: adopted"
SR 0034 of 2015,Senate Resolution,"A resolution to urge Michigan institutions of higher learning to improve policies, training, and victims services regarding cases of sexual assault and stalking.Last Action: REFERRED TO COMMITTEE ON EDUCATION"
SR 0035 of 2015,Senate Resolution,A resolution to commemorate the 200th Anniversary of the ending of the War of 1812.Last Action: ADOPTED
HR 0035 of 2015,House Resolution,"A resolution to declare March 2015 as Multiple Myeloma Awareness Month in the state of Michigan.Last Action: adopted"
HR 0036 of 2015,House Resolution,"A resolution to declare March 2015 as Social Work Month in the state of Michigan.Last Action: referred to Committee on Families, Children, and Seniors"
SR 0036 of 2015,Senate Resolution,"A resolution to support the goals and ideals of the National Day of Silence in bringing attention to anti-lesbian, gay, bisexual, and transgender name-calling, bullying, and harassment faced by individuals in schools.Last Action: REFERRED TO COMMITTEE ON EDUCATION"
SR 0037 of 2015,Senate Resolution,"A resolution to commemorate April 21, 2015, as Holocaust Remembrance Day in the state of Michigan.Last Action: ADOPTED"
HR 0037 of 2015,House Resolution,"A resolution to urge the Governor and Department of Corrections to convert heating plants at the state's correctional facilities to combined heat and power plants.Last Action: referred to Committee on Appropriations"
HR 0038 of 2015,House Resolution,"A resolution to urge the Michigan Department of Natural Resources to acquire land surrounding Houghton-Douglass Falls in the Keweenaw Peninsula.Last Action: referred to Committee on Natural Resources"
SR 0038 of 2015,Senate Resolution,"A resolution to commemorate April 22, 2015, as Multiple Sclerosis State Action Day.Last Action: ADOPTED"
SR 0039 of 2015,Senate Resolution,"A resolution to commemorate the week of April 19-25, 2015, as Crime Victims' Rights Week in the state of Michigan.Last Action: ADOPTED"
HR 0039 of 2015,House Resolution,"A resolution to memorialize the President of the United States, the U.S. Congress, and the U.S. Federal Communications Commission to stand firm on the decision to regulate broadband Internet services as common carrier services under Title II of the Communications Act of 1934 in the interest of preserving net neutrality.Last Action: referred to Committee on Communications and Technology"
HR 0040 of 2015,House Resolution,A resolution to commemorate the 200th anniversary of the ending of the War of 1812.Last Action: adopted
SR 0040 of 2015,Senate Resolution,A resolution marking the 100th Anniversary of the 1915 Armenian Genocide.Last Action: ADOPTED
SR 0041 of 2015,Senate Resolution,"A resolution of tribute offered as a memorial for Robert P. Griffin, former U.S. Senator, U.S. Representative, and Michigan Supreme Court Justice.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
HR 0041 of 2015,House Resolution,"A resolution to declare March 20, 2015, as Snowplow Driver Appreciation Day in the state of Michigan.Last Action: adopted"
HR 0042 of 2015,House Resolution,A resolution to declare March 2015 as Brain Injury Awareness Month in the state of Michigan.Last Action: adopted
SR 0042 of 2015,Senate Resolution,"A resolution to urge the Congress of the United States to restore Great Lakes Restoration Initiative funding to $300 million for fiscal year 2016.Last Action: ADOPTED"
SR 0043 of 2015,Senate Resolution,A resolution to amend the Standing Rules of the Senate.Last Action: ADOPTED
HR 0043 of 2015,House Resolution,A resolution to commemorate the 50th anniversary of the opening of the Michigan Court of Appeals.Last Action: adopted
HR 0044 of 2015,House Resolution,"A resolution to declare April 5, 2015, as Gold Star Wives of America Day in the state of Michigan.Last Action: adopted"
SR 0044 of 2015,Senate Resolution,"A resolution to commemorate April 28, 2015, as Workers' Memorial Day.Last Action: ADOPTED"
SR 0045 of 2015,Senate Resolution,A resolution commemorating May 2015 as Asian Pacific American Heritage Month.Last Action: ADOPTED
HR 0045 of 2015,House Resolution,"A resolution to declare April 7, 2015, as Multifamily Housing Day in the state of Michigan.Last Action: adopted"
HR 0046 of 2015,House Resolution,A resolution to declare April 2015 as Junior Achievement Financial Literacy Month in the state of Michigan.Last Action: adopted
SR 0046 of 2015,Senate Resolution,"A resolution to designate May 4-8, 2015, as InfantSEE® Week in the state of Michigan.Last Action: ADOPTED"
SR 0047 of 2015,Senate Resolution,A resolution to commemorate May 2015 as Community Action Agency Month.Last Action: ADOPTED
HR 0047 of 2015,House Resolution,"A resolution to declare April 2, 2015, as Autism Awareness Day in the state of Michigan.Last Action: adopted"
HR 0048 of 2015,House Resolution,A resolution to declare April 2015 as Autism Awareness Month in the state of Michigan.Last Action: adopted
SR 0048 of 2015,Senate Resolution,A resolution in support and recognition of National Train Day.Last Action: ADOPTED
SR 0049 of 2015,Senate Resolution,"A resolution to recognize and designate June 22-28, 2015, as Amateur Radio Week.Last Action: RULES SUSPENDED"
HR 0049 of 2015,House Resolution,"A resolution to urge Michigan institutions of higher learning to improve policies, training, and victims' services regarding cases of sexual assault and stalking.Last Action: referred to Committee on Education"
HR 0050 of 2015,House Resolution,"A resolution to urge the government of the Islamic Republic of Iran to release American citizen and Michigan resident, Amir Hekmati, after more than 1,000 days of unjust and unlawful imprisonment.Last Action: referred to Committee on Military and Veterans Affairs"
SR 0050 of 2015,Senate Resolution,"A resolution to proclaim May 17-23, 2015, as AMBER Alert Awareness Week.Last Action: ADOPTED"
SR 0051 of 2015,Senate Resolution,A resolution to recognize Iosco County as a premier birding destination in the state of Michigan.Last Action: ADOPTED
HR 0051 of 2015,House Resolution,"A resolution to declare April 14, 2015, as Pay Equity Day in the state of Michigan.Last Action: adopted"
HR 0052 of 2015,House Resolution,"A resolution to memorialize the President and Congress of the United States to take a comprehensive, sustainable, and workable approach that allows states to tax remote purchases made by consumers of their state.Last Action: referred to Committee on Commerce and Trade"
SR 0052 of 2015,Senate Resolution,A resolution recognizing the 150th Anniversary of BASF.Last Action: ADOPTED
SR 0053 of 2015,Senate Resolution,"A resolution to memorialize the President of the United States, the United States Congress, and the United States Environmental Protection Agency to abandon the promulgation of currently proposed carbon emission reduction regulations that would lead to an unnecessary and drastic increase in the cost of electricity for the people of the state of Michigan.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES"
HR 0053 of 2015,House Resolution,"A resolution to memorialize the Congress of the United States to oppose the President's recent executive actions regarding the non-enforcement of our nation's immigration laws and take all necessary corrective actions.Last Action: referred to Committee on Commerce and Trade"
HR 0054 of 2015,House Resolution,A resolution to commemorate the 150th anniversary of the end of the American Civil War.Last Action: adopted
SR 0054 of 2015,Senate Resolution,"A resolution commemorating May 13, 2015, as Children's Advocacy Day and recognizing the Children's Trust Fund for its effort to work towards preventing child abuse and neglect in Michigan.Last Action: ADOPTED"
SR 0055 of 2015,Senate Resolution,"A resolution to commemorate May 14, 2015, as Chaldean American Day.Last Action: ADOPTED"
HR 0055 of 2015,House Resolution,A resolution to declare April 2015 as Student Athlete Cardiac Awareness Month in the state of Michigan.Last Action: adopted
HR 0056 of 2015,House Resolution,"A resolution to declare April 18-25, 2015, as Money Smart Week in the state of Michigan.Last Action: adopted"
SR 0056 of 2015,Senate Resolution,"A resolution to oppose the United States Environmental Protection Agency's efforts to study or commission a study that could lead to regulations on grills and barbecues.Last Action: ADOPTED"
SR 0057 of 2015,Senate Resolution,"A resolution to call on the United States Army Corps of Engineers and the Michigan State Waterways Commission to promptly review and provide assistance to repair damage and prevent future flooding along Lakeshore Boulevard in Marquette, Michigan.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES"
HR 0057 of 2015,House Resolution,"A resolution to declare April 17, 2015, as a Day of Silence in the state of Michigan.Last Action: referred to Committee on Education"
HR 0058 of 2015,House Resolution,"A resolution to declare June 8, 2015, as Remember The USS Liberty Day in the state of Michigan.Last Action: referred to Committee on Military and Veterans Affairs"
SR 0058 of 2015,Senate Resolution,"A resolution to urge the President and Congress of the United States to take action to halt the illegal dumping of foreign steel into the U.S. market.Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT AND INTERNATIONAL INVESTMENT"
SR 0059 of 2015,Senate Resolution,"A resolution to urge the United States Congress to enact legislation that requires uniform and science-based food labeling nationwide.Last Action: ADOPTED AS SUBSTITUTED S-1"
HR 0059 of 2015,House Resolution,"A resolution to declare April 9, 2015, as Robotics Day in the state of Michigan.Last Action: adopted"
HR 0060 of 2015,House Resolution,"A resolution urging the United States President to request that the Secretary of State invoke the participation of the International Joint Commission under Article IX, Article X, or both of the Boundary Waters Treaty to evaluate the proposed underground nuclear waste repository in Ontario, Canada and similar facilities and urging the United States Congress to support the request.Last Action: referred to Committee on Energy Policy"
SR 0060 of 2015,Senate Resolution,A resolution to recognize May 2015 as Bike Month.Last Action: ADOPTED
SR 0061 of 2015,Senate Resolution,"A resolution commemorating October 15, 2015, as Community Dispute Resolution Day and recognizing the 25th Anniversary of the Community Dispute Resolution Program.Last Action: ADOPTED"
HR 0061 of 2015,House Resolution,"A resolution to declare April 24, 2015, as a Day of Remembrance in the state of Michigan for the Armenian Genocide of 1915-1923.Last Action: adopted"
HR 0062 of 2015,House Resolution,"A resolution to declare April 22, 2015, as Multiple Sclerosis State Action Day in the state of Michigan.Last Action: adopted"
SR 0062 of 2015,Senate Resolution,A resolution to commemorate May 2015 as Cystic Fibrosis Awareness Month.Last Action: ADOPTED
SR 0063 of 2015,Senate Resolution,"A resolution to commemorate May 24-30, 2015, as Invisible Illness Awareness Week.Last Action: ADOPTED"
HR 0063 of 2015,House Resolution,"A resolution of tribute offered as a memorial for Carroll C. Newton, former member of the House of Representatives.Last Action: adopted by unanimous standing vote"
HR 0064 of 2015,House Resolution,"A resolution to declare April 28, 2015, as Workers' Memorial Day in the state of Michigan.Last Action: adopted"
SR 0064 of 2015,Senate Resolution,"A resolution to memorialize the United States Congress to do all it can to oppose the construction of an underground nuclear waste repository in Ontario, Canada, and to urge Canadian officials to find alternatives to Ontario Power Generation’s proposal to bury nuclear waste in the Great Lakes Basin.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES"
SR 0065 of 2015,Senate Resolution,A resolution to observe July 2015 as Craft Beer Month.Last Action: ADOPTED
HR 0065 of 2015,House Resolution,"A resolution to declare April 29, 2015, as International Guide Dog Day in the state of Michigan.Last Action: adopted"
HR 0066 of 2015,House Resolution,"A resolution to memorialize the United States Congress to oppose the construction of an underground nuclear waste repository in Ontario, Canada and to urge Canadian officials to find alternatives to Ontario Power Generation's proposal to bury nuclear waste in the Great Lakes basin.Last Action: referred to Committee on Energy Policy"
SR 0066 of 2015,Senate Resolution,"A resolution to support congressional H.Res. 233, expressing the sense of the United States House of Representatives that Iran should immediately release the three United States citizens that it holds, as well as provide all known information on any United States citizens that have disappeared within its borders.Last Action: ADOPTED"
SR 0067 of 2015,Senate Resolution,"A resolution to commemorate June 8, 2015, as Barbershop Harmony Day.Last Action: ADOPTED"
HR 0067 of 2015,House Resolution,A resolution to declare May 2015 as Community Action Agency Month in the state of Michigan.Last Action: adopted
HR 0068 of 2015,House Resolution,"A resolution to declare May 4-8, 2015, as InfantSee Week in the state of Michigan.Last Action: adopted"
SR 0068 of 2015,Senate Resolution,"A resolution to proclaim October 4-10, 2015, as Lions Week.Last Action: ADOPTED"
SR 0069 of 2015,Senate Resolution,"A resolution to commemorate June 10, 2015, as Dairy Foods Awareness Day.Last Action: ADOPTED"
HR 0069 of 2015,House Resolution,A resolution to declare April 2015 as Parliamentary Law Month in the state of Michigan.Last Action: adopted
HR 0070 of 2015,House Resolution,A resolution to declare May 2015 as Childhood Obesity Awareness Month in the state of Michigan.Last Action: adopted
SR 0070 of 2015,Senate Resolution,"A resolution to recognize June 15-21, 2015, as Men's Health Week and June 15, 2015, as Blue Monday.Last Action: ADOPTED"
SR 0071 of 2015,Senate Resolution,"A resolution to memorialize the Congress of the United States to Pass H.R. 1807 of 2015, the Sickle Cell Disease Research, Surveillance, Prevention and Treatment Act of 2015.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY"
HR 0071 of 2015,House Resolution,"A resolution to declare April 26-May 2, 2015, as Black April Memorial Week in the state of Michigan.Last Action: adopted"
HR 0072 of 2015,House Resolution,A resolution to declare May 2015 as Lyme Disease Awareness Month in the state of Michigan.Last Action: adopted
SR 0072 of 2015,Senate Resolution,"A resolution designating June 27, 2015, as Post-Traumatic Stress Injury Awareness Day.Last Action: REFERRED TO COMMITTEE ON VETERANS, MILITARY AFFAIRS AND HOMELAND SECURITY"
SR 0073 of 2015,Senate Resolution,"A resolution to commemorate July 5-11, 2015, as Arteriovenous Malformation (AVM) Awareness Week.Last Action: ADOPTED"
HR 0073 of 2015,House Resolution,A resolution to declare May 2015 as Amyotrophic Lateral Sclerosis (ALS) Awareness Month in the state of Michigan.Last Action: adopted
HR 0074 of 2015,House Resolution,"A resolution to encourage Michigan's colleges and universities to promote globally comprehensive education as a part of curricular and extracurricular life.Last Action: adopted"
SR 0074 of 2015,Senate Resolution,"A resolution commemorating June 28 - July 4, 2015, as Aquatic Invasive Species Awareness Week.Last Action: ADOPTED"
SR 0075 of 2015,Senate Resolution,"A resolution recognizing June 19, 2015, as Juneteenth.Last Action: PLACED ON ORDER OF RESOLUTIONS"
HR 0075 of 2015,House Resolution,"A resolution to declare June 2, 2015, as Older Michiganians Day in the state of Michigan.Last Action: adopted"
HR 0076 of 2015,House Resolution,"A resolution to declare May 6-12, 2015, as Nurses Week in the state of Michigan.Last Action: adopted"
SR 0076 of 2015,Senate Resolution,A resolution to urge the United States government to place the portrait of Rosa Parks on the $10 bill.Last Action: PLACED ON ORDER OF RESOLUTIONS
SR 0077 of 2015,Senate Resolution,"A resolution commemorating July 15, 2015, as Metro Detroit Youth Day.Last Action: ADOPTED"
HR 0077 of 2015,House Resolution,"A resolution to declare May 5, 2015, as International Midwives Day in the state of Michigan.Last Action: placed on third reading"
HR 0078 of 2015,House Resolution,A resolution to commemorate the 70th anniversary of V-E Day.Last Action: adopted
SR 0078 of 2015,Senate Resolution,"A resolution proclaiming July 11, 2015, as Srebrenica Remembrance Day and the week of July 11 as Bosnia and Herzegovina Tribute Week.Last Action: ADOPTED"
SR 0079 of 2015,Senate Resolution,"A resolution to encourage the United States Forest Service to issue the owners of privately held hunting camps on leased acres within the Ottawa National Forest special use authorization under the Recreation Residence Program.Last Action: ADOPTED AS SUBSTITUTED S-1"
HR 0079 of 2015,House Resolution,"A resolution to call on the United States Army Corps of Engineers and the Michigan State Waterways Commission to promptly review and provide assistance to repair damage and prevent future flooding along Lakeshore Boulevard in Marquette, Michigan.Last Action: referred to Committee on Natural Resources"
HR 0080 of 2015,House Resolution,"A resolution to urge the Michigan House of Representatives and the Michigan Senate to hold legislative sessions weekly throughout the summer in order to approve a road funding proposal.Last Action: referred to Committee on Government Operations"
SR 0080 of 2015,Senate Resolution,"A resolution recognizing June 2015 as Professional Pest Management Month.Last Action: ADOPTED"
SR 0081 of 2015,Senate Resolution,"A resolution to commemorate the weekend of July 24, 2015, as Muscular Dystrophy Association (MDA)-Michigan Professional Fire Fighters Union Fill the Boot Weekend in Michigan.Last Action: ADOPTED"
HR 0081 of 2015,House Resolution,"A resolution to urge the Governor to leverage Low Income Home Energy Assistance Program funds to preserve vital Supplemental Nutrition Assistance Program benefits for the citizens of Michigan.Last Action: referred to Committee on Appropriations"
HR 0082 of 2015,House Resolution,"A resolution to urge the Congress of the United States to enact legislation that will reverse cuts to the Supplemental Nutrition Assistance Program (SNAP) over the next decade and that will remove the higher threshold of Low Income Home Energy Assistance Program funding to qualify for additional SNAP benefitsLast Action: referred to Committee on Families, Children, and Seniors"
SR 0082 of 2015,Senate Resolution,A resolution to memorialize the United States Congress to support continued funding of the United States Department of Defense STARBASE youth science and technology program.Last Action: ADOPTED
SR 0083 of 2015,Senate Resolution,A resolution to recognize and support the efforts of the Michigan Department of Agriculture and Rural Development to protect pollinators through constructing a Pollinator Protection Plan as outlined by the Environmental Protection Agency of the United States.Last Action: REFERRED TO COMMITTEE ON AGRICULTURE
HR 0083 of 2015,House Resolution,A resolution to commemorate the 150th anniversary of BASF.Last Action: adopted
HR 0084 of 2015,House Resolution,A resolution to declare May 2015 as Bike Month in the state of Michigan.Last Action: adopted
SR 0084 of 2015,Senate Resolution,A resolution of tribute offered to honor Greg White upon the completion of his term on the Michigan Public Service Commission.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS
SR 0085 of 2015,Senate Resolution,"A resolution commemorating August 31, 2015, as Overdose Awareness Day.Last Action: ADOPTED"
HR 0085 of 2015,House Resolution,"A resolution to declare May 14, 2015, as Chaldean American Day in the state of Michigan.Last Action: adopted"
HR 0086 of 2015,House Resolution,A resolution to establish a special committee on Roads and Economic Development.Last Action: adopted
SR 0086 of 2015,Senate Resolution,A resolution to commemorate September 2015 as Life Insurance Awareness Month.Last Action: ADOPTED
SR 0087 of 2015,Senate Resolution,"A resolution to urge the United States Senate to concur with the United States House of Representatives and repeal the country-of-origin labeling regulations.Last Action: ADOPTED"
HR 0087 of 2015,House Resolution,"A resolution to urge the President and Congress of the United States to take action to halt the illegal dumping of foreign steel into the U.S. market.Last Action: adopted"
HR 0088 of 2015,House Resolution,"A resolution urging the United States Supreme Court to continue its critical role in protecting citizens' rights under the Fourteenth Amendment of the United States Constitution and urging the states to express support for the Fourteenth Amendment.Last Action: referred to Committee on Judiciary"
